Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),https://www.auntbertha.com//willow-terrace-nursing-and-rehabilitation-center--philadelphia-pa--short-term-rehabilitation/5307958726230016?postal=19131,"['residential treatment', 'medical care', 'skilled nursing', 'physical therapy', 'occupational therapy', 'speech therapy', 'specialized therapy']",,"['seniors', 'physical disability', 'limited mobility', 'on-treatment', 'post-treatment', 'chronic illness', 'benefit recipients']",215-951-8500,https://willow-terrace.com/index.php?option=com_content&view=article&layout=gk_steakhouse:one-page-wide&id=134&Itemid=1105,"1 Penn Boulevard, Philadelphia, PA 19144","https://www.google.com/maps/?q=1+Penn+Boulevard,+Philadelphia,+PA+19144/",['Must have Medicare or Public Aid.'],available,"Willow Terrace Nursing Short Term Rehabilitation provides quality care in a comforting environment to those recovering from surgery, injury or serious illness. Their services accelerate healing, restore functioning, and improve the patient’s quality of life to the fullest extent possible.This program provides:- Cardiac rehabilitation - Discharge planning- IV therapy- Orthopedic rehabilitation- Physical therapy- Speech therapy- Occupational therapy- Post-surgical therapy- Respiratory therapy- Transitional care- Wound careWillow Terrace Nursing And Rehabilitation Center accepts Medicare and Public Aid.",['English'],Reduced Cost,TRUE,https://www.facebook.com/WillowTerrace,,"This program covers residents of the following counties: Philadelphia County, PA.",40.0396539,-75.1599192,19144,FALSE,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,Closed,Closed,3.4/5,Mental Health
Recovery Services (Rogers Behavioral Health),https://www.auntbertha.com//rogers-behavioral-health--philadelphia-pa--recovery-services/4831834257227776?postal=19131,"['addiction & recovery', 'outpatient treatment', 'residential treatment', 'substance abuse counseling', 'specialized therapy', 'mental health care', 'mental health evaluation', 'support groups']",,"['adults', 'young adults', 'teens', 'children', 'seniors', 'individuals', 'benefit recipients', 'low-income', 'uninsured', 'limited english', 'depression', 'anxiety', 'eating disorder', 'ptsd', 'all mental health', 'substance dependency', 'dual diagnosis']",800-767-4411,https://rogersbh.org/what-expect/getting-started,"1 Winding Drive, Philadelphia, PA 19131","https://www.google.com/maps/?q=1+Winding+Drive,+Philadelphia,+PA+19131/",['This program helps people who are suffering from mental health and/or substance abuse issues.'],available,"Rogers Behavioral Health offers evidence-based treatment for adults, children, and adolescents with a variety of mental health and substance use issues.This program provides:- Outpatient treatment- Partial hospitalization care (PHP)- Intensive outpatient care (IOP)- Residential care- Inpatient care- Specialized therapy- Support groupsConditions treated include:- Depression and other mood disorders- Eating disorders- Addiction- Obsessive-Compulsive and anxiety disorders- Post-Traumatic Stress Disorder (PTSD)Services may vary based on your location. To get started, please call or request a screening appointment through the website. You can call 800-767-4411 for Brown Deer, Oconomowoc, and West Allis, and 888-927-2203 for all other locations. The screening will take approximately 30 to 60 minutes to complete. An intake specialist will ask you a series of questions to offer an appropriate recommendation for the program that best suits your needs. For a children under 18, a representative will ask to speak with a parent or guardian. Rogers Behavioral Health offers financial assistance to patients based on income and household size. Please call 262-303-2180 or visit rogersbh.org/what-expect/financing-your-care/financial-assistance-program for more information about how to apply for financial assistance. Medicare is also accepted.","['English', 'Spanish']",Sliding Scale,TRUE,https://www.facebook.com/rogers.behavioral.health/,https://www.twitter.com/@Rogers_BH,"This program covers residents of the following counties: Los Angeles County, CA, San Diego County, CA, San Francisco County, CA, Hillsborough County, FL, Miami-Dade County, FL, Fulton County, GA, Cook County, IL, Dupage County, IL, Hennepin County, MN, Ramsey County, MN, Philadelphia County, PA, Davidson County, TN, King County, WA, Dane County, WI, Kenosha County, WI, Milwaukee County, WI, Outagamie County, WI, Sheboygan County, WI and Waukesha County, WI.",40.0069325,-75.2079762,19131,FALSE,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,Closed,Closed,2.7/5,Mental Health
Services to Foster Children (SFC) program (Juvenile Justice Center of Philadephia),https://www.auntbertha.com//juvenile-justice-center-of-philadephia-%2528jjc%2529--philadelphia-pa--services-to-foster-children-%2528sfc%2529-program/4821166195736576?postal=19131,"['counseling', 'adoption & foster care']",,"['children', 'all disabilities', 'foster youth', 'parents']",215-849-2112,http://www.juvenilejustice.org,"100 W Coulter St, Philadelphia, PA 19144","https://www.google.com/maps/?q=100+W+Coulter+St,+Philadelphia,+PA+19144/",['Must have consent signed by whoever has custody of the child.'],available,"Services to Foster Children (SFC) program provides care and services to children and to their foster parents and to their natural families, through two teams of social workers.Services provided to foster children:- Counseling- TutoringSFC focuses on counseling the child and supporting the foster parents while we work intensively with the natural family in order to resolve problems that necessitated placement and to achieve the goal of reunification. Through fund-raising, we are able to obtain tutoring for some of our foster and kinship children. Many of our children are behind in basic skills such as math and reading.Must have consent signed by people who have custody of the children.",['English'],Reduced Cost,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",40.0311924,-75.1723852,19144,FALSE,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,Closed,Closed,4.1/5,Mental Health
Behavioral Health Services program (Juvenile Justice Center of Philadephia),https://www.auntbertha.com//juvenile-justice-center-of-philadephia-%2528jjc%2529--philadelphia-pa--behavioral-health-services-program/5316353644822528?postal=19131,"['mental health evaluation', 'counseling', 'specialized therapy', 'in-home support', 'medications for mental health', 'navigating the system']",,"['teens', 'children', 'benefit recipients', 'all mental health']",215-849-21125510,https://juvenilejustice.org/,"100 W Coulter St, Philadelphia, PA 19144","https://www.google.com/maps/?q=100+W+Coulter+St,+Philadelphia,+PA+19144/",[],available,"As a part of a family-oriented agency, the clinic provides the most thorough approach to treatment in the least restrictive setting possible. Services include:- Psychiatric and psychological evaluations- Individual psychotherapy- Group psychotherapy- Family psychotherapy- Health rehabilitative services- Medication management- Parent and child interactive therapy- Behavioral interventions such as Cognitive Behavioral Therapy- Moderate levels of crisis intervention- Wrap around"" services such as mobile therapy and in-home therapeutic support services, as neededDiagnoses served:- Severe trauma- Autism- Depression- PTSD- Other emotional or behavioral diagnosesJuvenile Justice Center Of Philadephia accepts Medicaid and Third Party insurances from most private health insurance plans for behavioral services.",['English'],Not specified,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",40.0311924,-75.1723852,19144,FALSE,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,Closed,Closed,0/5,Mental Health
"Philadelphia Gaming Initiative (Insttitute for the Development of African-American Youth, Inc.)",https://www.auntbertha.com//institute-for-the-development-of-african-american-youth%252C-inc.-%2528idaay%2529--philadelphia-pa--philadelphia-gaming-initiative/5820170162012160?postal=19131,"['counseling', 'community support services', 'recreation', 'navigating the system', 'mentoring', 'one-on-one support', 'peer support', 'youth development']",,"['young adults', 'teens', 'criminal justice history', 'male', 'domestic violence survivors']",215-931-8512,https://idaay.org/program/philadelphia-gaming-initiative,"1001 East Chelten Avenue, Philadelphia, PA 19138","https://www.google.com/maps/?q=1001+East+Chelten+Avenue,+Philadelphia,+PA+19138/","['This program serves minority males who: Have currently involved (track record of involvement) or at-risk of involvement in behaviors that could lead to gun violence (curfew violators, truant, etc.) AND/OR', 'Have sibling(s) who are gun violence victim(s)/perpetrator(s) AND/OR', 'Are victim/perpetrator of bullying or other aggressive assaults AND/OR', 'Are victim/perpetrator of domestic/dating violence AND/OR', 'Are involved/at risk of involvement in the juvenile justice/criminal system AND/OR', 'Residing in the target area. (Germantown, Germantown - Penn Knox, and   Northwest).', 'This program helps people who are 14 to 25 years old.']",available,"Philadelphia Gaming Initiative, a community-based collaborative between the Institute for the Development of the African Youth (IDAAY),  Action for Justice Collective (AFJC), and New Journey CDC,  will incorporate competitive gaming/esports as a redirection strategy coupled with supportive services to improve outcomes for youth identified as at risk of gun violence. This program provides:- Recreation- Life/social skills development- psychoeducational counseling- Restorative justice programming- Community engagement- Career explorationTournaments will be held on alternate Saturdays This initiative is funded by Pennsylvania Commission on Crime and Delinquency (PCCP).",['English'],Free,TRUE,https://www.facebook.com/idaayinc,https://www.twitter.com/@idaayinc,"This program covers residents of the following counties: Philadelphia County, PA.",40.048832,-75.1618699,19138,FALSE,4:00PM - 7:30PM,Closed,4:00PM - 7:30PM,Closed,4:00PM - 7:30PM,Closed,Closed,5.0/5,Mental Health
Family House Now (New Options for Women),https://www.auntbertha.com//resources-for-human-development-%2528rhd%2529---pennsylvania--philadelphia-pa--family-house-now-%2528new-options-for-women%2529/5453759373770752?postal=19131,"['residential housing', 'addiction & recovery', 'residential treatment']","['parenting education', 'skills & training']","['teens', 'children', 'infants <1', 'with children', 'low-income', 'mothers']",215-878-8616,https://www.rhd.org/program/family-house-now-new-options-for-women/,"1020 North 48th Street, Philadelphia, PA 19131","https://www.google.com/maps/?q=1020+North+48th+Street,+Philadelphia,+PA+19131/","['Women experiencing mental illness and chemical dependence, and their children can access this program.']",available,"Resources for Human Development (RHD) offers a long-term residential treatment facility for women experiencing mental illness and chemical dependence, and their children. Special components address drug/alcohol addiction, mental illness, life skills, trauma, and parenting skills, as well as prevention and intervention for the children.This program provides:- Residential treatment",['English'],Reduced Cost,TRUE,https://www.facebook.com/ResourcesHD,https://www.twitter.com/@Resources4HD,"This program covers residents of the following counties: Philadelphia County, PA.",39.970982,-75.2177545,19131,FALSE,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,Closed,Closed,4.3/5,Mental Health
Autism Services (SPIN),https://www.auntbertha.com//spin--philadelphia-pa--autism-services/5997417293152256?postal=19131,"['daily life skills', 'understand disability', 'counseling', 'specialized therapy', 'group therapy', 'navigating the system']",['support groups'],"['young adults', 'teens', 'children', 'autism', 'families', 'benefit recipients', 'parents']",844-774-6226,https://spininc.org/autism-services/,"10541 Drummond Road, Philadelphia, PA 19154","https://www.google.com/maps/?q=10541+Drummond+Road,+Philadelphia,+PA+19154/",['Must have Medicaid.'],available,"The Autism Center for Excellence offers help and hope for your child and family. Whether you wonder if your child may have Autism or are trying to find the best services to help your child make progress after diagnosis, our professional team is here for you every step of the way. SPIN knows that every child will grow and develop to their best potential when professionals and families work in partnership. SPIN’s intervention services focus on building skills with parents, teachers, and community members so that the child will achieve the greatest possible level of independence and community inclusion.

Services:

- Evaluation for autism
- Social skills treatment groups
- Outpatient therapy
- Psychiatric medication management for children and adolescents 
- Applied behavioral analysis (ABA)
- Intensive Behavioral Health Services (IBHS)
- Blended Case Management
- Parent Support Groups

We accept Medicaid for these services.","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/SPINInc/,,"This program covers residents of the following counties: Philadelphia County, PA.",40.0883064,-74.9948259,19154,FALSE,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,Closed,Closed,0/5,Mental Health
Residential Rehabilitation Program (The Kirkbride Center),https://www.auntbertha.com//the-kirkbride-center--philadelphia-pa--residential-rehabilitation-program/6200212211892224?postal=19131,"['addiction & recovery', 'detox', 'residential treatment', 'medications for addiction']",,"['adults 18+', 'benefit recipients', 'substance dependency', 'opioid dependency', 'alcohol dependency']",215-471-2488,http://kirkbridecenter.com/Addiction_Services/,"111 North 49th Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=111+North+49th+Street,+Philadelphia,+PA+19139/",['Must have Medicaid.'],available,"The Kirkbride Center offers both long- and short-term residential treatment to those facing drug or alcohol addiction. Our goal is to help each individual to formulate coping skills to replace self-destructive behaviors, develop a strong support network and choose to lead an independent, productive life.Services include:- Detoxification- Drug free residential rehabilitation- Treatment for co-occuring disorders- Gender Specific Trauma Recovery (TREM)- Ongoing medication-assisted treatment (MAT) - Pharmacologic blockade- Methadone, buprenorphrine (Suboxone) and naltrexone (Vivitrol) treatment and referralsThe Kirkbride Center accepts Medicaid. Referrals are accepted 24/7 by phone or fax from crisis response and assessment centers, treatment providers (inpatient and outpatient), the Forensic Intensive Recovery Program and the court system, as well as walk-ins. Prior to formal admission, patients will undergo a formal, face-to-face evaluation to gain a full understanding of their background. This is in order to ensure their current needs are fully within the facility’s scope of practice and to place them within the best treatment area for their needs.",['English'],Reduced Cost,TRUE,,,"This program covers residents of the following counties: Bucks County, PA, Chester County, PA, Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",39.9617037,-75.2184789,19139,TRUE,,,,,,,,0/5,Mental Health
Outpatient Mental and Behavioral Health Therapy Services (Einstein Healthcare Network),https://www.auntbertha.com//einstein-healthcare-network--philadelphia-pa--outpatient-mental-and-behavioral-health-therapy-services/5366916094099456?postal=19131,"['specialized therapy', 'mental health care', 'counseling', 'group therapy', 'family counseling', 'individual counseling', 'mental health evaluation']",,"['all ages', 'benefit recipients', 'low-income', 'uninsured', 'all mental health', 'lgbtqia+']",215-456-9850,https://www.jeffersonhealth.org/clinical-specialties/psychiatry-human-behavior,"1200 W. Tabor Rd., Philadelphia, PA 19141","https://www.google.com/maps/?q=1200+W.+Tabor+Rd.,+Philadelphia,+PA+19141/",[],available,Mental and behavioral health therapy treatment at Einstein is customized to fit an individual patient and diagnosis. Einstein Health offers a wide range of programs and counseling options to meet a variety of mental health needs.Services:- Diagnostic re-evaluation- Family consultation- Pharmacotherapy and education about medication- Internal medicine consultation and pharmacotherapy- Couples or Family Therapy & Counseling- Prolonged Exposure Therapy for PTSD- Cognitive behavior therapy - CBT- Electroconvulsive therapy (ECT) - LGBTQ+ competent psychiatry and mental health therapy- Mental health group therapyWe accept Medicaid and Medicare and offer financial assistance for patients without insurance.,['English'],Reduced Cost,TRUE,https://www.facebook.com/EinsteinHealth/,,"This program covers residents of the following counties: Philadelphia County, PA.",40.0371815,-75.1415862,19141,FALSE,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,Closed,Closed,0/5,Mental Health
Rearing Successful Sons (Presbytery of Philadelphia),https://www.auntbertha.com//presbytery-of-philadelphia--philadelphia-pa--rearing-successful-sons-%2528rss%2529/6229254958350336?postal=19131,"['mental health care', 'financial education', 'recreation', 'after school care', 'case management', 'support network', 'mentoring', 'spiritual support', 'more education']",,"['teens', 'children', 'male', 'african american']",215-389-5504,https://presbyphl.org/leadership/mission-ministry-associations/pcmdv/,"1201 South 23rd Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=1201+South+23rd+Street,+Philadelphia,+PA+19146/","['This program helps people who are 9 to 17 years old.', 'This program supports young African-American males in South Philadelphia’s Point Breeze community.']",available,"Rearing Successful Sons is an innovative faith-based initiative designed and planned to teach, guide, model and mentor young African-American males ages 9 -17 in South Philadelphia’s Point Breeze community. Trained volunteers guide participants through a series of self-directed learning modules that focus on spirituality, financial literacy, meaning of family, emotional and physical health, education, career development and social engagement.This program provides: - Life skills and communication training- Culturally competent mentorship- Networking and enrichment opportunities- Healthcare services that help to address underlying behavioral issues- Field trips- Activities- Case managementThis program is conducted four days a week after school.",['English'],Free,TRUE,https://www.facebook.com/pages/Presbytery-of-Philadelphia/220169698151940,https://www.twitter.com/@Presby_Phl,"This program covers residents of the following cities: Philadelphia, PA.",39.9378617,-75.1812138,19146,FALSE,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,Closed,Closed,0/5,Mental Health
