Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Reviews,Service_Type
Recuperative Care (Serenity Recuperative Care),https://www.auntbertha.com//serenity-recuperative-care--long-beach-ca--recuperative-care/5661138241060864?postal=92620,"['temporary shelter', 'medical care', 'one-on-one support']",,"['adults 18+', 'post-treatment', 'individuals', 'homeless']",562-588-9188,http://serenityrecupcare.com,"2125 East 4th Street, Long Beach, CA 90814","https://www.google.com/maps/?q=2125+East+4th+Street,+Long+Beach,+CA+90814/",['This program serves homeless individuals.'],available,"The Recuperative Care program offers those that are homeless and healing from illness and/or injury a safe, secure, cozy home environment where they can finish ‘recuperating’.This program provides:- Post-hospitalization care",['English'],Free,True,,,This program covers residents of the following states: CA.,33.7719848,-118.1660718,90814.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Domestic Violence Emergency Shelter (Angel Step Inn),https://www.auntbertha.com//angel-step-inn--pico-rivera-ca--domestic-violence-emergency-shelter/4857317208096768?postal=92620,"['temporary shelter', 'help escape violence', 'help hotlines']","['parenting education', 'safety education', 'individual counseling', 'case management', 'support network', 'support groups']","['all ages', 'individuals', 'with children', 'domestic violence survivors']",323-780-4357,https://charityadvantage.com/inActive.html,,,['This program helps survivors of domestic and intimate partner violence.'],available,"Angel Step Inn is a safe, confidential emergency shelter dedicated to assisting all victims of intimate partner violence, with or without children. The shelter holds approximately 30 people at a time and is staffed 24-hours a day to offer security and comprehensive support services to residents. This program provides:- Emergency Shelter- 24-Hour Crisis LineResidents of Angel Step Inn will be offered comprehensive support services, including:- Individual Counseling- Domestic Violence Education Group- Parenting Education Group- Case ManagementThe Angel Step Inn shelter is a homelike atmosphere that encourages privacy and peace for healing from intimate partner abuse. If you are unsure about what to do or how to leave a violent relationship, call the 24-hour Crisis Line at 323-780-4357.","['English', 'Spanish']",Free,True,,,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",,,,True,,,,,,,,,Shelter
HOPWA (Housing Opportunities for People with AIDS) (Single Room Occupancy (SRO) Housing Corporation),https://www.auntbertha.com//single-room-occupancy-%2528sro%2529-housing-corporation--los-angeles-ca--hopwa-%2528housing-opportunities-for-people-with-aids%2529/5785179387854848?postal=92620,"['temporary shelter', 'long-term housing', 'short-term housing', 'navigating the system', 'case management', 'one-on-one support']",,"['adults 18+', 'hiv/aids', 'emergency']",213-229-2826,http://www.srohousing.org/social-services.html,,,"['Must be homeless or at the risk of being homeless.', 'Must have no income or low income.', 'Must be diagnosed with HIV/AIDS.', 'This program helps people who are older than 17 years old.']",available,"The SRO Housing Corporation offers HOPWA to provide emergency, transitional, and permanent housing along with a full range of case management services for persons living with HIV/AIDS. We provide:- Emergency, transitional, and permanent housing- Case management- Support services- Referrals",['English'],Free,True,https://www.facebook.com/SROHousing#!/SROHousing,https://www.twitter.com/@srohousing,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",,,,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
45-day Crisis Shelter (Haven Hills),https://www.auntbertha.com//haven-hills--canoga-park-ca--45-day-crisis-shelter/6593014155706368?postal=92620,['temporary shelter'],"['meals', 'clothing', 'counseling', 'community support services', 'support network']","['all ages', 'female', 'mothers', 'domestic violence survivors', 'sexual assault survivors', 'in crisis', 'emergency']",818-887-6589,https://havenhills.org/en/services/,,,[],available,"The 45-Day Crisis Shelter offers a confidential refuge for victims of domestic violence, and their children, to find stability, break away, reassess and begin to rebuild their lives. Services Provided:- Crisis shelter - Food to meet basic nutritional needs- Clothing if needed- Support servicesStaff can immediately address trauma with:- Counseling, support and advocacy- Legal and medical referrals- Development of a safety plan- Access to community resources- Children’s program and On-Site Shelter School","['English', 'Spanish']",Free,True,https://www.facebook.com/havenhills,https://www.twitter.com/@havenhills,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",,,,True,,,,,,,,,Shelter
Hawkes Residence (Good Shepherd Center for Homeless Women and Children),https://www.auntbertha.com//good-shepherd-center-for-homeless-women-and-children--los-angeles-ca--hawkes-residence/6251334804176896?postal=92620,['temporary shelter'],"['meals', 'help find housing', 'clothing', 'daily life skills', 'counseling', 'financial education', 'computer or internet access', 'navigating the system']","['adults 18+', 'female', 'individuals', 'homeless']",213-318-5773,http://gschomeless.org/hawkes-residence/,"1640 Rockwood Street, Los Angeles, CA 90026","https://www.google.com/maps/?q=1640+Rockwood+Street,+Los+Angeles,+CA+90026/",['This program serves single women that are experiencing homelessness.'],available,"Hawkes Residence provides temporary housing for women experiencing homelessness where they can temporarily house women for up to 30 days.This program provides:- Temporary shelterAdditional services include:- Case management- Meals- Counseling- Daily life skills- Navigating community resources- Computer access- Help find housingTo qualify for shelter at Hawkes, you must:- Be an unaccompanied woman 18 years of age or older- Be homeless- Have a current TB test (Taken in the last 6 months)- Have a valid picture ID and Social Security Card",['English'],Free,True,https://www.facebook.com/gschomeless?sk=wall&filter=1,,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",34.06507,-118.26444,90026.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Marshal House-Transitional Housing (Single Room Occupancy (SRO) Housing Corporation),https://www.auntbertha.com//single-room-occupancy-%2528sro%2529-housing-corporation--los-angeles-ca--marshal-house-transitional-housing/4837413853593600?postal=92620,"['temporary shelter', 'addiction & recovery', '12-step', 'daily life skills', 'navigating the system', 'support network', 'one-on-one support', 'support groups', 'skills & training']",,"['adults', 'young adults', 'seniors', 'veterans', 'individuals', 'homeless', 'substance dependency']",213-229-9682,https://www.srohousing.org/property-management.html,"523 San Julian Street, Los Angeles, CA 90013","https://www.google.com/maps/?q=523+San+Julian+Street,+Los+Angeles,+CA+90013/",['This program helps homeless veterans'],available,"Marshal House-Transitional Housing is available for homeless veterans in recovery from substance use. Services offered:- Transitional housing- Case management - Food services- Support groups- 12-step meetings- Money Management, Job education and Job referral services",['English'],Free,True,https://www.facebook.com/SROHousing#!/SROHousing,https://www.twitter.com/@srohousing,"This program covers residents of the following counties: Los Angeles County, CA, Riverside County, CA, Ventura County, CA, Orange County, CA and San Bernardino County, CA.",34.044069,-118.2457869,90013.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
"Cornerstone RRR (San Fernando Valley Community Mental Health Center, Inc.)",https://www.auntbertha.com//san-fernando-valley-community-mental-health-center%252C-inc.--los-angeles-ca--cornerstone-rrr/5333382993018880?postal=92620,"['temporary shelter', 'personal hygiene', 'medication management', 'counseling', 'substance abuse counseling', 'medications for mental health', 'navigating the system', 'support network', 'one-on-one support']",,"['adults', 'young adults', 'seniors', 'criminal justice history', 'homeless', 'near homeless', 'low-income', 'trauma survivors', 'all mental health']",818-901-4836,https://www.movinglivesforward.org/program/cornerstone-rrr/,"16360 Roscoe Boulevard, Los Angeles, CA 91406","https://www.google.com/maps/?q=16360+Roscoe+Boulevard,+Los+Angeles,+CA+91406/",['This program helps people who are 26 to 59 years old.'],available,"Cornerstone RRR provides immediate assistance to mentally ill, homeless individuals for basic survival needs. The Cornerstone Field Capable Clinical Services program serves adults aged 26-59 with a serious mental illness who are homeless, at risk of homelessness and are unserved, underserved, or inappropriately served.This program provides:- Temporary shelter- Personal hygiene- Case management- Dual diagnosis services- Medication support services",['English'],Free,True,https://www.facebook.com/San-Fernando-Valley-Community-Mental-Health-Center-Inc-174548292569312/,,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",34.2206894,-118.4891133,91406.0,False,10:30AM – 20:00PM,10:30AM – 20:00PM,10:30AM – 20:00PM,10:30AM – 20:00PM,10:30AM – 20:00PM,Closed,Closed,,Shelter
Transitional Living Program (Youth Emerging Stronger (YES)),https://www.auntbertha.com//youth-emerging-stronger-%2528yes%2529--los-angeles-ca--transitional-living-program/6525503538200576?postal=92620,"['temporary shelter', 'short-term housing', 'case management']","['daily life skills', 'mental health care', 'navigating the system', 'one-on-one support', 'more education', 'tutoring', 'skills & training']","['young adults', 'teens', 'homeless']",323-454-2886,https://www.youthemergingstronger.org/transitional-living-index,"1853 Taft Avenue, Los Angeles, CA 90028","https://www.google.com/maps/?q=1853+Taft+Avenue,+Los+Angeles,+CA+90028/",['This program helps people who are 18 to 24 years old.'],available,"YES’s Homeless Minor Youth Program provides emergency housing in a home-like group setting for transitional age youth experiencing homelessness. Residents receive guided support and a comprehensive suite of services designed to enable them to become self-sufficient, live independently and successfully navigate a future without homelessness.We provide:- Emergency housing- Case managementOur program also provides:- Life skills training- Mental health therapy- Education development- Career development",['English'],Free,True,,https://www.twitter.com/@WeAreYesYouth,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Ventura County, CA, Riverside County, CA and San Bernardino County, CA.",34.104905,-118.315059,90028.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Emergency Shelter (Child Family Center),https://www.auntbertha.com//child-family-center--santa-clarita-ca--emergency-shelter/5745445426954240?postal=92620,['temporary shelter'],"['emergency food', 'clothing', 'transportation', 'parenting education', 'counseling', 'family counseling', 'individual counseling', 'navigating the system', 'one-on-one support', 'advocacy & legal aid']","['children', 'individuals', 'families', 'abuse or neglect survivors', 'domestic violence survivors', 'emergency']",661-259-8175,https://www.childfamilycenter.org/get-help,"38345 30th Street East, Palmdale, CA 93550","https://www.google.com/maps/?q=38345+30th+Street+East,+Palmdale,+CA+93550/",[],available,"Child Family Center's Emergency Shelter provides a 30 day shelter for women and children who are victims of domestic violence and child abuse.We offer:- Emergency shelterOnce enrolled we provide:-  Food, shelter and support services to individuals and families- Individual and group counseling- Transportation- Emergency food- Clothing assistance- Case management- Legal advocacy- CalWORKs assistance- Temporary restraining order (TRO) preparation and submission- Court accompaniment- Parenting education- Transitional services.For help on our program please call us at 661-259-HELP (4357)","['English', 'Spanish']",Reduced Cost,True,https://www.facebook.com/ChildFamilyCenter/,,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",34.5789811,-118.0766485,93550.0,False,Closed,14:00PM – 21:00PM,Closed,Closed,Closed,Closed,Closed,,Shelter
Languille Emergency Shelter Program (Good Shepherd Center for Homeless Women and Children),https://www.auntbertha.com//good-shepherd-center-for-homeless-women-and-children--los-angeles-ca--languille-emergency-shelter-program/5383427811442688?postal=92620,['temporary shelter'],"['long-term housing', 'clothing', 'government benefits', 'navigating the system', 'help find work', 'one-on-one support', 'skills & training', 'meals']","['homeless', 'teens', 'young adults', 'adults', 'seniors', 'emergency', 'female']",213-318-5773,http://gschomeless.org/languille-shelter/,"1650 Rockwood Street, Los Angeles, CA 90026","https://www.google.com/maps/?q=1650+Rockwood+Street,+Los+Angeles,+CA+90026/","['This program helps people who are older than 17 years old.', 'This program helps unaccompanied homeless women living on the street, the car or have lost their home.']",available,Languille Emergency Shelter program provides emergency housing for unaccompanied women who are homeless. This program provides:- Crises/Bridge Housing- Case Management- Three meals a day- Counseling- Life Skills Workshops- Access to the computer lab,['English'],Free,True,https://www.facebook.com/gschomeless,,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",34.0650526,-118.2647046,90026.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
