Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Reviews,Service_Type
Community Center (The Salvation Army of Santa Monica),https://www.auntbertha.com//the-salvation-army-of-santa-monica--santa-monica-ca--community-center/4865175637196800?postal=90012,"['food pantry', 'recreation', 'support network', 'one-on-one support', 'spiritual support']",,"['anyone in need', 'all ages']",310-451-1358,http://santamonica.salvationarmy.org/,"1533 4th St, Santa Monica, CA 90401","https://www.google.com/maps/?q=1533+4th+St,+Santa+Monica,+CA+90401/",[],available,"The Santa Monica Corps Community Center is a resource of Christian ministry for worship and social interaction, which also provides services to address the needs of local residents of all ages.The programs and services offered through theSanta Monica Corps are specific to the needs of the communities in which we are located. We serve people of all ages– from children to seniors, and to a wide variety of needs. Services offered at the Community Center include:- Food & Nutrition Programs- Seasonal Services- Casework Services- Group Work Services- Worship Services - Church and Sunday School- Christian Education- Women's and Men's Ministries- Music & Arts Programs- Residential Camping ActivitiesThe food pantry is open Monday through Friday from 9 AM to 11 AM only.",['English'],Free,True,,,"This program covers residents of the following counties: Los Angeles County, CA.",34.014525,-118.4924575,90401.0,False,11:00AM – 8:00PM,11:00AM – 8:00PM,11:00AM – 8:00PM,11:00AM – 8:00PM,11:00AM – 8:00PM,3:00AM – 3:00AM,3:00AM – 3:00AM,,Food
Monthly Food Bank (SSS Good Samaritan),https://www.auntbertha.com//sss-good-samaritan--lakewood-ca--monthly-food-bank/5099242022502400?postal=90012,['food pantry'],"['clothing', 'home goods', 'toys & gifts']","['anyone in need', 'all ages']",,http://www.sssgs.org/home/programs/#monthlyfoodbank,"5035 Hedda Street, Lakewood, CA 90805","https://www.google.com/maps/?q=5035+Hedda+Street,+Lakewood,+CA+90805/",['No eligibility'],available,"Our food bank is designed assist or supplement food reserves for families that are barely meeting their basic needs. Most of what we offer is canned food. When available, we also give away toys, household essentials, used clothing, and other home items. We give food on a first come first serve basis to those who come on time, every 4th Saturday monthly at Calvary Hall.  Services Provided - food",['English'],Free,True,https://www.facebook.com/sssgs/info?tab=overview,,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",33.8643601,-118.1344405,90805.0,False,Closed,Closed,Closed,Closed,Closed,11:30AM – 1:00PM,Closed,,Food
Food Pantry (Second Baptist Church of Monrovia),https://www.auntbertha.com//second-baptist-church-of-monrovia--monrovia-ca--food-pantry/5957197783629824?postal=90012,"['food pantry', 'clothing', 'home goods']",,"['anyone in need', 'all ages']",,https://www.sbcmonrovia.org/,"925 S Shamrock Ave, Monrovia, CA 91016","https://www.google.com/maps/?q=925+S+Shamrock+Ave,+Monrovia,+CA+91016/",[],available,"The Pantry Ministry by the Second Baptist Church of Monrovia, focuses on the hungry, homeless, poor, and needy. Come and hear the word of God and enjoy a hot meal.Services include:- Food that meet basic nutritional needsPlease visit our location to get services.",['English'],Free,True,,https://www.twitter.com/@sbcmonrovia,"This program covers residents of the following counties: Los Angeles County, CA.",34.1421367,-117.9914347,91016.0,False,Closed,3:00PM – 4:00PM,Closed,3:00PM – 4:00PM,Closed,Closed,Closed,,Food
Food Pantry (Valley Food Bank),https://www.auntbertha.com//valley-food-bank--los-angeles-ca--food-pantry/4924518497517568?postal=90012,['food pantry'],,"['anyone in need', 'all ages']",,https://valleyfoodbank.org/food-pantry-locations/,"7722 Kester Avenue, Los Angeles, CA 91405","https://www.google.com/maps/?q=7722+Kester+Avenue,+Los+Angeles,+CA+91405/",['Anyone can access this program.'],available,"Our food pantries serve everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance.Services provided to our community include:- Food to meet basic nutritional needsPlease check out the Food Pantry Locations page on our website often. Food Pantry times and locations may change without notice.",['English'],Free,True,https://www.facebook.com/ValleyFoodBank/,,"This program covers residents of the following counties: Los Angeles County, CA.",34.2109474,-118.4571517,91405.0,False,Closed,7:00PM – 8:00PM,Closed,Closed,Closed,Closed,Closed,,Food
Food Pantry (Osborne Neighborhood Church),https://www.auntbertha.com//osborne-neighborhood-church--los-angeles-ca--food-pantry/4912129698168832?postal=90012,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families', 'low-income']",,https://www.osbornechurch.com/ministries.html,"13501 Osborne Street, Los Angeles, CA 91331","https://www.google.com/maps/?q=13501+Osborne+Street,+Los+Angeles,+CA+91331/",['This program can be accessed by anyone.'],available,"Our Food Pantry provides free food to feed families and individuals in need. We supply groceries for residents that do not have enough food because they lack the resources to purchase it. We serve everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else that comes to the pantry for food assistance. We provide:- Nutritious foodWe serve everyone regardless of their race, color, or religion. The amount of food given depends on household size.",['English'],Free,True,https://www.facebook.com/osbornechurch,,"This program covers residents of the following cities: Los Angeles, CA.",34.2415744,-118.4277651,91331.0,False,Closed,Closed,Closed,Closed,Closed,10:00AM – 3:00PM,Closed,,Food
Food Ministry (Peoples Tabernacle of Faith Baptist Church),https://www.auntbertha.com//peoples-tabernacle-of-faith-baptist-church--los-angeles-ca--food-ministry/6721392802267136?postal=90012,['food pantry'],['spiritual support'],"['all ages', 'individuals', 'families']",213-308-4885,https://ptofbc.org/ministries/,"3635 West Slauson Avenue, Los Angeles, CA 90043","https://www.google.com/maps/?q=3635+West+Slauson+Avenue,+Los+Angeles,+CA+90043/",[],available,"Peoples Tabernacle of Faith Baptist Church provides food for those in need. When enough food is accumulated for distribution on Wednesdays, a call is made to individuals who either need food or know how to get it to those who have a need.This program provides:- Food to meet basic nutritional needsPlease reach out by phone if you are in need of food.",['English'],Free,True,https://www.facebook.com/Ptofaith/,,"This program covers residents of the following cities: Los Angeles, CA.",33.9891493,-118.336468,90043.0,False,Closed,Closed,6:00PM – 8:00PM,Closed,Closed,Closed,12:00PM – 4:00PM,,Food
Emergency Assistance (East San Gabriel Valley Coalition for the Homeless (ESGVCH)),https://www.auntbertha.com//east-san-gabriel-valley-coalition-for-the-homeless-%2528esgvch%2529--la-puente-ca--emergency-assistance/6220657520017408?postal=90012,"['help pay for housing', 'food pantry', 'meals', 'bus passes', 'personal hygiene', 'counseling', 'navigating the system', 'one-on-one support', 'advocacy & legal aid']",['navigating the system'],"['anyone in need', 'all ages', 'individuals', 'families', 'homeless', 'near homeless']",626-333-7204,https://www.esgvch.org/emergency-access-center-eac,"15701 Hill Street, La Puente, CA 91744","https://www.google.com/maps/?q=15701+Hill+Street,+La+Puente,+CA+91744/",[],available,"The ESGVCH staff sees to the emergency needs of the homeless and those at risk. This could be a hot slice of pizza, a sack lunch, showers, hygiene kits, bus tokens, motel vouchers for families and counseling and advocacy for those who need help. The clients often use the Emergency Assistance office address to receive their mail.This program provides:- Meals- Transportation vouchers- Hygiene kits- ShowersThe office is located in the St. Martin de Porres Center at the rear of St. John Vianney Catholic Church. Staff also assist clients with information and referrals for medical, dental, domestic violence, drug, alcohol counseling, and housing.Program clients may also access:- Help Navigating the System- Help finding Healthcare- Help Finding Housing","['English', 'Spanish']",Free,True,https://www.facebook.com/pages/East-San-Gabriel-Valley-Coalition-for-the-Homeless/155078399775,,"This program covers residents of the following counties: Los Angeles County, CA.",34.0263535,-117.9507573,91744.0,False,11:30AM – 4:30PM,11:30AM – 4:30PM,11:30AM – 4:30PM,11:30AM – 4:30PM,11:30AM – 4:30PM,Closed,Closed,,Food
Healthy Breakfast and Lunch Program (Mother of Sorrows Catholic School),https://www.auntbertha.com//mother-of-sorrows-catholic-school--los-angeles-ca--healthy-breakfast-and-lunch-program/5888680807628800?postal=90012,"['food pantry', 'meals']",,"['all ages', 'students', 'individuals', 'families', 'low-income']",,http://www.motherofsorrowsla.org/programs/student-family-support-services/,"100 West 87th Place, Los Angeles, CA 90003","https://www.google.com/maps/?q=100+West+87th+Place,+Los+Angeles,+CA+90003/",['This program serves Mother of Sorrows School students and families.'],available,Our Healthy Breakfast and Lunch Program provides free meals for Mother of Sorrows School students and families.Services include:- MealsApplications for free and reduced meals are available in the school office.,['English'],Free,True,,,"This program covers residents of the following cities: Los Angeles, CA.",33.9577492,-118.2740862,90003.0,False,11:00AM – 8:00PM,11:00AM – 8:00PM,11:00AM – 8:00PM,11:00AM – 8:00PM,11:00AM – 8:00PM,Closed,Closed,,Food
Food Pantry (God's Pantry),https://www.auntbertha.com//god%2527s-pantry--covina-ca--food-pantry/4866067512426496?postal=90012,['food pantry'],,"['anyone in need', 'all ages', 'immigrants', 'undocumented', 'individuals', 'families', 'limited english']",,https://www.gods-pantry.com/,"1016 Cypress Street, Covina, CA 91722","https://www.google.com/maps/?q=1016+Cypress+Street,+Covina,+CA+91722/",['Anyone can access this program.'],available,"The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsDue to COVID-19 all Saturday distributions are suspended. Instead, this provider is hosting a drive-thru distribution at their Pomona warehouse location (by appointment only).","['English', 'Spanish']",Free,True,https://www.facebook.com/godspantryca/,,"This program covers residents of the following counties: Los Angeles County, CA, Riverside County, CA and San Bernardino County, CA.",34.0947012,-117.9097344,91722.0,False,Closed,Closed,Closed,Closed,Closed,10:00AM – 4:00PM,Closed,,Food
Food Pantry (Lutheran Social Services of Southern California (LSSSC)),https://www.auntbertha.com//lutheran-social-services-of-southern-california-%2528lsssc%2529--long-beach-ca--food-pantry/5738902336045056?postal=90012,['food pantry'],,"['all ages', 'individuals', 'families', 'limited english', 'emergency']",562-599-1321,https://www.lsssc.org/what-we-do/emergency-services/,"1611 Pine Avenue, Long Beach, CA 90813","https://www.google.com/maps/?q=1611+Pine+Avenue,+Long+Beach,+CA+90813/",['This program serves those who are in the coverage area.'],available,"LSSSC's food pantries provide fresh and non-perishable food in cans/cartons, refrigerated meats, vegetables & dairy products to community members in need. 

This program provides: 

- Food to meet basic nutritional needs

Each location's food pantry has individual operating hours. Please call ahead of time to verify available services.","['English', 'Spanish']",Free,True,https://www.facebook.com/LSSSouthernCalifornia/,https://www.twitter.com/@LSSSouthernCal,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA, San Diego County, CA and Ventura County, CA.",33.7874645,-118.1927444,90813.0,False,1:00PM – 5:00PM,1:00PM – 5:00PM,1:00PM – 5:00PM,1:00PM – 5:00PM,11:00AM – 8:00PM,Closed,Closed,,Food
