Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Reviews,Service_Type
Financial Assistance for Military Families (American Red Cross),https://www.auntbertha.com//american-red-cross--washington-dc--financial-assistance-for-military-families/5931501920976896?postal=90013,"['emergency payments', 'emergency food', 'temporary shelter', 'burial & funeral help', 'financial assistance']",,"['adults 18+', 'active duty', 'national guard', 'veterans', 'families', 'spouses', 'emergency']",877-272-7337,https://www.redcross.org/get-help/military-families/financial-assistance.html,,,"['Eligible for financial assistance if you are: An active duty service member OR', 'A member of an activated National Guard or Reserve unit OR', 'An immediate family member of a service member in the above two categories OR', 'A military retiree or spouse/widow(er) of a retiree.']",available,"The American Red Cross works in partnership with military aid societies to provide quality, reliable financial assistance to eligible applicants 24/7/365 in times of hardship.This program provides: - Financial assistance for emergency needsAssistance can include funds for emergency travel, burial of a loved one, emergency food and shelter, etc. Red Cross helps to facilitate the application process, the military aid society determines eligibility and the specific financial assistance package that is offered.You can submit a request online or call the American Red Cross Hero Care Center.  When calliing, be sure to have the following information ready to provide the representative:- Legal name- Rank or rating- Social Security number- Date of birth- Branch of service (Army, Navy, Air Force, Marines, Coast Guard)- Military unit address- Information about the deployed unit and home base unit (for deployed service members only)",['English'],Free,True,https://www.facebook.com/redcross,https://www.twitter.com/@redcross,"This program covers residents of the following states: AK, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,True,,,,,,,,,Food
Emergency Shelter (Home at Last),https://www.auntbertha.com//home-at-last--inglewood-ca--emergency-shelter/6167826891800576?postal=90013,"['temporary shelter', 'immediate safety']",,"['adults 18+', 'individuals', 'homeless']",323-750-7177,https://www.homeatlastcdc.org/services/,"3425 West Manchester Boulevard, Inglewood, CA 90305","https://www.google.com/maps/?q=3425+West+Manchester+Boulevard,+Inglewood,+CA+90305/",[],available,Home at Last provides emergency overnight housing for individuals in South Los Angeles experiencing homelessness who are in urgent need of housing. Services provided: - Temporary shelterMust call after 5:00 PM on weekends and weekdays.,['English'],Free,True,,,"This program covers residents of the following cities: Los Angeles, CA.",33.9601342,-118.3315953,90305.0,False,20:00PM – 09:00AM,20:00PM – 09:00AM,20:00PM – 09:00AM,20:00PM – 09:00AM,20:00PM – 09:00AM,Closed,Closed,,Food
Seton House (Maryvale),https://www.auntbertha.com//maryvale--rosemead-ca--seton-house/4862964413366272?postal=90013,"['safe housing', 'temporary shelter', 'daily life skills', 'counseling', 'group therapy', 'individual counseling', 'navigating the system', 'support network', 'one-on-one support', 'support groups']","['meals', 'spiritual support']","['adults 18+', 'individuals', 'families', 'with children', 'single parent', 'homeless', 'mothers', 'domestic violence survivors', 'substance dependency']",626-537-3305,https://www.maryvale.org/seton-house,"7600 Graves Avenue, Rosemead, CA 91770","https://www.google.com/maps/?q=7600+Graves+Avenue,+Rosemead,+CA+91770/",['This program helps single mothers with up to two children each under the age of 10 facing homelessness.'],available,"Maryvale provides safe, temporary housing for single mothers, empowering them with tools to help change the trajectory of their lives. Families will receive up to six months of services.This program provides:- Safe and temporary housing - One-on-one support - Individual and group therapy - Life skills - Support groups for mothers who have been victims of domestic violence or substance abuseThis program offers housing for nine mothers with up to two children each under the age of 10 facing homelessness. During this time, mothers are required to work closely with a case manager to work towards accomplishing both individual and program goals. A case manager will assist in providing mothers with various community linkages on the mothers’ path to achieving long term employment and permanent housing.",['English'],Reduced Cost,True,https://www.facebook.com/MaryvaleCA,https://www.twitter.com/@maryvale_la,"This program covers residents of the following counties: Los Angeles County, CA.",34.0535577,-118.1037752,91770.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Food
"Recuperative Care Center (Martin Luther King, Jr. Outpatient Center)",https://www.auntbertha.com//martin-luther-king%252C-jr.-outpatient-center--los-angeles-ca--recuperative-care-center/6694903784538112?postal=90013,"['temporary shelter', 'addiction & recovery', 'medical care', 'skilled nursing', 'mental health care']",,"['adults 18+', 'hospitalized', 'post-treatment', 'homeless', 'low-income', 'uninsured', 'substance dependency']",424-338-2000,https://www.mlkch.org/campus-resources,"1721 East 120th Street, Los Angeles, CA 90059","https://www.google.com/maps/?q=1721+East+120th+Street,+Los+Angeles,+CA+90059/","['This program serves homeless individuals who are not sick enough to need to stay under hospital care, but also not well enough to be released from medical care.']",available,"The Recuperative Care Center provides medical attention and mental health services for homeless individuals who are not sick enough to need to stay under hospital care, but also not well enough to be released from medical care.This program provides:- 24-hour nursing assistance- Short-term shelter during recovery- Mental health services- Substance abuse servicesThe Recuperative Care Center offers financial assistance. Call the financial counseling office at to make an appointment.",['English'],Reduced Cost,True,https://www.facebook.com/yourmlkch,https://www.twitter.com/@yourmlkch,"This program covers residents of the following counties: Los Angeles County, CA.",33.9248997,-118.2420456,90059.0,True,,,,,,,,,Food
Long-Term Shelter (Pacific Lifeline),https://www.auntbertha.com//pacific-lifeline--upland-ca--long-term-shelter/6283360483934208?postal=90013,['temporary shelter'],"['food pantry', 'baby supplies', 'clothes for school', 'clothes for work', 'toys & gifts', 'personal hygiene', 'family counseling', 'individual counseling', 'recreation', 'navigating the system', 'case management', 'spiritual support', 'tutoring']","['adults', 'young adults', 'female', 'with children', 'homeless', 'low-income', 'limited english', 'mothers']",909-931-2624,http://www.pacific-lifeline.org,,,['This program helps women and their children (ages 12 and below).'],waitlist,"Pacific Lifeline is a faith-based Long-Term Shelter serving homeless women and their children from San Bernardino, Riverside, and east Los Angeles counties, empowering them to achieve personal and social stability.This program provides: - Shelter for women and their childrenResidents may also receive: - Groceries and paper products- Cleaning supplies- Toiletries and baby supplies- Laundry facilities- Clothing for school and/or work- Individual and family counseling- Case management- Children's tutoring and group activities- Family enrichment activities- Re-entry homes- Access to food, necessities, and giftsMost residents are referred through short term programs, so if you are involved with one, please have your case worker contact the office. Otherwise, please contact the office and they will determine if you qualify for the Long-Term Shelter program. If you don't qualify, they will give you phone numbers for other organizations that may be able to help you.Referring organizations can call the shelter directly. Please note that this is not an emergency shelter and that the application process may take two weeks.","['English', 'Spanish']",Free,True,https://www.facebook.com/pacific.lifeline?_rdr,https://www.twitter.com/@PacificLifeline,"This program covers residents of the following counties: Los Angeles County, CA, Riverside County, CA and San Bernardino County, CA.",,,,False,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,Closed,Closed,,Food
Domestic Violence Emergency Shelter (Angel Step Inn),https://www.auntbertha.com//angel-step-inn--pico-rivera-ca--domestic-violence-emergency-shelter/4857317208096768?postal=90013,"['temporary shelter', 'help escape violence', 'help hotlines']","['parenting education', 'safety education', 'individual counseling', 'case management', 'support network', 'support groups']","['all ages', 'individuals', 'with children', 'domestic violence survivors']",323-780-4357,https://charityadvantage.com/inActive.html,,,['This program helps survivors of domestic and intimate partner violence.'],available,"Angel Step Inn is a safe, confidential emergency shelter dedicated to assisting all victims of intimate partner violence, with or without children. The shelter holds approximately 30 people at a time and is staffed 24-hours a day to offer security and comprehensive support services to residents. This program provides:- Emergency Shelter- 24-Hour Crisis LineResidents of Angel Step Inn will be offered comprehensive support services, including:- Individual Counseling- Domestic Violence Education Group- Parenting Education Group- Case ManagementThe Angel Step Inn shelter is a homelike atmosphere that encourages privacy and peace for healing from intimate partner abuse. If you are unsure about what to do or how to leave a violent relationship, call the 24-hour Crisis Line at 323-780-4357.","['English', 'Spanish']",Free,True,,,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",,,,True,,,,,,,,,Food
Congregational Network Shelter Program (Family Promise Of San Gabriel Valley),https://www.auntbertha.com//family-promise-of-san-gabriel-valley--san-gabriel-ca--congregational-network-shelter-program/5634871072915456?postal=90013,['temporary shelter'],"['help pay for gas', 'help find housing', 'personal care items', 'help find work', 'computer class', 'interview training']","['families', 'homeless', 'all ages']",626-569-0991,https://www.familypromisesgv.org/,,,[],available,"Family Promise of San Gabriel Valley’s congregation network shelter program is an innovative and cost effective approach to addressing family homeless, our program is made up of 13 faith-based locations that house families one a week at a time. Families are sheltered at different locations week to week until they are able find permanent housing.This program provides:- Laundry facilities- Day Center for families to receive intensive case management services- Shower facilities and toiletries- Transportation assistance, such as bus tokens, TAP transit cards and gas cards- Secure storage space- Computer access- Job search assistance- Resume writing- Job interview training- Housing location support - Landlord assistance",['English'],Free,True,https://www.facebook.com/FamilyPromiseSGV/,https://www.twitter.com/@FamPromiseSGV,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,11:00AM – 19:00PM,11:00AM – 19:00PM,11:00AM – 19:00PM,11:00AM – 19:00PM,11:00AM – 19:00PM,Closed,Closed,,Food
West Coast Maternity Home Association (The Right To Life League Of Southern California),https://www.auntbertha.com//the-right-to-life-league-of-southern-california--pasadena-ca--west-coast-maternity-home-association/6080469368045568?postal=90013,"['temporary shelter', 'maternity care']",,"['adults', 'young adults', 'female', 'pregnant', 'families', 'with children', 'emergency']",626-398-6100,https://righttolifeleague.org/programs/,"1028 N Lake Ave, Pasadena, CA 91104","https://www.google.com/maps/?q=1028+N+Lake+Ave,+Pasadena,+CA+91104/",[],available,"The West Coast Maternity Home Association is an association of maternity and transitional homes for pregnant women and their children, created to support pregnant women and children through the sharing of ideas, information, and resources.This program provides:- Transitional Housing- Case ManagementServices may vary from home to home, but each provides a framework that allows clients to choose life for their unborn child, and to get the services and support she needs to build a life for herself and her baby.",['English'],Free,True,https://www.facebook.com/righttolifeleague,https://www.twitter.com/@RTLLSC,"This program covers residents of the following counties: Los Angeles County, CA.",34.1637927,-118.1317719,91104.0,False,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,Closed,Closed,,Food
Transitional Housing - The CARE Cottages at Puerta Nueva (Family Service Agency of Burbank),https://www.auntbertha.com//family-service-agency-of-burbank--burbank-ca--transitional-housing---the-care-cottages-at-puerta-nueva/5195030524067840?postal=90013,"['temporary shelter', 'immediate safety', 'physical safety']",['case management'],"['all ages', 'individuals', 'families', 'domestic violence survivors', 'emergency']",818-845-7671,https://familyserviceagencyofburbank.org/programs/transitional-housing/,,,['This program serves families that are fleeing from domestic violence.'],available,Family Service Agency of Burbank offers The CARE Cottages at Puerta Nueva which provides transitional housing for families that are fleeing domestic violence. The families who qualify stay at these cottage residences in order to heal from the trauma of domestic abuse and seek a violence-free life.This program provides:- Transitional Housing- Immediate Safety,['English'],Free,True,https://www.facebook.com/FSABurbank/,https://www.twitter.com/@FSABurbank,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,12:00PM – 00:00AM,12:00PM – 00:00AM,12:00PM – 00:00AM,12:00PM – 00:00AM,12:00PM – 00:00AM,11:00AM – 21:00PM,Closed,,Food
Alegria (Salvation Army - California South),https://www.auntbertha.com//salvation-army---california-south--carson-ca--alegria/5557520139550720?postal=90220,"['temporary shelter', 'residential housing']","['meals', 'help find housing', 'after school care', 'navigating the system', 'case management']","['adults', 'young adults', 'hiv/aids', 'chronic illness', 'individuals', 'families', 'with children', 'spouses', 'parents']",323-454-4200,https://alegria.salvationarmy.org/,,,"['Must be referred by case manager or social worker.', 'This program is for the chronically ill and their families.']",available,"Alegria provides a residential care facility for the chronically ill, while also providing care for younger family members through its after-schooling program. This program serves those who are affected by HIV/AIDS and their loved ones: children, parents, spouses, and companions.This program provides:- Transitional housingParticipants in this program also benefit from:- Referrals to therapeutic services- Assistance in securing permanent housing- After school care- Meals",['English'],Free,True,https://www.facebook.com/SalvationArmyUSA,https://www.twitter.com/@SalvationArmyUS,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Food
Transitional Living Center (TLC) (Century Villages at Cabrillo (CVC)),https://www.auntbertha.com//century-villages-at-cabrillo-%2528cvc%2529--long-beach-ca--transitional-living-center-%2528tlc%2529/5766487069425664?postal=90220,"['temporary shelter', 'short-term housing']","['help find housing', 'help find work']","['anyone in need', 'all ages', 'unemployed', 'homeless', 'near homeless', 'low-income']",562-570-4500,https://centuryvillages.org/,"2001 River Ave, Long Beach, CA 90810","https://www.google.com/maps/?q=2001+River+Ave,+Long+Beach,+CA+90810/",[],available,Century Villages at Cabrillo's Transitional Living Center provides homeless families interim housing with support services. The TLC provides families the time they need to identify and begin to address the multiple barriers and factors that contribute to their chronic homelessness.This program provides:- Assistance finding housing- Financial education- Parenting educationPlease call the Long Beach Multi-Service Center (MSC) for more information.,['English'],Reduced Cost,True,https://www.facebook.com/centuryvillages,https://www.twitter.com/@CVCLongBeach,"This program covers residents of the following counties: Los Angeles County, CA.",33.7922259,-118.2222953,90810.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Food
The Midnight Mssion Courtyard Outreach (The Midnight Mission),https://www.auntbertha.com//the-midnight-mission--los-angeles-ca--the-midnight-mssion-courtyard-outreach/5189375556059136?postal=90220,"['temporary shelter', 'personal hygiene', 'community support services']",,"['anyone in need', 'all ages', 'individuals', 'families', 'homeless', 'emergency']",,https://www.midnightmission.org/our-services/emergency-services/courtyard-outreach/,"601 San Pedro Street, Los Angeles, CA 90014","https://www.google.com/maps/?q=601+San+Pedro+Street,+Los+Angeles,+CA+90014/",['This program serves people experiencing homelessness.'],available,"The Midnight Mission provides the Courtyard Outreach Program for individuals who need a safe place to sleep but are resistant to the idea of shelters. The courtyard is a safe, monitored outdoor space specifically for individuals experiencing homelessness.

This program provides:

- Drop-in center during the day
- Overnight outdoor sleeping space
- 24/7 restroom",['English'],Free,True,https://www.facebook.com/TheMidnightMission?ref=mf,https://www.twitter.com/@MidniteMission,"This program covers residents of the following counties: Los Angeles County, CA.",34.0424409,-118.2453552,90014.0,True,,,,,,,,,Food
Recuperative Care (JWCH Institute Inc.),https://www.auntbertha.com//jwch-institute-inc.--los-angeles-ca--recuperative-care/5933724313190400?postal=90220,"['temporary shelter', 'medical care', 'residential treatment']","['meals', 'help find housing', 'transportation for healthcare', 'personal hygiene', 'navigating the system', 'case management']","['adults 18+', 'hospitalized', 'post-treatment', 'homeless']",866-733-5924,http://jwchinstitute.org/services/recuperative-care-program/,"1670 East 120th Street, Los Angeles, CA 90059","https://www.google.com/maps/?q=1670+East+120th+Street,+Los+Angeles,+CA+90059/","['Must be homeless.', 'Must be continent.', 'Must be independent in the Activities of Daily Living and medication administration.', 'Must be willing to see an LVN or Registered Nurse every day and comply with medical recommendations.', 'Must have a condition with an identifiable end point of care for discharge.', 'Must have an acute medical illness.', 'Must be ambulatory.', 'Must not require IV lines, foley catheter or oxygen.', 'Must be medically and psychiatrically stable enough to receive care in our Recuperative Care facility; patient must not be suicidal or homicidal.']",available,"The Recuperative Care program provides medical care, case management, personal care, 3 meals per day, access to long-term housing resources and placement, and reunification services for homeless clients who have fallen out of touch with their family or support network. Wesley also provides these patients with transportation to and from medical visits and to specialists and other social services agencies in the County.This program provides:- Temporary housing- Medical care- Case management- Personal care- Meals- Transportation- Housing resources",['English'],Free,True,,,"This program covers residents of the following counties: Los Angeles County, CA.",33.9232321,-118.2437635,90059.0,False,12:00PM – 21:00PM,12:00PM – 21:00PM,12:00PM – 21:00PM,12:00PM – 21:00PM,12:00PM – 21:00PM,Closed,Closed,,Food
