Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
FamilySource Center,https://www.auntbertha.com//new-economics-for-women--los-angeles-ca--familysource-center/5446262333243392?postal=90012,"['food pantry', 'understand government programs', 'financial education', 'computer or internet access', 'navigating the system', 'one-on-one support', 'interview training', 'resume development', 'advocacy & legal aid']",,"['all ages', 'families', 'with children', 'single parent', 'near homeless', 'low-income', 'limited english']",213-483-2060,https://neweconomicsforwomen.org/familysource-center/,,,['This program serves assist low-income residents in the City of Los Angeles.'],available,"The FamilySource Center (FSC) is a collaborative program managed by New Economics for Women. The FSC provides free services and is a one-stop community center designed to assist low-income residents in the City of Los Angeles to become self-sufficient by increasing family income and academic achievement for youth and adults.This program provides:- Financial Coaching- Financial Capability- Educational Workshops- Vita-Free Tax Preparation & Filing- Individual Development Account- Homeownership and Foreclosure Counseling- Employment Coaching and Support- Homelessness Prevention- Computer Access- Transportation Assistance- Prosperity Coaching (These services are seasonal)- Supportive Services (Diapers, Wipes, Food Pantry, Clothing)- Immigration Services- Legal Services- Public Benefit Screening (Cal-Fresh, Cal-Works, TANF, Medi-Cal)Please reach out by phone or through the online form for more information on access services.","['English', 'Spanish']",Free,True,https://www.facebook.com/newecon4women,https://www.twitter.com/@NewEco4Women,"This program covers residents of the following cities: Los Angeles, CA.",,,,False,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,Closed,Closed
Homeless Outreach Program,https://www.auntbertha.com//my-friends-house-la--los-angeles-ca--homeless-outreach-program/6569404050440192?postal=90012,"['food pantry', 'clothing', 'personal care items']",['spiritual support'],"['all ages', 'homeless']",,http://www.myfriendshousela.org/about-us.html,"540 San Pedro Street, Los Angeles, CA 90013","https://www.google.com/maps/?q=540+San+Pedro+Street,+Los+Angeles,+CA+90013/",[],available,"As part of the Homeless Outreach Program, My Friends House LA provides for the basic needs of the homeless population in downtown Los Angeles. Services:- Food distribution- Clothing and toiletries- Spiritual support",['English'],Free,True,https://www.facebook.com/myfriendshousela/,,"This program covers residents of the following cities: Los Angeles, CA.",34.0430545,-118.2443542,90013.0,False,Closed,Closed,12:00 PM - 2:00 PM  PST,Closed,Closed,Closed,Closed
Pop-Up Pantries,https://www.auntbertha.com//westside-food-bank--santa-monica-ca--pop-up-pantries/4822473896493056?postal=90012,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",,https://www.wsfb.org/our-services/need-food-help/,,,['Anyone can access this program.'],available,The Westside Food Bank offers Pop-Up Pantries where they directly distribute food to help meet the nutritional needs of the community.This program provides:- Food to meet basic nutritional needs The Westside Food Bank visits several locations through out the week to distribute food. Visit the website to see the updated schedule.,['English'],Free,True,https://www.facebook.com/westsidefoodbank,https://www.twitter.com/@WsideFoodBank,"This program covers residents of the following cities: Culver City, CA, Inglewood, CA, Los Angeles, CA, Santa Monica, CA, Venice, CA and West Hollywood, CA.",,,,False,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed
Food Pantry,https://www.auntbertha.com//wilshire-presbyterian-church--los-angeles-ca--food-pantry/5768056314527744?postal=90012,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",213-387-5387,https://www.wpcla.org/,,,['Anyone can access this program.'],available,Wilshire Presbyterian Church's Food Pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsPlease call for more information.,['English'],Free,True,,,"This program covers residents of the following cities: Los Angeles, CA.",,,,False,8:00 AM - 10:00 AM  PST,Closed,Closed,Closed,Closed,Closed,Closed
Food Distribution Program,https://www.auntbertha.com//prep-ed-programs%252C-inc.--los-angeles-ca--food-distribution-program/5967743890620416?postal=90012,['food pantry'],,"['all ages', 'individuals', 'families', 'homeless', 'low-income']",,https://prepedprograms.org/services-programs,,,['This program serves low-income and homeless individuals and families.'],full,"Prep Ed Programs, Inc. offers their food distribution program to low-income and homeless individuals to help alleviate hunger throughout the community. This program provides:- Food to meet basic nutritional needs Participants must choose a distribution time on the Prep Ed Programs, Inc. website for services.",['English'],Free,True,https://www.facebook.com/prepedprogramsinc/,,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,,,,,,,
Thursday Food Bank,https://www.auntbertha.com//central-city-neighborhood-partners--los-angeles-ca--thursday-food-bank/5193604674879488?postal=90012,['food pantry'],,"['families', 'all ages']",213-482-8618,http://laccnp.org,"501 South Bixel Street, Los Angeles, CA 90017","https://www.google.com/maps/?q=501+South+Bixel+Street,+Los+Angeles,+CA+90017/",[],available,"Central City Neighborhood Partners (CCNP) is a non-profit dedicated to create system changes that benefit low-income children, families and communities.

Every Thursday we have a food distribution. It begins at 10 a.m. until the supplies are out. One bag per family. 


For more information, please call us at 213.482.8618.","['English', 'Spanish']",Free,True,https://www.facebook.com/CentralCityNeighborhoodPartners,,"This program covers residents of the following counties: Los Angeles County, CA.",34.0548809,-118.2618214,90017.0,False,Closed,Closed,Closed,9:00 AM - 1:00 PM  PST,Closed,Closed,Closed
Food and Clothing Giveaways,https://www.auntbertha.com//stay-free-ministries-outreach--los-angeles-ca--food-and-clothing-giveaways/5095985118183424?postal=90012,"['food pantry', 'clothing']",,"['anyone in need', 'all ages', 'individuals', 'families']",310-966-0162,https://stayfreeministries.org/about-us,"545 S San Pedro St, Los Angeles, CA 90013","https://www.google.com/maps/?q=545+S+San+Pedro+St,+Los+Angeles,+CA+90013/",['Anyone can access this program.'],available,Food and Clothing Giveaways offers food and clothing to people in our community who are in need. They hold the food and clothing giveaways in partnership with New Salvation Ministries at Union Rescue Mission on Skid Row. This program provides:- Food & Clothing DistributionThe food giveaways are held in the parking lot of Union Rescue Mission on the 2nd Saturday of each month.,['English'],Free,True,,,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",34.0433448,-118.2450788,90013.0,False,Closed,Closed,Closed,Closed,Closed,8:00 AM - 5:00 PM  PST,Closed
Vida Sana,https://www.auntbertha.com//pico-union-project--los-angeles-ca--vida-sana/6339772961390592?postal=90012,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",,https://www.picounionproject.org/,"1153 Valencia Street, Los Angeles, CA 90015","https://www.google.com/maps/?q=1153+Valencia+Street,+Los+Angeles,+CA+90015/",[],available,The Pico Union Project helps alleviate food insecurity and raises awareness of hunger in the community every Friday. This program provides:- Fresh produce,"['English', 'Spanish']",Free,True,,,"This program covers residents of the following cities: Los Angeles, CA.",34.0457102,-118.2742812,90015.0,False,Closed,Closed,Closed,Closed,8:30 AM - 1:00 PM,Closed,Closed
Food Pantry Locator,https://www.auntbertha.com//los-angeles-regional-food-bank--vernon-ca--food-pantry-locator/5206662112346112?postal=90012,"['emergency food', 'food pantry', 'navigating the system']",,"['anyone in need', 'all ages']",,https://www.lafoodbank.org/find-food/pantry-locator/,,,[],available,Los Angeles Regional Food Bank offers the Food Pantry Locator to help families find their local food pantry. Services include:- Help finding foodEnter your address on our website to find your local food pantry. Note: Pantry distribution dates and times are subject to change.,['English'],Free,True,https://www.facebook.com/lafoodbank,https://www.twitter.com/@LAFoodBank,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,8:30 AM - 5:00 PM  PST,8:30 AM - 5:00 PM  PST,8:30 AM - 5:00 PM  PST,8:30 AM - 5:00 PM  PST,8:30 AM - 5:00 PM  PST,9:00 AM - 12:00 PM  PST,Closed
Community Center,https://www.auntbertha.com//salvation-army-southern-california---los-angeles-central-corps--los-angeles-ca--community-center/5290282173595648?postal=90012,"['help pay for utilities', 'food pantry', 'meals', 'counseling', 'family counseling', 'after school care', 'day camp', 'recreation', 'navigating the system', 'spiritual support']",,"['anyone in need', 'all ages', 'individuals', 'families', 'homeless', 'near homeless', 'limited english']",213-896-9178,http://losangelescentral.salvationarmy.org/,"1532 West 11th Street, Los Angeles, CA 90015","https://www.google.com/maps/?q=1532+West+11th+Street,+Los+Angeles,+CA+90015/",[],available,"The Salvation Army of Los Angeles is a place where whole families can find something for everyone. We are committed to serving all who come to us. We invite you to read over the many services we provide and if you have any questions about any of the services we offer, please feel free to give us a call.Services offered at the Community Center include:- Family Services- Utility Assistance- Homeless Assistance- Transportation Assistance- Transitional Housing Referrals- Holiday Meals for Those in Need- Sally's Place for Seniors- Weekly Breakfast and Food Bags- Counseling for Families- Counseling for Couples- Family Christmas Programs- Youth Programs- Multicultural - Ministry- After-School Programs & Computer Lab- Youth Summer Camps","['English', 'Spanish']",Free,True,https://www.facebook.com/SalvationArmySouthernCalifornia/,https://www.twitter.com/@SalArmySoCal,"This program covers residents of the following cities: Los Angeles, CA.",34.0471649,-118.2745429,90015.0,False,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,Closed,Closed
