Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Domestic Violence Emergency Shelter,https://www.auntbertha.com//angel-step-inn--pico-rivera-ca--domestic-violence-emergency-shelter/4857317208096768?postal=92620,"['temporary shelter', 'help escape violence', 'help hotlines']","['parenting education', 'safety education', 'individual counseling', 'case management', 'support network', 'support groups']","['all ages', 'individuals', 'with children', 'domestic violence survivors']",323-780-4357,https://charityadvantage.com/inActive.html,,,['This program helps survivors of domestic and intimate partner violence.'],available,"Angel Step Inn is a safe, confidential emergency shelter dedicated to assisting all victims of intimate partner violence, with or without children. The shelter holds approximately 30 people at a time and is staffed 24-hours a day to offer security and comprehensive support services to residents. This program provides:- Emergency Shelter- 24-Hour Crisis LineResidents of Angel Step Inn will be offered comprehensive support services, including:- Individual Counseling- Domestic Violence Education Group- Parenting Education Group- Case ManagementThe Angel Step Inn shelter is a homelike atmosphere that encourages privacy and peace for healing from intimate partner abuse. If you are unsure about what to do or how to leave a violent relationship, call the 24-hour Crisis Line at 323-780-4357.","['English', 'Spanish']",Free,True,,,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",,,,True,,,,,,,
HOPWA (Housing Opportunities for People with AIDS),https://www.auntbertha.com//single-room-occupancy-%2528sro%2529-housing-corporation--los-angeles-ca--hopwa-%2528housing-opportunities-for-people-with-aids%2529/5785179387854848?postal=92620,"['temporary shelter', 'long-term housing', 'short-term housing', 'navigating the system', 'case management', 'one-on-one support']",,"['adults 18+', 'hiv/aids', 'emergency']",213-229-2826,http://www.srohousing.org/social-services.html,,,"['Must be homeless or at the risk of being homeless.', 'Must have no income or low income.', 'Must be diagnosed with HIV/AIDS.', 'This program helps people who are older than 17 years old.']",available,"The SRO Housing Corporation offers HOPWA to provide emergency, transitional, and permanent housing along with a full range of case management services for persons living with HIV/AIDS. We provide:- Emergency, transitional, and permanent housing- Case management- Support services- Referrals",['English'],Free,True,https://www.facebook.com/SROHousing#!/SROHousing,https://www.twitter.com/@srohousing,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",,,,False,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,Closed,Closed
45-day Crisis Shelter,https://www.auntbertha.com//haven-hills--canoga-park-ca--45-day-crisis-shelter/6593014155706368?postal=92620,['temporary shelter'],"['meals', 'clothing', 'counseling', 'community support services', 'support network']","['all ages', 'female', 'mothers', 'domestic violence survivors', 'sexual assault survivors', 'in crisis', 'emergency']",818-887-6589,https://havenhills.org/en/services/,,,[],available,"The 45-Day Crisis Shelter offers a confidential refuge for victims of domestic violence, and their children, to find stability, break away, reassess and begin to rebuild their lives. Services Provided:- Crisis shelter - Food to meet basic nutritional needs- Clothing if needed- Support servicesStaff can immediately address trauma with:- Counseling, support and advocacy- Legal and medical referrals- Development of a safety plan- Access to community resources- Children’s program and On-Site Shelter School","['English', 'Spanish']",Free,True,https://www.facebook.com/havenhills,https://www.twitter.com/@havenhills,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",,,,True,,,,,,,
Emergency Program,https://www.auntbertha.com//precious-life-shelter--los-alamitos-ca--emergency-program/5585083018772480?postal=92620,"['temporary shelter', 'case management']","['baby supplies', 'personal care items', 'transportation', 'disease screening', 'counseling', 'std/sti treatment & prevention', 'understand government programs', 'navigating the system', 'more education']","['adults', 'pregnant', 'homeless', 'with children', 'female']",562-431-5025,https://www.preciouslifeshelter.org/emergency,,,"['Must be pregnant and be able to provide physician-signed proof of pregnancy with a due date.', 'Must be committed to a sober life as a resident.', 'This program helps people who are older than 17 years old.']",available,"The Precious Life Shelter emergency program is a short-term shelter program for pregnant women. The main goal of this program is to provide participants with all the educational and job resources we have available to them to help them to become self-reliant individuals.This program provides:- Emergency shelter- Case managementParticipants in this program may also benefit from:- Personal Necessities- Mom's bag with baby layette (provided throughout pregnancy and after birth)- Baby items (car seat, stroller, etc.)- Counseling- Referrals- Birth Coach- Transportation- Support in applying for TANF, MediCal and WIC- STD/Tuberculosis testing- Job training programThis program also requires women to partake in case management and enroll for MediCal (if they have no insurance). Participants are also required to be tested for turberculosis (TB), and sexually transmitted diseases (STDs). Upon completion of this program, participants have the ability to access further resources, such as transitional housing, with Precious Life Shelter. Please visit the website to learn more.",['English'],Free,True,https://www.facebook.com/PreciousLifeShelter/,,"This program covers residents of the following counties: Orange County, CA.",,,,False,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Shelter Network,https://www.auntbertha.com//mercy-house--santa-ana-ca--shelter-network/5164714503962624?postal=92620,['temporary shelter'],['navigating the system'],"['adults 18+', 'individuals', 'homeless', 'near homeless']",211,https://www.mercyhouse.net/programs,,,['This program serves individuals who are homeless OR near homeless.'],available,"Mercy House operates a complete system of care designed to meet the needs of homeless and at-risk populations in every stage of their struggle by providing temporary shelter and support services to meet the needs of individuals in need. This programs is designed with understanding of homeless services across Orange, Riverside, Los Angeles, Kern, and Ventura Counties in California and Maricopa County, Arizona. This program provides:- Temporary shelterAdditional services include:- Resource navigation servicesPlease note, services are offered through a coordinated entry point. Contact 211 to initiate care.",['English'],Free,True,https://www.facebook.com/MercyHouseLC,https://www.twitter.com/@MercyHouseLC,"This program covers residents of the following counties: Maricopa County, AZ, Kern County, CA, Los Angeles County, CA, Orange County, CA, Riverside County, CA and Ventura County, CA.",,,,True,,,,,,,
Emergency Shelter,https://www.auntbertha.com//human-options--santa-ana-ca--emergency-shelter/5914866535628800?postal=92620,"['temporary shelter', 'immediate safety', 'help escape violence']","['group therapy', 'individual counseling', 'case management', 'advocacy & legal aid']","['all ages', 'children', 'female', 'individuals', 'families', 'domestic violence survivors', 'in crisis', 'emergency']",877-854-3594,http://humanoptions.org/services/?v=sd-tab-emergency-shelter,,,[],available,"Human Options' Emergency Shelter provides 24/7 services to any individual or family in a domestic violence situation seeking shelter.This program provides:- Temporary shelterClients may receive:- Individual counseling- Group counseling- Case management- Legal advocacy - Children's program Once at the shelter, victims are offered a comprehensive array of services designed to help them in establishing an independent, safe and secure life apart from their abuser.",['English'],Free,True,https://www.facebook.com/humanoptions,https://www.twitter.com/@HumanOptions,"This program covers residents of the following counties: Orange County, CA.",,,,True,,,,,,,
Recuperative Care,https://www.auntbertha.com//illumination-foundation-%2528if%2529--orange-ca--recuperative-care/5078108084109312?postal=92620,"['temporary shelter', 'prevent & treat']","['meals', 'help find housing', 'transportation', 'case management']","['adults', 'young adults', 'teens', 'children', 'seniors', 'undocumented', 'limited mobility', 'post-treatment', 'individuals', 'homeless']",949-273-0555,https://ifrecuperativecare.com/how-the-program-works/,,,"['Must be referred to the program by a medical or mental health hospital.', 'Must be a homeless patient being discharged from a medical or mental health facility, and must be able to perform their activities of daily living (ADLs) without any assistance.']",available,"The Recuperative Care Program offers homeless patients a safe play to stay and recover after being discharged from the hospital in a clean, safe, and supportive shelter environment. This program seeks to end homelessness through medical stabilization of clients, crucial wraparound services, client-centered education, and housing options.This program provides:- Temporary shelterShelter services include: - Meals- Intensive case management from Medical Coordinators and Case managers - Transportation to social, medical, and mental health appointments.The Recuperative Care Program is not open to the public. All clients must be homeless and referred to the program by a medical or mental health hospital. Ask your hospital discharge planner about Illumination Foundation Recuperative Care when discussing your discharge plan.",['English'],Free,True,https://www.facebook.com/ifhomeless/,https://www.twitter.com/@IFhomeless,"This program covers residents of the following counties: Orange County, CA.",,,,False,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,Closed,Closed
Rescued and Restored Housing,https://www.auntbertha.com//grandmas-house-of-hope--garden-grove-ca--rescued-and-restored-housing/6544370966724608?postal=92620,"['temporary shelter', 'safe housing', 'short-term housing']","['emergency food', 'clothing', 'counseling', 'group therapy', 'individual counseling', 'navigating the system', 'case management', 'mentoring', 'daily life skills']","['adults 18+', 'female', 'lgbtqia+', 'male', 'individuals', 'families', 'with children', 'homeless', 'low-income']",714-455-9528,https://www.grandmashouseofhope.org/housing,,,"['This program helps people who are older than 17 years old.', ""Program is for both women and men (unaccompanied adults only). Men's program is REFERRAL BASED ONLY."", 'This program serves at-risk children and their families, and unhoused adults.']",available,"Grandma's House of Hope provides safe, confidential emergency and transitional shelter/housing for at-risk children and their families, and restorative services for unhoused adults, create stronger, more confident, and autonomous individuals—with the goal of stable permanent housing.This program provides:- Warm homes for emergency, transitional, and bridge housing- Physical resources like food, and clothing- Case management- Housing navigation- Group and individual counseling- Career mentorship- House meetings to foster community- Life-skills workshops in areas like meal prep, cleaning, fixing, budgeting, medication management",['English'],Free,True,https://www.facebook.com/GrandmasHouseofHope,https://www.twitter.com/@GmasHouseOfHope,"This program covers residents of the following counties: Orange County, CA.",,,,False,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,Closed,Closed
Bridge Housing,https://www.auntbertha.com//radiant-futures--fullerton-ca--bridge-housing/5279806390272000?postal=92620,"['temporary shelter', 'immediate safety', 'long-term housing', 'short-term housing']","['meals', 'help find housing', 'clothing', 'personal care items', 'counseling', 'help fill out forms', 'case management', 'one-on-one support', 'advocacy & legal aid']","['adults 18+', 'individuals', 'families', 'with children', 'trauma survivors', 'domestic violence survivors', 'emergency']",877-531-5522,https://radiantfutures.org/residential/,,,['This program helps people who are older than 17 years old.'],available,"Radiant Futures Bridge Housing is the largest residential program in Orange County for survivors of domestic violence and human trafficking. This program provides:- Temporary shelterResidents have access to services including:- Case management services- Food, clothing, toiletries, and other basic needs during stay- Group, individual, and family therapeutic services- Help find housing- Housing advocates- Legal advocatesSurvivors’ pets are able to join their owners in shelter, either sharing a living space or staying in an insulated outdoor kennel. They also offer an infant/toddler program that promotes social skill development, motor skill development and proper nutrition.","['English', 'Spanish']",Free,True,https://www.facebook.com/RadiantFutures,,"This program covers residents of the following counties: Orange County, CA.",,,,True,,,,,,,
Homeless Veterans Initiative,https://www.auntbertha.com//disabled-american-veterans-%2528dav%2529--cold-spring-ky--homeless-veterans-initiative/6359041064304640?postal=92620,"['temporary shelter', 'government benefits']",,['veterans'],877-426-2838,https://www.dav.org/get-help-now/veteran-topics-resources/homeless-veterans-assistance/,,,['Serves homeless veterans.'],available,"The DAV Homeless Veterans Initiative, supported by DAV’s Charitable Service Trust and Columbia Trust, promotes the development of supportive housing and necessary services to assist homeless veterans in becoming productive, self-sufficient members of society. Our goal is to establish a partnership between the DAV and Federal, state, county and local governments to develop programs to assist homeless veterans in becoming self-sufficient.

Service:

-counsel individuals on the many VA benefits for which they may be entitled

If you or someone you know is a homeless veteran in need of assistance, please contact us.",['English'],Free,True,https://www.facebook.com/DAV,https://www.twitter.com/@DAVHQ,This program covers residents of All US states and territories.,,,,False,5:00 AM - 2:00 PM  PST,5:00 AM - 2:00 PM  PST,5:00 AM - 2:00 PM  PST,5:00 AM - 2:00 PM  PST,5:00 AM - 2:00 PM  PST,Closed,Closed
