Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Cooling Centers,https://www.auntbertha.com//city-of-philadelphia---office-of-emergency-management-%2528oem%2529--philadelphia-pa--cooling-centers/4804499150602240?postal=19128,['weather relief'],,"['anyone in need', 'all ages', 'individuals', 'families', 'homeless']",215-232-1984,https://www.phila.gov/services/mental-physical-health/environmental-health-hazards/extreme-weather/cooling-centers/,,,['Anyone can access this program.'],available,"In the event of extreme heat and humidity, the City of Philadelphia opens cooling centers, which are air-conditioned spaces available for public use.This program provides:- Relief from extreme weatherVisit the website to find a cooling center located near you.",['English'],Free,TRUE,https://www.facebook.com/cityofphiladelphia,https://www.twitter.com/@PhiladelphiaGov,"This program covers residents of the following cities: Philadelphia, PA.",,,,FALSE,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Emergency Safe Havens,https://www.auntbertha.com//women-against-abuse--philadelphia-pa--emergency-safe-havens/5652293370249216?postal=19128,"['temporary shelter', 'safe housing', 'short-term housing']","['immediate safety', 'meals', 'group therapy', 'individual counseling', 'after school care', 'childcare', 'navigating the system', 'one-on-one support', 'more education', 'interview training', 'resume development']","['all ages', 'female', 'lgbtqia+', 'male', 'transgender or non-binary', 'abuse or neglect survivors', 'domestic violence survivors', 'emergency']",866-723-3014,https://www.womenagainstabuse.org/services/safe-havens,,,['For women experiencing domestic violence in the Philadelphia area.'],available,"Women Against Abuse’s two 24-hour emergency safe havens provide free services to survivors of all gender identities and their children who are victims of domestic violence. This program provides:- Up to 90 days of shelter- Case management- Individual & group counseling- Three meals a day- Children's health assessments- Emergency relocation funds (as available)- Adult education & job readiness referrals- After school & summer school programs- On-site child careIf you need emergency housing because of a domestic violence situation, please call the toll-free 24-hour Philadelphia Domestic Violence Hotline (866-723-3014).",['English'],Free,TRUE,https://www.facebook.com/womenagainstabuse,https://www.twitter.com/@WomenAgnstAbuse,"This program covers residents of the following counties: Philadelphia County, PA.",,,,TRUE,,,,,,,
Kailo Haven,https://www.auntbertha.com//resources-for-human-development-%2528rhd%2529---pennsylvania--philadelphia-pa--kailo-haven/5552002522939392?postal=19128,"['temporary shelter', 'short-term housing']","['meals', 'personal hygiene', 'navigating the system', 'one-on-one support', '12-step']","['adults 18+', 'homeless', 'all mental health', 'substance dependency', 'dual diagnosis']",215-225-8645,https://www.rhd.org/program/kailo-haven/,"2107 West Tioga Street, Philadelphia, PA 19140","https://www.google.com/maps/?q=2107+West+Tioga+Street,+Philadelphia,+PA+19140/",['This program serves homeless people.'],available,"Resources for Human Development's Kailo Haven is a safe haven homeless shelter for individuals experiencing chronic homelessness and identified as suffering from some form of co-occuring disorders, including mental health and addiction challenges.This program provides:- Safe environment to live and sleep- Meals and snacks- Bathroom and laundry facilities- 12-step recovering meetings- Emotional Management Courses- Individualized meetings and support to obtain financial and medical benefits- Referral ServicesPlease call The Homeless Outreach Hotline at 215-225-8645.",['English'],Free,TRUE,https://www.facebook.com/kailohaven/,,"This program covers residents of the following cities: Philadelphia, PA.",40.007932,-75.1637777,19140.0,TRUE,,,,,,,
Jane Addams Place,https://www.auntbertha.com//lutheran-settlement-house--philadelphia-pa--jane-addams-place/5730442313465856?postal=19128,"['temporary shelter', 'case management']","['health education', 'parenting education', 'medical care', 'mental health care', 'recreation', 'navigating the system', 'help find housing']","['all ages', 'female', 'families', 'with children', 'homeless', 'mothers']",215-387-2587,https://www.lutheransettlement.org/lsh-programs/housing-support/,"1007 West Lehigh Avenue, Philadelphia, PA 19104","https://www.google.com/maps/?q=1007+West+Lehigh+Avenue,+Philadelphia,+PA+19104/",['Centralized Homeless Intake assessment of eligibility required.'],full,"Jane Addams Place clients are admitted through Centralized Homeless Intake Services operated by the Office of Supportive Housing at the Appletree Family Center at 1430 Cherry Street, 215-686-7150. You must go through central intake for an initial assessment of your housing needs before placement. If you are currently experiencing homelessness, please visit the intake center.",['English'],Free,TRUE,https://www.facebook.com/pages/Lutheran-Settlement-House/152800584747421,https://www.twitter.com/@LSH1902,"This program covers residents of the following counties: Philadelphia County, PA.",39.9935454,-75.1482903,19104.0,FALSE,,,,,,,
Emergency Shelter,https://www.auntbertha.com//help-usa-pennsylvania--philadelphia-pa--emergency-shelter/5398794886447104?postal=19128,"['temporary shelter', 'skilled nursing', 'prevent & treat', 'navigating the system', 'help find work']",,"['all ages', 'individuals', 'families', 'homeless', 'near homeless', 'low-income', 'abuse or neglect survivors', 'domestic violence survivors']",215-473-6454,http://www.helpusa.org/providing-shelter/,"4910 Wyalusing Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=4910+Wyalusing+Avenue,+Philadelphia,+PA+19131/",['For individuals facing homelessness in the Philadelphia area.'],available,"HELP USA is there for those who find themselves suddenly homeless, and they provide them with safe, temporary shelter and the support they need to get back on their feet. They believe in a different kind of homeless shelter – one that is respectful, supportive, and treats each resident as a unique individual.This program provides:- Temporary shelter- Day care and afterschool care- Physical and mental healthcare- Navigating the system- Help find work",['English'],Free,TRUE,https://www.facebook.com/helpusa,https://www.twitter.com/@HelpUSA,"This program covers residents of the following counties: Bucks County, PA, Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",39.9699305,-75.2192177,19131.0,FALSE,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,Closed,Closed
Station House Intake Center Services,https://www.auntbertha.com//self%252C-inc.--philadelphia-pa--station-house-intake-center-services/6354456388829184?postal=19128,['temporary shelter'],['case management'],"['adults 18+', 'male', 'homeless']",215-225-9230,https://www.selfincorp.org/station-house,"2601 North Broad Street, Philadelphia, PA 19132","https://www.google.com/maps/?q=2601+North+Broad+Street,+Philadelphia,+PA+19132/",['We serve single men experiencing homelessness.'],available,"Centralized Homeless Intake Services includes an assessment of eligibility and service needs of persons and families presenting for placement into emergency housing. If eligible, persons and families are placed in appropriate emergency housing, boarding homes, or other alternative housing. Services include:- Temporary shelter- Ongoing case management services- Assistance with obtaining transitional and/or permanent housing- Supportive housing for special populations- An optional savings program which allows households to save a part of their income for future housing expensesMental health assessments and referrals to drug/alcohol treatment, health services, children and youth services, legal services and veteran’s services, etc., are provided as needed to clients of the program.- Connecting Services to other community resources- ScreeningIf you are currently experiencing homelessness, please call us during business hours. You must go through central intake for an initial assessment of your housing needs before placement into the homeless housing system.",['English'],Free,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9923482,-75.1544469,19132.0,TRUE,,,,,,,
Station House Shelter,https://www.auntbertha.com//self%252C-inc.--philadelphia-pa--station-house-shelter/6293309907009536?postal=19128,['temporary shelter'],"['navigating the system', 'case management', 'one-on-one support']","['seniors', 'adults 18+', 'male', 'homeless', 'emergency']",215-225-9230,https://www.selfincorp.org/service-approaches,"2601 North Broad Street, Philadelphia, PA 19132","https://www.google.com/maps/?q=2601+North+Broad+Street,+Philadelphia,+PA+19132/",['This program serves single men in North Philadelphia who are experiencing homelessness.'],available,"The Station House Shelter is an emergency shelter and after hour intake site providing client service case management, a computer lab, and residential services for 99 men in North Philadelphia. This program provides:- Emergency temporary shelter- Case managementStation House includes an intake assessment of eligibility and service needs of persons and families presenting for placement into emergency housing. You must go through a central intake assessment before placement into the homeless housing system. Intake hours for our emergency shelter occur after 5pm.",['English'],Free,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9923482,-75.1544469,19132.0,TRUE,,,,,,,
Emergency Shelter,https://www.auntbertha.com//gaudenzia--philadelphia-pa--emergency-shelter/6571638428270592?postal=19128,['temporary shelter'],,"['adults 18+', 'female', 'male', 'individuals', 'homeless', 'emergency']",833-976-4357,https://www.gaudenzia.org/the-treatment-and-recovery-hotline-is-here-833-976-help-4357/#0,"111 North 49th Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=111+North+49th+Street,+Philadelphia,+PA+19139/",[],available,Gaudenzia provides temporary shelter and services to meet basic needs when individuals fall on hard times and have nowhere left to go.This program provides:- Temporary shelterThe shelter provides the following additional services: - Meals- Showers,['English'],Free,TRUE,https://www.facebook.com/gaudenziaorg/,https://www.twitter.com/@Gaudenzia,"This program covers residents of the following cities: Washington, DC, Claymont, DE and Philadelphia, PA.",39.9619265,-75.2180052,19139.0,TRUE,,,,,,,
Emergency Shelter,https://www.auntbertha.com//families-forward--philadelphia-pa--emergency-shelter/6206753615380480?postal=19128,['temporary shelter'],"['meals', 'daily life skills', 'parenting education', 'financial education', 'navigating the system', 'skills & training', 'computer class']","['all ages', 'individuals', 'families', 'homeless']",215-240-4800,https://familiesforwardphilly.org/programs/emergency-shelter/,"111 North 49th Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=111+North+49th+Street,+Philadelphia,+PA+19139/",['All families must be referred to us through the City of Philadelphias Office of Supportive Housing central intake.'],available,"Families Forward Philadelphia offers an emergency family shelter, for families in need, that has 65 individual rooms. While obtaining housing is their top priority, they also encourage saving money – working with families to dedicate funds to rent, furnishings and day-to-day living expenses once they leave the shelter.This program provides:- A warm, safe environment- Nutritious meals- Case managementAdditionally throughout the day, workshops are available to prepare families for independent living, including parenting classes, life skills development, computer classes, money management classes, and much more.",['English'],Free,TRUE,https://www.facebook.com/FFPhiladelphia/,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9617037,-75.2184789,19139.0,TRUE,,,,,,,
Comprehensive Shelters,https://www.auntbertha.com//salvation-army-eastern-pennsylvania-%2526-delaware--philadelphia-pa--comprehensive-shelters/5929367212130304?postal=19128,['temporary shelter'],"['meals', 'community support services', 'spiritual support']","['all ages', 'children', 'individuals', 'families', 'single parent', 'homeless', 'parents']",215-474-1009,https://easternusa.salvationarmy.org/eastern-pennsylvania/provide-housing/,"5501 Market Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=5501+Market+Street,+Philadelphia,+PA+19139/",['This program serves homeless individuals and families.'],available,"Salvation Army shelters welcome all homeless who come to their door. Comprehensive services are available to single-parent families, single women, single men, married couples, children awaiting placement in a foster home, and dual-parent families.This program provides:- Temporary shelter These shelters offer spiritual and physical care, food, and shelter to people in need. They attend the total needs of the individual and are meant to be a kind resting place to help these individuals get back on their feet.",['English'],Free,TRUE,,,"This program covers residents of the following counties: Kent County, DE, New Castle County, DE, Berks County, PA, Chester County, PA, Lebanon County, PA, Luzerne County, PA, Monroe County, PA, Montgomery County, PA and Philadelphia County, PA.",39.9610016,-75.2312927,19139.0,FALSE,9:00 AM - 1:00 PM  EST,9:00 AM - 1:00 PM  EST,9:00 AM - 1:00 PM  EST,9:00 AM - 1:00 PM  EST,Closed,Closed,Closed
