Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Food Distribution,https://www.auntbertha.com//boys-%2526-girls-club-of-greater-redlands-riverside--redlands-ca--food-distribution/4904578973827072?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",888-822-6535,https://begreatie.org/,"1251 Clay Street, Redlands, CA 92374","https://www.google.com/maps/?q=1251+Clay+Street,+Redlands,+CA+92374/",[],available,The Boys & Girls Club of Greater Redlands-Riverside provides a food distribution for individuals and families in the community who are in need.This program provides:- Food to meet basic nutritional needs,['English'],Free,True,https://www.facebook.com/BeGreatIE,https://www.twitter.com/@BeGreatIE,"This program covers residents of the following counties: Riverside County, CA and San Bernardino County, CA.",34.0697895,-117.1849724,92374,False,Closed,Closed,Closed,2:00 PM - 6:00 PM  PST,Closed,Closed,Closed
Food Pantry,https://www.auntbertha.com//new-light-church-of-god--riverside-ca--food-pantry/4840997180801024?postal=92507,['food pantry'],['emergency food'],"['anyone in need', 'all ages', 'individuals', 'families']",951-685-1500,https://m.facebook.com/profile.php?id=100066621566383&_rdr,"9875 Bellegrave Avenue, Riverside, CA 92509","https://www.google.com/maps/?q=9875+Bellegrave+Avenue,+Riverside,+CA+92509/",['Anyone can access this program.'],available,The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsPlease call to get best up-to-date information on the food pantry hours and offerings.,['English'],Free,True,,,"This program covers residents of the following cities: Jurupa Valley, CA and Riverside, CA.",34.0072262,-117.5009431,92509,False,Closed,Closed,Closed,8:00 AM - 3:00 PM,Closed,Closed,Closed
Food Pantry,https://www.auntbertha.com//elevate-life-church--riverside-ca--food-pantry/6706993935024128?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",,https://elevatechurch.tv/food-distribution,"4017 Trailcreek Road, Riverside, CA 92505","https://www.google.com/maps/?q=4017+Trailcreek+Road,+Riverside,+CA+92505/",[],available,Elevate Life Church provides a community Food Pantry. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,True,https://www.facebook.com/elevatelifechurchriverside/,,"This program covers residents of the following cities: Riverside, CA.",33.899581,-117.491768,92505,False,Closed,9:00 AM - 11:00 AM  PST,Closed,Closed,9:00 AM - 11:00 AM  PST,Closed,Closed
Food Pantry,https://www.auntbertha.com//god%2527s-pantry--fontana-ca--food-pantry/4866067512426496?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'immigrants', 'undocumented', 'individuals', 'families', 'limited english']",,https://www.gods-pantry.com/,"8425 Mango Avenue, Fontana, CA 92335","https://www.google.com/maps/?q=8425+Mango+Avenue,+Fontana,+CA+92335/",['Anyone can access this program.'],available,"The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsDue to COVID-19 all Saturday distributions are suspended. Instead, this provider is hosting a drive-thru distribution at their Pomona warehouse location (by appointment only).","['English', 'Spanish']",Free,True,https://www.facebook.com/godspantryca/,,"This program covers residents of the following counties: Los Angeles County, CA, Riverside County, CA and San Bernardino County, CA.",34.100229,-117.4292414,92335,False,Closed,Closed,Closed,Closed,Closed,7:00 AM - 1:00 PM  PST,Closed
Renew Community Services,https://www.auntbertha.com//ureach--loma-linda-ca--renew-community-services/4877209261703168?postal=92507,"['food pantry', 'personal hygiene']",['spiritual support'],"['all ages', 'individuals', 'families', 'homeless']",909-796-8357,http://ureachlluc.com/about-renew,"24914 Barton Road, Loma Linda, CA 92354","https://www.google.com/maps/?q=24914+Barton+Road,+Loma+Linda,+CA+92354/",[],available,Renew Community Services provides food and hygiene items to those who are experiencing homelessness in the community. This program provides:- Hair wash station- Hair cut stations- Shower stations- Hygiene station- Clothing Station- Prayer stationPlease visit the website for an updated schedule.,['English'],Reduced Cost,True,,,"This program covers residents of the following cities: Redlands, CA, Riverside, CA and San Bernardino, CA.",34.0485937,-117.2606995,92354,False,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 1:30 PM,Closed,Closed
Food Bank,https://www.auntbertha.com//lake-hills-christian-center-%2528lhcc%2529--riverside-ca--food-bank/6684530931007488?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",951-737-6680,https://www.lhccr.com/copy-of-worship-team,"12500 Indiana Avenue, Riverside, CA 92503","https://www.google.com/maps/?q=12500+Indiana+Avenue,+Riverside,+CA+92503/",['Anyone can access these services.'],available,LHCC's Food Bank provides individuals with box of food for pick up. Individuals receive enough food to last almost an entire week.This program provides: - Food to meet nutritional needsParticipants must have a vehicle or cart to put your box and bags in. The Food Bank follows a first come first serve policy so please make sure to drive early.,['English'],Free,True,https://www.facebook.com/aglhcc,,"This program covers residents of the following cities: Riverside, CA.",33.8833116,-117.4961035,92503,False,Closed,Closed,Closed,Closed,11:00 AM - 1:00 PM  PST,Closed,Closed
Food Boxes,https://www.auntbertha.com//ministerio-juda--perris-ca--food-boxes/5213987638738944?postal=92507,['food pantry'],,"['all ages', 'individuals', 'families', 'limited english']",951-238-4116,https://www.ministeriosjuda.org/copy-of-eventos,"22109 Rocky Hills Road, Perris, CA 92570","https://www.google.com/maps/?q=22109+Rocky+Hills+Road,+Perris,+CA+92570/",['Anyone can access this program.'],available,Food boxes provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsDrive-thru food boxes are distributed every Third Friday of the month from 10:30 a.m. to 12:00 p.m,['Spanish'],Free,True,https://www.facebook.com/ministryofjuda/,,"This program covers residents of the following counties: Riverside County, CA.",33.7996138,-117.272319,92570,False,Closed,Closed,Closed,Closed,10:30 AM - 12:00 PM  PST,Closed,10:00 AM - 1:00 PM  PST
Food Pantry,https://www.auntbertha.com//the-salvation-army---san-bernardino--highland-ca--food-pantry/5391585083392000?postal=92507,['food pantry'],,"['anyone in need', 'all ages']",909-792-6868,https://sanbernardino.salvationarmy.org/,"2626 Pacific Street, Highland, CA 92346","https://www.google.com/maps/?q=2626+Pacific+Street,+Highland,+CA+92346/",['Anyone can access this program.'],available,"The Salvation Army of San Bernardino's food pantry serves everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance.This program provides:- Food to meet basic nutritional needsPlease call to confirm hours before visiting.","['English', 'Spanish']",Free,True,https://www.facebook.com/SalvationArmyUSA,https://www.twitter.com/https://twitter.com/SalvationArmyUS,"This program covers residents of the following counties: Riverside County, CA and San Bernardino County, CA.",34.1288074,-117.2302467,92346,False,Closed,Closed,8:30 AM - 3:00 PM  PST,Closed,Closed,Closed,Closed
Community Wellness Center,https://www.auntbertha.com//moreno-valley-unified-school-district--moreno-valley-ca--community-wellness-center/5183661987463168?postal=92507,"['food pantry', 'short-term housing', 'clothing', 'clothes for school', 'dental care', 'vision care', 'support network', 'tutoring']",,"['teens', 'school-aged children', 'foster youth', 'families', 'with children', 'homeless', 'near homeless', 'low-income']",951-571-750046137,https://www.mvusd.net/resources/health-wellness/community-wellness-center,,,"['This program serves Moreno Valley Unified School District students and families experiencing homelessness and/or', 'Financial hardship OR', 'Foster students']",available,"The Department of Wellness, Mental Health, and Community Outreach supports students and their families experiencing: homelessness, or other unstable housing as defined under the McKinney-Vento Act; low-income, or financial hardship; and foster students. This program provides:- Washer and Dryer- Shower- Best Eyeglasses- Geri Smiles (Preventative Dental Services)- Food Pantry- Clothes Closet- Tutoring- Happy Feet (shoes)- Operation School Bell (School clothing)- Emergency Short-Term Housing- S.A.F.E. Family Justice Centers - Youth Specialist",['English'],Free,True,https://www.facebook.com/morenovalleyusd,https://www.twitter.com/@morenovalleyusd,"This program covers residents of the following counties: Riverside County, CA.",,,,False,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,Closed,Closed
Emergency Food & Clothing Assistance,https://www.auntbertha.com//fellowship-church--beaumont-ca--emergency-food-%2526-clothing-assistance/6491347387547648?postal=92507,"['food pantry', 'clothing']",,"['anyone in need', 'all ages', 'individuals', 'families', 'low-income']",951-845-2693,https://fellowshipbeaumont.org/,"650 Oak Valley Parkway, Beaumont, CA 92223","https://www.google.com/maps/?q=650+Oak+Valley+Parkway,+Beaumont,+CA+92223/",['This program serves anyone in need.'],available,"Fellowship Church provides emergency food and clothing to community members in need. This program provides:- Food to meet basic nutritional needs- ClothingParticipants can access the food pantry every other month, and clothing every month. The pantry is open Monday-Friday from 9 a.m.-11:30 a.m.",['English'],Free,True,https://www.facebook.com/FellowshipChurchBeaumont/,,"This program covers residents of the following counties: Riverside County, CA.",33.9470586,-116.9730636,92223,False,9:00 AM - 11:30 AM  PST,9:00 AM - 11:30 AM  PST,9:00 AM - 11:30 AM  PST,9:00 AM - 11:30 AM  PST,9:00 AM - 11:30 AM  PST,Closed,Closed
