Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Disaster Relief And Recovery,https://www.auntbertha.com//american-red-cross-southern-california-region--colton-ca--disaster-relief-and-recovery/5397373352411136?postal=92507,"['disaster response', 'emergency food', 'temporary shelter', 'psychiatric emergency services', 'help find housing', 'medical care', 'mental health care', 'financial assistance', 'disaster preparedness & response']","['psychiatric emergency services', 'mental health care']","['all ages', 'limited english', 'domestic violence survivors', 'natural disaster survivors', 'in crisis']",888-831-0031,https://www.redcross.org/local/california/southern-california.html,"6235 South Riverside Avenue, Colton, CA 92507","https://www.google.com/maps/?q=6235+South+Riverside+Avenue,+Colton,+CA+92507/",[],available,"The American Red Cross Disaster Relief and Recovery program provides emergency aid, advice, and assistance to help those recovering from a disaster.This program provides:- Temporary shelter/housing - Mental Health Assistance- Financial Assistance- Health Services- Disaster-related assistance","['English', 'Spanish']",Free,True,https://www.facebook.com/redcross,https://www.twitter.com/@redcross,"This program covers residents of the following counties: Imperial County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and San Diego County, CA.",34.0209513,-117.3635299,92507.0,False,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,Closed,Closed
Cooling Center,https://www.auntbertha.com//ysmael-villegas-community-center--riverside-ca--cooling-center/6615237776244736?postal=92507,['weather relief'],,"['anyone in need', 'all ages']",951-351-6142,https://www.riversideca.gov/park_rec/facilities-parks/indoor-facilities/community-centers,"3091 Esperanza Street, Riverside, CA 92504","https://www.google.com/maps/?q=3091+Esperanza+Street,+Riverside,+CA+92504/",['Anyone can access this program.'],available,The Ysmael Villegas Community Center helps residents cope safely with extreme weather conditions when the heat index is predicted to be dangerously high.This program provides:– Drop-in for temporary relief from the heatHours of operations are subject to change. Please call the Cooling Center for more information.,['English'],Free,True,https://www.facebook.com/CityofRiverside.ParksandRecreation/,,"This program covers residents of the following counties: Riverside County, CA.",33.9342857,-117.3973585,92504.0,False,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,Closed,Closed
Emergency Shelters,https://www.auntbertha.com//family-promise-of-riverside--riverside-ca--emergency-shelters/6649178372571136?postal=92507,['temporary shelter'],"['meals', 'help find housing', 'personal hygiene', 'case management', 'help find work']","['all ages', 'families', 'with children', 'homeless']",951-266-9158,https://www.fpriverside.org/emergency-shelter,"7177 Potomac Street, Riverside, CA 92504","https://www.google.com/maps/?q=7177+Potomac+Street,+Riverside,+CA+92504/",['Must care for children under the age of 18.'],available,Family Promise of Riverside Emergency Shelters program and warm hospitality is the foundation of the Family Promise model.This program provides:- Temporary shelterServices provided in the shelter's can include:- Case management- Food- Showers- Help find housing- Help find workShelter address' rotate. Please call for more details about current shelters.,['English'],Free,True,https://www.facebook.com/FamilyPromiseRiverside/,https://www.twitter.com/@fpriverside,"This program covers residents of the following cities: Riverside, CA.",33.9439846,-117.4030955,92504.0,False,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM
Access Center,https://www.auntbertha.com//city-of-riverside--riverside-ca--access-center/4528502018801664?postal=92507,['temporary shelter'],"['help find housing', 'transportation', 'addiction & recovery', 'substance abuse counseling', 'daily life skills', 'mental health care', 'understand government programs', 'financial education', 'computer or internet access', 'navigating the system', 'help fill out forms', 'skills & training', 'help find work', 'advocacy & legal aid']","['all ages', 'veterans', 'individuals', 'homeless', 'near homeless', 'substance dependency']",951-826-3938,https://riversideca.gov/endhomelessness/home.asp,"2880 Hulen Place, Riverside, CA 92507","https://www.google.com/maps/?q=2880+Hulen+Place,+Riverside,+CA+92507/",['This porgram serves homeless individuals.'],available,The City's Access Center serves as the entry point and service hub of the City's continuum of care providing access to a wide-range of services to prevent homelessness.This program provides:- Homeless street outreach- Emergency shelter- Housing placement- Employment development- Benefits enrollment- Health care access- Mental health services- Substance abuse recovery- Veteran's services- Life skills training- Financial counseling- Legal services- Client stabilization resources- Computer resources- Transportation assistance- Basic needs emergency assistance- Homeless prevention resources,['English'],Free,True,https://www.facebook.com/CityofRiverside,https://www.twitter.com/@riversidecagov,"This program covers residents of the following counties: Riverside County, CA.",33.9869603,-117.3535424,92507.0,False,8:00 AM - 4:30 PM  PST,8:00 AM - 4:30 PM  PST,8:00 AM - 4:30 PM  PST,8:00 AM - 4:30 PM  PST,8:00 AM - 4:30 PM  PST,Closed,Closed
Operations Safe House Young Adult Emergency Services,https://www.auntbertha.com//safehouse--riverside-ca--youth-emergency-services/5482685863821312?postal=92507,['temporary shelter'],,"['teens', 'children', 'runaways', 'in crisis']",951-515-6155,https://operationsafehouse.org/youth-emergency-services/,"9685 Hayes Street, Riverside, CA 92503","https://www.google.com/maps/?q=9685+Hayes+Street,+Riverside,+CA+92503/",['This program helps people who are 11 to 17 years old.'],available,"Operation SafeHouse is a 24-hour emergency shelter whose mission is to serve runaway, homeless, and at-risk youth ages 11 - 17 in Riverside County. This program provides:- Three-weeks of emergency shelter- Nutritious meals- Counseling- Attempts at family reunification- On-site education program- Aftercare- 24- hour toll-free crisis line",['English'],Free,True,https://www.facebook.com/operationsafehouse,https://www.twitter.com/https://twitter.com/OpSafeHouse,"This program covers residents of the following cities: Riverside, CA.",33.9201939,-117.4514445,92503.0,True,,,,,,,
Cooling Center,https://www.auntbertha.com//arlanza-community-center--riverside-ca--cooling-center/4937120502382592?postal=92507,"['weather relief', 'community support services']",,"['anyone in need', 'all ages', 'all disabilities']",951-351-6135,https://riversideca.galaxydigital.com/agency/detail/?agency_id=95361,"7950 Philbin Avenue, Riverside, CA 92503","https://www.google.com/maps/?q=7950+Philbin+Avenue,+Riverside,+CA+92503/",['Anyone can access this program.'],available,"The Arlanza Community Center provides a cooling center for those who are disabled, elderly, or otherwise vulnerable to excessive heat.This program provides:- Relief from excessive heatThe cooling center generally activates when temperatures reach 100 degree F. The center generally closes during the day, but stays open continuously on days with excessive heat. Please call for more info.","['English', 'Spanish']",Free,True,https://www.facebook.com/CityofRiverside,https://www.twitter.com/@riversidecagov,"This program covers residents of the following cities: Riverside, CA.",33.9384788,-117.4597453,92503.0,False,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,Closed,Closed
Cooling Center,https://www.auntbertha.com//janet-goeske-foundation--riverside-ca--cooling-center/5675862192160768?postal=92507,"['weather relief', 'community support services']",,"['seniors', 'all disabilities']",951-351-8800,https://jgc4seniors.com/cooling-center-will-open/,"5257 Sierra Street, Riverside, CA 92504","https://www.google.com/maps/?q=5257+Sierra+Street,+Riverside,+CA+92504/","['This program helps people who are older than 49 years old.', 'This program helps those in need of respite from excessive heat.']",available,The Janet Goeske Foundation provides a cooling center to seniors who are at risk of health issues caused by excessive heat. The cooling center opens when it is 95 degree Fahrenheit or above.This program provides:- Relief from excessive heat,['English'],Free,True,https://www.facebook.com/JanetGoeskeFoundation,https://www.twitter.com/@JGF4Seniors,"This program covers residents of the following cities: Riverside, CA.",33.9503363,-117.4177486,92504.0,False,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,Closed,Closed
Cooling Center,https://www.auntbertha.com//la-sierra-senior-center--riverside-ca--cooling-center/4682033804738560?postal=92507,['weather relief'],,"['anyone in need', 'all ages']",951-351-6131,https://riversideca.gov/park_rec/facilities-parks/indoor-facilities/senior-centers,"5215 La Sierra Avenue, Riverside, CA 92505","https://www.google.com/maps/?q=5215+La+Sierra+Avenue,+Riverside,+CA+92505/",['Anyone can access this program.'],available,La Sierra Senior Center helps residents cope safely with extreme weather conditions when the heat index is predicted to be dangerously high.This program provides:– Drop-in for temporary relief from the heatHours of operations are subject to change. Please call the Cool Center for more information.,['English'],Free,True,https://www.facebook.com/CityofRiverside.ParksandRecreation/,,"This program covers residents of the following counties: Riverside County, CA.",33.927345,-117.491992,92505.0,False,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,Closed,Closed
Cooling Center,https://www.auntbertha.com//la-sierra-community-center--riverside-ca--cooling-center/5471304945893376?postal=92507,"['temporary shelter', 'weather relief', 'community support services']",,"['anyone in need', 'all ages', 'individuals', 'families', 'homeless']",951-351-6131,https://www.riversideca.gov/park_rec/facilities-parks/indoor-facilities/community-centers,"5215 La Sierra Avenue, Riverside, CA 92505","https://www.google.com/maps/?q=5215+La+Sierra+Avenue,+Riverside,+CA+92505/",['This program is available to anyone in need.'],available,The La Sierra Senior Center serves as a cooling center to help residents cope safely with extreme weather conditions when the heat index is predicted to be dangerously high.This program provides:– Drop-in for temporary relief from the heat,['English'],Free,True,,,"This program covers residents of the following counties: Riverside County, CA.",33.927345,-117.491992,92505.0,False,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,Closed,Closed
Community Shelter Program,https://www.auntbertha.com//path-of-life-ministries--riverside-ca--community-shelter-program/5493694476058624?postal=92507,"['temporary shelter', 'help hotlines']","['meals', 'personal care items', 'personal hygiene', 'navigating the system', 'spiritual support', 'identification recovery']","['adults 18+', 'individuals', 'homeless', 'limited english', 'emergency']",951-462-9822,https://www.thepathoflife.com/shelter,"2840 Hulen Place, Riverside, CA 92507","https://www.google.com/maps/?q=2840+Hulen+Place,+Riverside,+CA+92507/","['This program helps people who are older than 17 years old.', 'Must be experiencing a housing crisis.']",available,"The Community Shelter Program is a 30-60 day emergency homeless shelter that serves adult individuals experiencing housing crises by providing an immediate exit off of the street into temporary housing along with wraparound support services.This program provides:- Temporary shelterShelter guests are also provided with:- Assistance in obtaining important documents- Job readiness training- Housing referrals- Computer workshops- Counseling- Nutritious meals- Hygiene supplies- Showers- Social, spiritual, and emotional support- Case managementIntakes are conducted daily from 10:00 a.m. to 5:00 p.m. based on bed availability. Please call to schedule an appointment.","['English', 'Spanish']",Free,True,https://www.facebook.com/POLMCommunityShelter/,https://www.twitter.com/@pol_ministries,"This program covers residents of the following counties: Riverside County, CA and San Bernardino County, CA.",33.9871825,-117.3534851,92507.0,True,,,,,,,
Cooling Center,https://www.auntbertha.com//norton-younglove-community-center--riverside-ca--cooling-center/5433096077967360?postal=92507,"['temporary shelter', 'weather relief', 'community support services']","['emergency food', 'food delivery', 'food pantry', 'meals', 'nutrition education', 'clothing', 'help find work']","['anyone in need', 'all ages', 'individuals', 'families', 'homeless', 'low-income']",951-241-7221,https://nycchighgrove.com/,"459 Center Street, Riverside, CA 92507","https://www.google.com/maps/?q=459+Center+Street,+Riverside,+CA+92507/",['This program is available to anyone in need.'],available,"When the temperature climbs, Norton Younglove Community Center springs into action as a designated “Cool Center.” From June 1st to October 15th, we welcome vulnerable individuals, seniors, the disabled, and anyone seeking temporary relief from the scorching heat. Our air-conditioned facility provides a safe haven where you can beat the heat and stay comfortable. Remember, your well-being matters to us! Stay hydrated, take breaks, and enjoy the cool respite with us.🌞🏢🌟","['English', 'Spanish']",Free,True,https://www.facebook.com/nycchighgrove,,"This program covers residents of the following counties: Riverside County, CA.",34.0160207,-117.3209281,92507.0,False,8:00 AM - 4:00 PM  PST,8:00 AM - 4:00 PM  PST,8:00 AM - 4:00 PM  PST,8:00 AM - 4:00 PM  PST,8:00 AM - 2:00 PM  PST,Closed,Closed
Cooling Center,https://www.auntbertha.com//stratton-community-center--riverside-ca--cooling-center/5507078164709376?postal=92507,['weather relief'],,"['anyone in need', 'all ages']",951-826-5355,https://www.riversideca.gov/park_rec/facilities-parks/indoor-facilities/community-centers,"2008 Martin Luther King Boulevard, Riverside, CA 92507","https://www.google.com/maps/?q=2008+Martin+Luther+King+Boulevard,+Riverside,+CA+92507/",['Anyone can access this program.'],available,The Stratton Community Center helps residents cope safely with extreme weather conditions when the heat index is predicted to be dangerously high.This program provides:– Drop-in for temporary relief from the heatHours of operations are subject to change. Please call the Cool Center for more information.,['English'],Free,True,https://www.facebook.com/CityofRiverside.ParksandRecreation/,,"This program covers residents of the following counties: Riverside County, CA.",33.9671551,-117.3555421,92507.0,False,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,Closed,Closed
Cooling Center,https://www.auntbertha.com//csar-chvez-community-center--riverside-ca--cooling-center/5478421438267392?postal=92507,['weather relief'],,"['anyone in need', 'all ages']",951-826-5746,https://riversideca.gov/park_rec/facilities-parks/indoor-facilities/community-centers,"2060 University Avenue, Riverside, CA 92507","https://www.google.com/maps/?q=2060+University+Avenue,+Riverside,+CA+92507/",['Anyone can access this program.'],available,The César Chávez Community Center helps residents cope safely with extreme weather conditions when the heat index is predicted to be dangerously high.This program provides:– Drop-in for temporary relief from the heatHours of operations are subject to change. Please call the Cool Center for more information.,['English'],Free,True,https://www.facebook.com/CityofRiverside,,"This program covers residents of the following counties: Riverside County, CA.",33.9750266,-117.3561389,92507.0,False,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,11:00 AM - 5:00 PM  PST,Closed,Closed
Safe Haven Welcome Centers,https://www.auntbertha.com//ri-international---riverside-county--riverside-ca--safe-haven-welcome-centers/5652718883700736?postal=92507,"['temporary shelter', 'weather relief', 'meals', 'personal hygiene', 'mental health care', 'community support services', 'navigating the system', 'peer support']",,"['adults 18+', 'homeless', 'near homeless', 'all mental health']",,https://www.ruhealth.org/behavioral-health/housing,"2800 Hulen Place, Riverside, CA 92507","https://www.google.com/maps/?q=2800+Hulen+Place,+Riverside,+CA+92507/",['This program is open to anyone.'],available,"Safe Haven Welcome Centers provides peer to peer engagement, linkage to community resources, and daily basic needs including food, showers, and laundry facilities.This program provides:- Peer to peer engagement and support- Linkages to community resources- Support with mental health services - Showers- Laundry facilities- Weather relief- Meals- Access to Nationwide Courtesy Phone",['English'],Free,True,,,"This program covers residents of the following counties: Riverside County, CA.",33.9874923,-117.3537087,92507.0,False,7:00 AM - 7:00 PM  PST,7:00 AM - 7:00 PM  PST,7:00 AM - 7:00 PM  PST,7:00 AM - 7:00 PM  PST,7:00 AM - 7:00 PM  PST,Closed,Closed
