Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Reviews,Service_Type
Financial Assistance for Military Families (American Red Cross),https://www.auntbertha.com//american-red-cross--washington-dc--financial-assistance-for-military-families/5931501920976896?postal=90013,"['emergency payments', 'emergency food', 'temporary shelter', 'burial & funeral help', 'financial assistance']",,"['adults 18+', 'active duty', 'national guard', 'veterans', 'families', 'spouses', 'emergency']",877-272-7337,https://www.redcross.org/get-help/military-families/financial-assistance.html,,,"['Eligible for financial assistance if you are: An active duty service member OR', 'A member of an activated National Guard or Reserve unit OR', 'An immediate family member of a service member in the above two categories OR', 'A military retiree or spouse/widow(er) of a retiree.']",available,"The American Red Cross works in partnership with military aid societies to provide quality, reliable financial assistance to eligible applicants 24/7/365 in times of hardship.This program provides: - Financial assistance for emergency needsAssistance can include funds for emergency travel, burial of a loved one, emergency food and shelter, etc. Red Cross helps to facilitate the application process, the military aid society determines eligibility and the specific financial assistance package that is offered.You can submit a request online or call the American Red Cross Hero Care Center.  When calliing, be sure to have the following information ready to provide the representative:- Legal name- Rank or rating- Social Security number- Date of birth- Branch of service (Army, Navy, Air Force, Marines, Coast Guard)- Military unit address- Information about the deployed unit and home base unit (for deployed service members only)",['English'],Free,False,https://www.facebook.com/redcross,https://www.twitter.com/@redcross,"This program covers residents of the following states: AK, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,True,,,,,,,,0,Shelter
Long-Term Shelter (Pacific Lifeline),https://www.auntbertha.com//pacific-lifeline--upland-ca--long-term-shelter/6283360483934208?postal=90013,['temporary shelter'],"['food pantry', 'baby supplies', 'clothes for school', 'clothes for work', 'toys & gifts', 'personal hygiene', 'family counseling', 'individual counseling', 'recreation', 'navigating the system', 'case management', 'spiritual support', 'tutoring']","['adults', 'young adults', 'female', 'with children', 'homeless', 'low-income', 'limited english', 'mothers']",909-931-2624,http://www.pacific-lifeline.org,,,['This program helps women and their children (ages 12 and below).'],waitlist,"Pacific Lifeline is a faith-based Long-Term Shelter serving homeless women and their children from San Bernardino, Riverside, and east Los Angeles counties, empowering them to achieve personal and social stability.This program provides: - Shelter for women and their childrenResidents may also receive: - Groceries and paper products- Cleaning supplies- Toiletries and baby supplies- Laundry facilities- Clothing for school and/or work- Individual and family counseling- Case management- Children's tutoring and group activities- Family enrichment activities- Re-entry homes- Access to food, necessities, and giftsMost residents are referred through short term programs, so if you are involved with one, please have your case worker contact the office. Otherwise, please contact the office and they will determine if you qualify for the Long-Term Shelter program. If you don't qualify, they will give you phone numbers for other organizations that may be able to help you.Referring organizations can call the shelter directly. Please note that this is not an emergency shelter and that the application process may take two weeks.","['English', 'Spanish']",Free,False,https://www.facebook.com/pacific.lifeline?_rdr,https://www.twitter.com/@PacificLifeline,"This program covers residents of the following counties: Los Angeles County, CA, Riverside County, CA and San Bernardino County, CA.",,,,False,?,?,?,?,?,?,?,0,Shelter
Angel's Flight for Runaway and Homeless Youth (Catholic Charities of Los Angeles Inc.),https://www.auntbertha.com//catholic-charities-of-los-angeles%252C-inc.--los-angeles-ca--angel%2527s-flight-for-runaway-and-homeless-youth/5802764892897280?postal=90013,"['temporary shelter', 'meals', 'clothing', 'substance abuse counseling', 'medical care', 'counseling', 'mental health care', 'community support services', 'recreation', 'case management', 'more education', 'tutoring', 'youth development', 'help find work']",,"['teens', 'homeless', 'runaways']",213-251-3400,https://catholiccharitiesla.org/angels-flight-for-runaway-and-homeless-youth/,"1531 James M Wood Boulevard, Los Angeles, CA 90015","https://www.google.com/maps/?q=1531+James+M+Wood+Boulevard,+Los+Angeles,+CA+90015/",['This program helps people who are 10 to 17 years old.'],available,"Angel’s Flight provides emergency shelter for homeless, runaway, and at-risk youth and offers essential services, including food, medical care, clothing, transportation, case management, counseling, educational assessment, and classroom learning.This program provides:- Shelter for runaway and homeless youth",['English'],Free,True,https://www.facebook.com/Catholic.Charities.LA,,"This program covers residents of the following counties: Los Angeles County, CA.",34.050688,-118.272225,90015.0,False,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,Closed,Closed,4.4,Shelter
Transform Homelessness Program - McGill Street House (Catholic Charities of Los Angeles Inc.),https://www.auntbertha.com//catholic-charities-of-los-angeles%252C-inc.--los-angeles-ca--transform-homelessness-program---mcgill-street-house/5700552139210752?postal=90013,"['temporary shelter', 'short-term housing', 'case management']","['nutrition education', 'help find housing', 'parenting education', 'counseling', 'financial education', 'navigating the system', 'one-on-one support', 'more education', 'skills & training', 'daily life skills']","['teens', 'children', 'adults 18+', 'female', 'with children', 'single parent', 'homeless']",213-251-3400,https://catholiccharitiesla.org/mcgill-street-house/,"1531 James M Wood Boulevard, Los Angeles, CA 90015","https://www.google.com/maps/?q=1531+James+M+Wood+Boulevard,+Los+Angeles,+CA+90015/",['This program serves women and children who are experiencing multiple and complex barriers toward a self-determined life and secure permanent housing.'],available,"McGill Street House is a 4-6 months program providing a wide array of social services to women and children who are experiencing multiple and complex barriers toward a self-determined life and secure permanent housing. Through case management, individualized service plans are developed with the clients to determine the resources that need to be mobilized to help them transition to more stable and self-sufficient life styles.This program provides:- Transitional housingLearning opportunities within the McGill House include:- Parenting skills- Asset building skills- Nutrition and life skills",['English'],Free,True,https://www.facebook.com/Catholic.Charities.LA,,"This program covers residents of the following counties: Los Angeles County, CA.",34.050688,-118.272225,90015.0,False,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,Closed,Closed,4.4,Shelter
Emergency Shelter Services (Los Angeles House of Ruth),https://www.auntbertha.com//los-angeles-house-of-ruth-%2528lahr%2529--los-angeles-ca--emergency-shelter-services/6231509560197120?postal=90013,"['temporary shelter', 'help escape violence', 'short-term housing']","['nutrition education', 'mental health care', 'case management', 'advocacy & legal aid']","['children', 'families', 'homeless', 'domestic violence survivors', 'emergency']",323-266-4139,https://losangeleshouseofruth.com/programs-services/shelter-housing/,,,['Must be a family with children to access this program.'],available,"The Emergency Shelter Services program provides shelter to families that are homeless or fleeing domestic violence. LAHR’s Emergency Shelter Services provides homeless families with short-term emergency shelter, meals and case management to place them into proper bridge housing or permanent housing.Services provided:- Emergency ShelterParticipants in this program also benefit from:- Mental Health Counseling- Case Management- Food & Nutrition Education Program- Legal ServicesInterested participants must go through coordinated entry (CES) or present proof of homelessness (this can be issued by a police officer, social worker, any public support) to access services.",['English'],Free,False,https://www.facebook.com/LAHouseofRuth,https://www.twitter.com/@LaHouseofRuth,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,?,?,?,?,?,?,?,0,Shelter
Good Shepherd Center (Catholic Charities of Los Angeles Inc.),https://www.auntbertha.com//catholic-charities-of-los-angeles%252C-inc.--los-angeles-ca--good-shepherd-center/5702774893838336?postal=90013,"['temporary shelter', 'short-term housing', 'navigating the system']","['meals', 'more education', 'help find work']","['all ages', 'all disabilities', 'female', 'with children', 'homeless', 'mothers']",213-251-3400,https://catholiccharitiesla.org/good-shepherd-center-for-homeless-women-and-children/,"1531 James M Wood Boulevard, Los Angeles, CA 90015","https://www.google.com/maps/?q=1531+James+M+Wood+Boulevard,+Los+Angeles,+CA+90015/",['This program serves mothers with children experiencing homelessness.'],available,Good Shepherd Center offers transitional housing and supportive services to homeless women and children.This program provides:- Short term housing- Employment services- Educational-focused transitional housing program- On-site culinary program/cafe,"['English', 'Spanish']",Free,True,https://www.facebook.com/Catholic.Charities.LA,,"This program covers residents of the following counties: Los Angeles County, CA.",34.0506162,-118.2722591,90015.0,False,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,Closed,Closed,4.4,Shelter
Shelter (Volunteers of America Los Angeles),,"['temporary shelter', 'long-term housing', 'addiction & recovery', 'daily life skills', 'navigating the system', 'case management', 'support network', 'peer support', 'ged/high-school equivalency', 'skills & training']",,"['adults 18+', 'undocumented', 'individuals', 'homeless', 'trauma survivors', 'human trafficking survivors', 'emergency', 'substance dependency']",213-389-1500,https://voala.org/services/adults/,,,"['Serves Human and Labor Trafficking Survivors.', 'This program helps people who are younger than 18 years old']",available,"MVAS provides a comprehensive array of services for minor victims of Human Trafficking and their families/caregivers to address their safety, security and healing in Los Angeles County.This program provides:- Life skills workshops- GED assistance- Employment readiness support- Peer support groups- Substance abuse support referrals- Case management wrap around- Emergency shelter- Long term housingTo access this program, please contact us for a referral form to fill out.","['English', 'Spanish']",Free,True,https://www.facebook.com/voalaca/,https://www.twitter.com/@voalaca,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,Closed,Closed,3.2,Shelter
Permanent Supportive Housing (ThePeopleConcern),,"['temporary shelter', 'short-term housing', 'navigating the system']",,"['all ages', 'homeless', 'male', 'female']",323-334-9000,https://www.thepeopleconcern.org/permanent-supportive-housing/,,,[],Not specified,"Permanent Supportive Housing (PSH) is often the ideal solution for individuals with co-occurring conditions who need ongoing, personalized support to achieve long-term stability, improve well-being, and maintain housing. PSH pairs a housing subsidy with individualized, on-going intensive case management services that are delivered with a Trauma-Informed Care and Harm Reduction Approach in both project-based and scattered-site settings. Residents sign lease agreements and pay 30% of whatever income they have.","['English', 'Spanish']",Reduced Cost,True,https://www.facebook.com/ThePeopleConcern/,https://www.twitter.com/@ThePplConcern,"This program covers residents of the following counties: Los Angeles County, CA.",34.043182,-118.2439629,90013.0,False,?,?,?,?,?,?,?,3.1,Shelter
Temporary and Permanent Housing (Upward Bound House),,"['temporary shelter', 'short-term housing']","['meals', 'help find housing', 'navigating the system', 'case management', 'one-on-one support']","['families', 'homeless', 'low-income', 'in crisis', 'all ages']",310-458-7779,https://upwardboundhouse.org/our-work/our-programs/emergency-shelter/,,,[],available,"Upward Bound's emergency shelter provides short-term housing for families in crisis on the Westside and in South Los Angeles. In addition to secure, safe accommodations for each family, the program features intensive wrap-around case management, counseling, a food program and other stabilization services. This program provides: - Temporary shelter This shelter provides:- Meals- Clothing- Household items- Case management- Help finding stable permanent housing- Connection to community partners & resources",['English'],Free,False,,,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,12:00PM - 8:00 PM,12:00PM - 8:00 PM,12:00PM - 8:00 PM,12:00PM - 8:00 PM,12:00PM - 8:00 PM,Closed,Closed,0,Shelter
Samaritan House (Long Beach Rescue Mission),https://www.auntbertha.com//long-beach-rescue-mission--long-beach-ca--samaritan-house/6569689463390208?postal=90013,['temporary shelter'],"['meals', 'clothing', 'personal hygiene']","['all ages', 'male', 'homeless']",562-591-1292,https://lbrm.org/what-we-do/emergency-services/,,,['This program serves men.'],available,"Samaritan House is the first step on the road to recovery for many homeless men, providing a way off the streets and help getting them on to the road to recovery. Men are welcome to stay at this shelter for up to 7 days. Services include:- Shelter Clients also receive:- Food - Clothing - Hygiene products",['English'],Free,False,https://www.facebook.com/lbrescuemission,https://www.twitter.com/@lbrescuemission,"This program covers residents of the following counties: Los Angeles County, CA.",,,,True,,,,,,,,0,Shelter
