Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Reviews,Service_Type
Community Center (The Salvation Army of Santa Monica),https://www.auntbertha.com//the-salvation-army-of-santa-monica--santa-monica-ca--community-center/4865175637196800?postal=90012,"['food pantry', 'recreation', 'support network', 'one-on-one support', 'spiritual support']",,"['anyone in need', 'all ages']",310-451-1358,http://santamonica.salvationarmy.org/,"1533 4th St, Santa Monica, CA 90401","https://www.google.com/maps/?q=1533+4th+St,+Santa+Monica,+CA+90401/",[],available,"The Santa Monica Corps Community Center is a resource of Christian ministry for worship and social interaction, which also provides services to address the needs of local residents of all ages.The programs and services offered through theSanta Monica Corps are specific to the needs of the communities in which we are located. We serve people of all ages– from children to seniors, and to a wide variety of needs. Services offered at the Community Center include:- Food & Nutrition Programs- Seasonal Services- Casework Services- Group Work Services- Worship Services - Church and Sunday School- Christian Education- Women's and Men's Ministries- Music & Arts Programs- Residential Camping ActivitiesThe food pantry is open Monday through Friday from 9 AM to 11 AM only.",['English'],Free,TRUE,,,"This program covers residents of the following counties: Los Angeles County, CA.",34.014525,-118.4924575,90401,FALSE,14:00PM – 16:00PM,21:00PM – 22:00PM,14:00PM – 16:00PM,21:00PM – 22:00PM,Closed,12:00PM – 13:00PM,Closed,4.3,Food
Tuesday Food Pantry (Valley Food Bank),https://www.auntbertha.com//valley-food-bank--los-angeles-ca--food-pantry/4924518497517568?postal=90012,['food pantry'],,"['anyone in need', 'all ages']",818-781-4156,https://valleyfoodbank.org/food-pantry-locations/,"7722 Kester Avenue, Los Angeles, CA 91405","https://www.google.com/maps/?q=7722+Kester+Avenue,+Los+Angeles,+CA+91405/",['Anyone can access this program.'],available,"Our food pantries serve everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance.Services provided to our community include:- Food to meet basic nutritional needsPlease check out the Food Pantry Locations page on our website often. Food Pantry times and locations may change without notice.",['English'],Free,FALSE,https://www.facebook.com/ValleyFoodBank/,,"This program covers residents of the following counties: Los Angeles County, CA.",34.2109474,-118.4571517,91405,FALSE,Closed,19:00PM – 20:00PM,Closed,Closed,Closed,Closed,Closed,0,Food
Wednesday Food Pantry 1 (Valley Food Bank),https://www.auntbertha.com//valley-food-bank--los-angeles-ca--food-pantry/4924518497517568?postal=90012,['food pantry'],,"['anyone in need', 'all ages']",,https://valleyfoodbank.org/food-pantry-locations/,"8767 Woodman Ave, Los Angeles, CA 91331",,['Anyone can access this program.'],available,"Our food pantries serve everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance.Services provided to our community include:- Food to meet basic nutritional needsPlease check out the Food Pantry Locations page on our website often. Food Pantry times and locations may change without notice.",['English'],Free,FALSE,https://www.facebook.com/ValleyFoodBank/,,"This program covers residents of the following counties: Los Angeles County, CA.",,,91331,FALSE,Closed,Closed,14:00PM - 16:00PM,Closed,Closed,Closed,Closed,0,Food
Wednesday Food Pantry 2 (Valley Food Bank),https://www.auntbertha.com//valley-food-bank--los-angeles-ca--food-pantry/4924518497517568?postal=90012,['food pantry'],,"['anyone in need', 'all ages']",,https://valleyfoodbank.org/food-pantry-locations/,"18120 Saticoy St, Los Angeles, CA 91335",,['Anyone can access this program.'],available,"Our food pantries serve everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance.Services provided to our community include:- Food to meet basic nutritional needsPlease check out the Food Pantry Locations page on our website often. Food Pantry times and locations may change without notice.",['English'],Free,FALSE,https://www.facebook.com/ValleyFoodBank/,,"This program covers residents of the following counties: Los Angeles County, CA.",,,91335,FALSE,Closed,Closed,16:00PM - 18:00PM,Closed,Closed,Closed,Closed,0,Food
Wednesday Food Pantry 3 (Valley Food Bank),https://www.auntbertha.com//valley-food-bank--los-angeles-ca--food-pantry/4924518497517568?postal=90012,['food pantry'],,"['anyone in need', 'all ages']",818-894-9316,https://valleyfoodbank.org/food-pantry-locations/,"16514 Nordhoff St, Los Angeles, CA 91343",,['Anyone can access this program.'],available,"Our food pantries serve everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance.Services provided to our community include:- Food to meet basic nutritional needsPlease check out the Food Pantry Locations page on our website often. Food Pantry times and locations may change without notice.",['English'],Free,FALSE,https://www.facebook.com/ValleyFoodBank/,,"This program covers residents of the following counties: Los Angeles County, CA.",,,91343,FALSE,Closed,Closed,18:00PM - 19:00PM,Closed,Closed,Closed,Closed,0,Food
Thursday Food Pantry 1 (Valley Food Bank),https://www.auntbertha.com//valley-food-bank--los-angeles-ca--food-pantry/4924518497517568?postal=90012,['food pantry'],,"['anyone in need', 'all ages']",,https://valleyfoodbank.org/food-pantry-locations/,"8856 Kester Avenue, Los Angeles, CA 91402",,['Anyone can access this program.'],available,"Our food pantries serve everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance.Services provided to our community include:- Food to meet basic nutritional needsPlease check out the Food Pantry Locations page on our website often. Food Pantry times and locations may change without notice.",['English'],Free,FALSE,https://www.facebook.com/ValleyFoodBank/,,"This program covers residents of the following counties: Los Angeles County, CA.",,,91403,FALSE,Closed,Closed,Closed,13:30PM - 14:30PM,Closed,Closed,Closed,0,Food
Thursday Food Pantry 2 (Valley Food Bank),https://www.auntbertha.com//valley-food-bank--los-angeles-ca--food-pantry/4924518497517568?postal=90012,['food pantry'],,"['anyone in need', 'all ages']",,https://valleyfoodbank.org/food-pantry-locations/,"13550 Herron St, Los Angeles, CA 91342",,['Anyone can access this program.'],available,"Our food pantries serve everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance.Services provided to our community include:- Food to meet basic nutritional needsPlease check out the Food Pantry Locations page on our website often. Food Pantry times and locations may change without notice.",['English'],Free,FALSE,https://www.facebook.com/ValleyFoodBank/,,"This program covers residents of the following counties: Los Angeles County, CA.",,,91342,FALSE,Closed,Closed,Closed,20:00PM - 21:30PM,Closed,Closed,Closed,0,Food
Friday Food Pantry (Valley Food Bank),https://www.auntbertha.com//valley-food-bank--los-angeles-ca--food-pantry/4924518497517568?postal=90012,['food pantry'],,"['anyone in need', 'all ages']",818-403-6432,https://valleyfoodbank.org/food-pantry-locations/,"622 N. Maclay Ave, San Fernando, CA 93140",,['Anyone can access this program.'],available,"Our food pantries serve everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance.Services provided to our community include:- Food to meet basic nutritional needsPlease check out the Food Pantry Locations page on our website often. Food Pantry times and locations may change without notice.",['English'],Free,FALSE,https://www.facebook.com/ValleyFoodBank/,,"This program covers residents of the following counties: Los Angeles County, CA.",,,93140,FALSE,Closed,Closed,Closed,Closed,18:00PM - 19:00PM,Closed,Closed,0,Food
Saturday Food Pantry (Valley Food Bank),https://www.auntbertha.com//valley-food-bank--los-angeles-ca--food-pantry/4924518497517568?postal=90012,['food pantry'],,"['anyone in need', 'all ages']",818-398-6232,https://valleyfoodbank.org/food-pantry-locations/,"9666 Foothill Place, Los Angeles, CA 91342",,['Anyone can access this program.'],available,"Our food pantries serve everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance.Services provided to our community include:- Food to meet basic nutritional needsPlease check out the Food Pantry Locations page on our website often. Food Pantry times and locations may change without notice.",['English'],Free,FALSE,https://www.facebook.com/ValleyFoodBank/,,"This program covers residents of the following counties: Los Angeles County, CA.",,,91342,FALSE,Closed,Closed,Closed,Closed,Closed,16:30PM - 17:30PM,Closed,0,Food
Emergency Assistance (East San Gabriel Valley Coalition for the Homeless (ESGVCH)),https://www.auntbertha.com//east-san-gabriel-valley-coalition-for-the-homeless-%2528esgvch%2529--la-puente-ca--emergency-assistance/6220657520017408?postal=90012,"['help pay for housing', 'food pantry', 'meals', 'bus passes', 'personal hygiene', 'counseling', 'navigating the system', 'one-on-one support', 'advocacy & legal aid']",['navigating the system'],"['anyone in need', 'all ages', 'individuals', 'families', 'homeless', 'near homeless']",626-333-7204,https://www.esgvch.org/emergency-access-center-eac,"15701 Hill Street, La Puente, CA 91744","https://www.google.com/maps/?q=15701+Hill+Street,+La+Puente,+CA+91744/",[],available,"The ESGVCH staff sees to the emergency needs of the homeless and those at risk. This could be a hot slice of pizza, a sack lunch, showers, hygiene kits, bus tokens, motel vouchers for families and counseling and advocacy for those who need help. The clients often use the Emergency Assistance office address to receive their mail.This program provides:- Meals- Transportation vouchers- Hygiene kits- ShowersThe office is located in the St. Martin de Porres Center at the rear of St. John Vianney Catholic Church. Staff also assist clients with information and referrals for medical, dental, domestic violence, drug, alcohol counseling, and housing.Program clients may also access:- Help Navigating the System- Help finding Healthcare- Help Finding Housing","['English', 'Spanish']",Free,TRUE,https://www.facebook.com/pages/East-San-Gabriel-Valley-Coalition-for-the-Homeless/155078399775,,"This program covers residents of the following counties: Los Angeles County, CA.",34.0263535,-117.9507573,91744,FALSE,11:30AM – 16:30PM,11:30AM – 16:30PM,11:30AM – 16:30PM,11:30AM – 16:30PM,11:30AM – 16:30PM,Closed,Closed,4.2,Food
