name,location_link,rating,review_id,author_id,review_text,review_rating
Bridge To Home SCV- Shelter,"https://www.google.com/maps/place/Bridge+To+Home+SCV-+Shelter/@34.4120254,-118.5377889,14z/data=!4m8!1m2!2m1!1sBridge+To+Home+SCV-+Shelter!3m4!1s0x80c287c9a0dbf9d3:0xb2b61b2642ee67e!8m2!3d34.4120254!4d-118.5377889",4.1,Ci9DQUlRQUNvZENodHljRjlvT2xwSGQwaFlOakZsWTE5TmQwcEVORXRqU1hCMFgyYxAB,106794547569132000553,"I am not homeless but tried dropping off clothes and the security guard there was extremely ghetto and very rude. You guys really need to get on your game. You are supposed to be there to help others. You never know who you are dealing with and could lose your license for the way that you are treating people. Read your reviews! Everyone is not lying about how you guys are treating people. Please,  wake up!!!",1
Bridge To Home SCV- Shelter,"https://www.google.com/maps/place/Bridge+To+Home+SCV-+Shelter/@34.4120254,-118.5377889,14z/data=!4m8!1m2!2m1!1sBridge+To+Home+SCV-+Shelter!3m4!1s0x80c287c9a0dbf9d3:0xb2b61b2642ee67e!8m2!3d34.4120254!4d-118.5377889",4.1,ChZDSUhNMG9nS0VJYVRqS0dteHJISlJ3EAE,104212119397032174950,"This is the best place to go to if you ever need help. They treat every single person who walks through their doors with the utmost dignity and respect. Nikki is amazing, she has a heart of gold. The cleaning staff keep this place spotless. This is the Ritz Carlton of homeless shelters.",5
Bridge To Home SCV- Shelter,"https://www.google.com/maps/place/Bridge+To+Home+SCV-+Shelter/@34.4120254,-118.5377889,14z/data=!4m8!1m2!2m1!1sBridge+To+Home+SCV-+Shelter!3m4!1s0x80c287c9a0dbf9d3:0xb2b61b2642ee67e!8m2!3d34.4120254!4d-118.5377889",4.1,ChZDSUhNMG9nS0VOMzY4dm1qLTYzaGFnEAE,104775446738534133435,"Very nice place, friendly people.",5
Bridge To Home SCV- Shelter,"https://www.google.com/maps/place/Bridge+To+Home+SCV-+Shelter/@34.4120254,-118.5377889,14z/data=!4m8!1m2!2m1!1sBridge+To+Home+SCV-+Shelter!3m4!1s0x80c287c9a0dbf9d3:0xb2b61b2642ee67e!8m2!3d34.4120254!4d-118.5377889",4.1,ChZDSUhNMG9nS0VJQ0FnTUNJdG9MemJ3EAE,101281893978188947112,,5
Bridge To Home SCV- Shelter,"https://www.google.com/maps/place/Bridge+To+Home+SCV-+Shelter/@34.4120254,-118.5377889,14z/data=!4m8!1m2!2m1!1sBridge+To+Home+SCV-+Shelter!3m4!1s0x80c287c9a0dbf9d3:0xb2b61b2642ee67e!8m2!3d34.4120254!4d-118.5377889",4.1,ChdDSUhNMG9nS0VJQ0FnTUN3cjliQ3hRRRAB,111934853902900798436,,4
Bridge To Home SCV- Shelter,"https://www.google.com/maps/place/Bridge+To+Home+SCV-+Shelter/@34.4120254,-118.5377889,14z/data=!4m8!1m2!2m1!1sBridge+To+Home+SCV-+Shelter!3m4!1s0x80c287c9a0dbf9d3:0xb2b61b2642ee67e!8m2!3d34.4120254!4d-118.5377889",4.1,ChZDSUhNMG9nS0VJQ0FnTURneGNXRU9nEAE,105446951914341307496,,4
Bridge To Home SCV- Shelter,"https://www.google.com/maps/place/Bridge+To+Home+SCV-+Shelter/@34.4120254,-118.5377889,14z/data=!4m8!1m2!2m1!1sBridge+To+Home+SCV-+Shelter!3m4!1s0x80c287c9a0dbf9d3:0xb2b61b2642ee67e!8m2!3d34.4120254!4d-118.5377889",4.1,ChRDSUhNMG9nS0VJQ0FnSUQyeGVnchAB,105388224992588866166,"It's quota for them,  I was in the railroad fire in 2018 I was homeless with a cat and they couldn't even help me at all.
But they had regulars who would come in and get free lunch bags, do free laundry but nobody has a place.",2
Bridge To Home SCV- Shelter,"https://www.google.com/maps/place/Bridge+To+Home+SCV-+Shelter/@34.4120254,-118.5377889,14z/data=!4m8!1m2!2m1!1sBridge+To+Home+SCV-+Shelter!3m4!1s0x80c287c9a0dbf9d3:0xb2b61b2642ee67e!8m2!3d34.4120254!4d-118.5377889",4.1,ChdDSUhNMG9nS0VJQ0FnSURfcV9MTzV3RRAB,111279658612937557166,Good vibes,5
Bridge To Home SCV- Shelter,"https://www.google.com/maps/place/Bridge+To+Home+SCV-+Shelter/@34.4120254,-118.5377889,14z/data=!4m8!1m2!2m1!1sBridge+To+Home+SCV-+Shelter!3m4!1s0x80c287c9a0dbf9d3:0xb2b61b2642ee67e!8m2!3d34.4120254!4d-118.5377889",4.1,ChZDSUhNMG9nS0VJQ0FnSUN2NXAyQUZnEAE,109469769668444655480,Worst place besides the Cecil Hotel that I've been sent to. The security guard was exceptionally rude. No help offered but I was told to drive 45 minutes BACK to LA to get real homeless help. I suggest trying every place else before you submit yourself to this.,1
Bridge To Home SCV- Shelter,"https://www.google.com/maps/place/Bridge+To+Home+SCV-+Shelter/@34.4120254,-118.5377889,14z/data=!4m8!1m2!2m1!1sBridge+To+Home+SCV-+Shelter!3m4!1s0x80c287c9a0dbf9d3:0xb2b61b2642ee67e!8m2!3d34.4120254!4d-118.5377889",4.1,ChZDSUhNMG9nS0VJQ0FnSUNQLW9UWGJnEAE,109811970386606210607,Clean friendly staff made a donation,5
