name,location_link,rating,review_id,author_id,review_text,review_rating
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChdDSUhNMG9nS0VJQ0FnSURQeExDUjhRRRAB,100186538227675089573,,1
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChdDSUhNMG9nS0VJQ0FnSUNicC1fLXVRRRAB,115508313344864192476,Es de lo mejor que hay me siento muy agradecido con todo el staff de ayi yo estuve en el 2010 y siempre estaré agradecido con todos gracias a Dios que los encontré gracias por ayudar a tanto joven Dios les bendiga grandemente siempre,5
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChdDSUhNMG9nS0VJQ0FnSUN0cXFpbjV3RRAB,116366381213776991317,,5
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChdDSUhNMG9nS0VJQ0FnSUR4dDRmSDBnRRAB,104600654625748694227,,5
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChdDSUhNMG9nS0VJQ0FnSURSeElEUXd3RRAB,104298325685443092038,,5
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChdDSUhNMG9nS0VJQ0FnSURoaHJmNjZBRRAB,103132560691393393247,Wow my experience  that's great 👍  is better program,5
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChZDSUhNMG9nS0VJQ0FnSUQtLU9hX0ZBEAE,101565539727961295830,Kicking,5
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChdDSUhNMG9nS0VJQ0FnSUNldktDU2tRRRAB,111257317867317385558,No one is really helping with this program and I’m in need for urgent help this is so depressing!!!!!!,1
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChZDSUhNMG9nS0VJQ0FnSUNteU9MeUZREAE,115741585309054909551,,1
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChdDSUhNMG9nS0VJQ0FnSUQ2cktLb2tRRRAB,101796918124665393891,,5
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChdDSUhNMG9nS0VJQ0FnSUNxeGRhZDFnRRAB,111157823568930915057,"Great non-profit organization that works with youth in trouble, provides, shelter, food, education and after class activities",5
Jovenes Inc. Center,"https://www.google.com/maps/place/Jovenes+Inc.+Center/@34.052586999999995,-118.22288999999999,14z/data=!4m8!1m2!2m1!1sJovenes+Inc.+Center!3m4!1s0x80c2c61353265b6b:0xafe5cbd5a10fe8a6!8m2!3d34.052586999999995!4d-118.22288999999999",4.3,ChZDSUhNMG9nS0VJQ0FnSUNLMDktUk9REAE,106670966171235592547,,5
