name,location_link,rating,review_id,author_id,review_text,review_rating
Good Shepherd Center,"https://www.google.com/maps/place/Good+Shepherd+Center/@34.0666316,-118.2634173,14z/data=!4m8!1m2!2m1!1sGood+Shepherd+Center!3m4!1s0x80c2c7063c889fed:0xa13c84dd4d1190fa!8m2!3d34.0666316!4d-118.2634173",3.7,ChZDSUhNMG9nS0VJQ0FnSUNudHA3bGR3EAE,102664691371932065323,I got everything I needed .,5
Good Shepherd Center,"https://www.google.com/maps/place/Good+Shepherd+Center/@34.0666316,-118.2634173,14z/data=!4m8!1m2!2m1!1sGood+Shepherd+Center!3m4!1s0x80c2c7063c889fed:0xa13c84dd4d1190fa!8m2!3d34.0666316!4d-118.2634173",3.7,ChZDSUhNMG9nS0VJQ0FnSURUZ3Vfa0Z3EAE,105712981054866379628,No one ever returned my call,1
Good Shepherd Center,"https://www.google.com/maps/place/Good+Shepherd+Center/@34.0666316,-118.2634173,14z/data=!4m8!1m2!2m1!1sGood+Shepherd+Center!3m4!1s0x80c2c7063c889fed:0xa13c84dd4d1190fa!8m2!3d34.0666316!4d-118.2634173",3.7,ChZDSUhNMG9nS0VJQ0FnSURWaVliS1FREAE,105294143165229811443,,5
Good Shepherd Center,"https://www.google.com/maps/place/Good+Shepherd+Center/@34.0666316,-118.2634173,14z/data=!4m8!1m2!2m1!1sGood+Shepherd+Center!3m4!1s0x80c2c7063c889fed:0xa13c84dd4d1190fa!8m2!3d34.0666316!4d-118.2634173",3.7,ChZDSUhNMG9nS0VJQ0FnSUNWOU1uZmN3EAE,117485953571651041944,"I was here a long long time ago it's was difficult at first but you learn  things there.no you really  do you get along with people like you are in this difficult
situation  and  you save your money. And learn to cook other  foods.i like it I didnt want to leave it was nice.",5
Good Shepherd Center,"https://www.google.com/maps/place/Good+Shepherd+Center/@34.0666316,-118.2634173,14z/data=!4m8!1m2!2m1!1sGood+Shepherd+Center!3m4!1s0x80c2c7063c889fed:0xa13c84dd4d1190fa!8m2!3d34.0666316!4d-118.2634173",3.7,ChZDSUhNMG9nS0VJQ0FnSURoaDVfb1VnEAE,114889299238479291286,,5
Good Shepherd Center,"https://www.google.com/maps/place/Good+Shepherd+Center/@34.0666316,-118.2634173,14z/data=!4m8!1m2!2m1!1sGood+Shepherd+Center!3m4!1s0x80c2c7063c889fed:0xa13c84dd4d1190fa!8m2!3d34.0666316!4d-118.2634173",3.7,ChZDSUhNMG9nS0VJQ0FnSURCOV9uek9BEAE,116859246194511386990,,5
Good Shepherd Center,"https://www.google.com/maps/place/Good+Shepherd+Center/@34.0666316,-118.2634173,14z/data=!4m8!1m2!2m1!1sGood+Shepherd+Center!3m4!1s0x80c2c7063c889fed:0xa13c84dd4d1190fa!8m2!3d34.0666316!4d-118.2634173",3.7,ChdDSUhNMG9nS0VJQ0FnSUR1NjZLcXdnRRAB,118299228491244875527,Karen Barrera you owe me 100.00! Your such a scammer,1
Good Shepherd Center,"https://www.google.com/maps/place/Good+Shepherd+Center/@34.0666316,-118.2634173,14z/data=!4m8!1m2!2m1!1sGood+Shepherd+Center!3m4!1s0x80c2c7063c889fed:0xa13c84dd4d1190fa!8m2!3d34.0666316!4d-118.2634173",3.7,ChZDSUhNMG9nS0VJQ0FnSUMydDREMVNREAE,114960511596779607729,I live here.   I'm surrounded by people who are my family.,5
Good Shepherd Center,"https://www.google.com/maps/place/Good+Shepherd+Center/@34.0666316,-118.2634173,14z/data=!4m8!1m2!2m1!1sGood+Shepherd+Center!3m4!1s0x80c2c7063c889fed:0xa13c84dd4d1190fa!8m2!3d34.0666316!4d-118.2634173",3.7,ChZDSUhNMG9nS0VJQ0FnSURXNzltVmRREAE,109128169469447790160,,5
Good Shepherd Center,"https://www.google.com/maps/place/Good+Shepherd+Center/@34.0666316,-118.2634173,14z/data=!4m8!1m2!2m1!1sGood+Shepherd+Center!3m4!1s0x80c2c7063c889fed:0xa13c84dd4d1190fa!8m2!3d34.0666316!4d-118.2634173",3.7,ChdDSUhNMG9nS0VJQ0FnSUNXb28yOWpRRRAB,116412928346574036575,,1
