name,location_link,rating,review_id,author_id,review_text,review_rating
PATH Family Solutions Center,"https://www.google.com/maps/place/PATH+Family+Solutions+Center/@34.040209,-118.3210666,14z/data=!4m8!1m2!2m1!1sPATH+Family+Solutions+Center!3m4!1s0x80c2b867b7c8221f:0xe98a7088f05b53e0!8m2!3d34.040209!4d-118.3210666",3.6,Ci9DQUlRQUNvZENodHljRjlvT2tnMVNteGFSall6VEhwZlZWWXdPVlZJYnpOTFRVRRAB,108817236926674460389,,5
PATH Family Solutions Center,"https://www.google.com/maps/place/PATH+Family+Solutions+Center/@34.040209,-118.3210666,14z/data=!4m8!1m2!2m1!1sPATH+Family+Solutions+Center!3m4!1s0x80c2b867b7c8221f:0xe98a7088f05b53e0!8m2!3d34.040209!4d-118.3210666",3.6,Ci9DQUlRQUNvZENodHljRjlvT2xKc2VqWmhZekZpUzFoV04wbHNiRTFOZFVZd1kwRRAB,106391129123306453951,"Dont help whatsoever give you the run around no call back nothing""no help!",1
PATH Family Solutions Center,"https://www.google.com/maps/place/PATH+Family+Solutions+Center/@34.040209,-118.3210666,14z/data=!4m8!1m2!2m1!1sPATH+Family+Solutions+Center!3m4!1s0x80c2b867b7c8221f:0xe98a7088f05b53e0!8m2!3d34.040209!4d-118.3210666",3.6,ChZDSUhNMG9nS0VJQ0FnTUNJc2Vub0h3EAE,111400624520939934642,It’s a good program and does help with your Rent nd bill I’m thankful for the program it helped me nd my family,5
PATH Family Solutions Center,"https://www.google.com/maps/place/PATH+Family+Solutions+Center/@34.040209,-118.3210666,14z/data=!4m8!1m2!2m1!1sPATH+Family+Solutions+Center!3m4!1s0x80c2b867b7c8221f:0xe98a7088f05b53e0!8m2!3d34.040209!4d-118.3210666",3.6,ChdDSUhNMG9nS0VJQ0FnTUNBM19qX2pnRRAB,113556924992253342285,,2
PATH Family Solutions Center,"https://www.google.com/maps/place/PATH+Family+Solutions+Center/@34.040209,-118.3210666,14z/data=!4m8!1m2!2m1!1sPATH+Family+Solutions+Center!3m4!1s0x80c2b867b7c8221f:0xe98a7088f05b53e0!8m2!3d34.040209!4d-118.3210666",3.6,ChdDSUhNMG9nS0VJQ0FnSUR2NEpPNDR3RRAB,101594234801745788279,"I wanna make a special and incredible beautiful review for Elena !!!! She was the best specialist ever not to mention best customer service great hospitality very knowledgeable and helpful and very professional and respectful and resourceful. She was totally on job and also made me feel welcome . Also the staff was amazing as well !! If any one or any families or etc. needs help or finding some type of support in the time of need even if they can’t get you the help right away , I would suggest to come or reach out to this location period 🏆 thank you guys so much",5
PATH Family Solutions Center,"https://www.google.com/maps/place/PATH+Family+Solutions+Center/@34.040209,-118.3210666,14z/data=!4m8!1m2!2m1!1sPATH+Family+Solutions+Center!3m4!1s0x80c2b867b7c8221f:0xe98a7088f05b53e0!8m2!3d34.040209!4d-118.3210666",3.6,ChZDSUhNMG9nS0VJQ0FnSUREei1iR1FBEAE,103176026125263013115,,5
PATH Family Solutions Center,"https://www.google.com/maps/place/PATH+Family+Solutions+Center/@34.040209,-118.3210666,14z/data=!4m8!1m2!2m1!1sPATH+Family+Solutions+Center!3m4!1s0x80c2b867b7c8221f:0xe98a7088f05b53e0!8m2!3d34.040209!4d-118.3210666",3.6,ChZDSUhNMG9nS0VJQ0FnSUNEZ2NqdkxnEAE,107968265539551841999,Simply not impressed with their services quite lazy!! Nobody likes to move around they just at their respective desk,1
PATH Family Solutions Center,"https://www.google.com/maps/place/PATH+Family+Solutions+Center/@34.040209,-118.3210666,14z/data=!4m8!1m2!2m1!1sPATH+Family+Solutions+Center!3m4!1s0x80c2b867b7c8221f:0xe98a7088f05b53e0!8m2!3d34.040209!4d-118.3210666",3.6,ChZDSUhNMG9nS0VJQ0FnSUQ5NHVMWVBREAE,114334274374207004467,,5
PATH Family Solutions Center,"https://www.google.com/maps/place/PATH+Family+Solutions+Center/@34.040209,-118.3210666,14z/data=!4m8!1m2!2m1!1sPATH+Family+Solutions+Center!3m4!1s0x80c2b867b7c8221f:0xe98a7088f05b53e0!8m2!3d34.040209!4d-118.3210666",3.6,ChdDSUhNMG9nS0VJQ0FnSURWazQzVDNBRRAB,109636064049828858139,This is a good place to start for anyone in mid city needing help with housing and or tough times resources,5
PATH Family Solutions Center,"https://www.google.com/maps/place/PATH+Family+Solutions+Center/@34.040209,-118.3210666,14z/data=!4m8!1m2!2m1!1sPATH+Family+Solutions+Center!3m4!1s0x80c2b867b7c8221f:0xe98a7088f05b53e0!8m2!3d34.040209!4d-118.3210666",3.6,ChZDSUhNMG9nS0VJQ0FnSURWb3ZMZ1RBEAE,114657175180286756414,,5
