name,location_link,rating,review_id,author_id,review_text,review_rating
Union Station Adult Center,"https://www.google.com/maps/place/Union+Station+Adult+Center/@34.1386027,-118.14837159999999,14z/data=!4m8!1m2!2m1!1sUnion+Station+Adult+Center!3m4!1s0x80c2c33fa358f7bf:0xf7b750fc3bb856ee!8m2!3d34.1386027!4d-118.14837159999999",3.8,ChdDSUhNMG9nS0VJQ0FnSUNybk1UWjR3RRAB,111368989143793115035,"Estuve viviendo ahí por dos años y por compasión le preste dinero a Olivia Villegas porque le iban a asesinar a un hermano por narco y después de dos años de tanto cobrarle lo que recibí fueron insultos de su parte y lo que no me explico es porque tienen trabajando ahí personal tan abusivo y sinverguenzaPor otra parte mi msd sincero agradecimiento a las señoras Bárbara y Ámbar por su insuperable profesionalismo,así como a Ben,Lorenzo y Maritza.En lo personal la Sra Bárbara aparte de hermosa es compasiva.caritativa.justa.ecuanimey recta.un ser humano excepcional igual que Ben",4
Union Station Adult Center,"https://www.google.com/maps/place/Union+Station+Adult+Center/@34.1386027,-118.14837159999999,14z/data=!4m8!1m2!2m1!1sUnion+Station+Adult+Center!3m4!1s0x80c2c33fa358f7bf:0xf7b750fc3bb856ee!8m2!3d34.1386027!4d-118.14837159999999",3.8,ChZDSUhNMG9nS0VJQ0FnSUNqbk9LMUV3EAE,107627066577926762247,"I Stayed Here, Referred By My Case manager And Had To Request A Transfer Out!!!!!  It Became Like ""New Jack City"", The movie!!!!!!",1
Union Station Adult Center,"https://www.google.com/maps/place/Union+Station+Adult+Center/@34.1386027,-118.14837159999999,14z/data=!4m8!1m2!2m1!1sUnion+Station+Adult+Center!3m4!1s0x80c2c33fa358f7bf:0xf7b750fc3bb856ee!8m2!3d34.1386027!4d-118.14837159999999",3.8,ChdDSUhNMG9nS0VJQ0FnSURkdXZxMjFBRRAB,104507759866535169884,I am so proud that I kept my standards the same as I should. While I wait in line at an adult center such as this one in Pasadena ca. I did not waste my time or these faculties a members that stood by me when I was a still am in a position where I know to be mindful of others. No matter the career or work place.🙃🙃🙃🧘‍♂️🧘‍♂️🧘‍♂️🧘🐇🏋️‍♂️🏋️‍♂️🏋️‍♂️🧘‍♀️🥷🥷🧐🧐,5
Union Station Adult Center,"https://www.google.com/maps/place/Union+Station+Adult+Center/@34.1386027,-118.14837159999999,14z/data=!4m8!1m2!2m1!1sUnion+Station+Adult+Center!3m4!1s0x80c2c33fa358f7bf:0xf7b750fc3bb856ee!8m2!3d34.1386027!4d-118.14837159999999",3.8,ChdDSUhNMG9nS0VJQ0FnSUNOdF83WWd3RRAB,103954209846487755766,I came here but the staff told me it was not open to the public.,1
Union Station Adult Center,"https://www.google.com/maps/place/Union+Station+Adult+Center/@34.1386027,-118.14837159999999,14z/data=!4m8!1m2!2m1!1sUnion+Station+Adult+Center!3m4!1s0x80c2c33fa358f7bf:0xf7b750fc3bb856ee!8m2!3d34.1386027!4d-118.14837159999999",3.8,ChZDSUhNMG9nS0VJQ0FnSUNWZ1otYlpBEAE,113729219024488910223,Awsome,5
Union Station Adult Center,"https://www.google.com/maps/place/Union+Station+Adult+Center/@34.1386027,-118.14837159999999,14z/data=!4m8!1m2!2m1!1sUnion+Station+Adult+Center!3m4!1s0x80c2c33fa358f7bf:0xf7b750fc3bb856ee!8m2!3d34.1386027!4d-118.14837159999999",3.8,ChdDSUhNMG9nS0VJQ0FnSURaalpLa3Z3RRAB,105354042372811113116,"Chill, no parking.  Food... four out of five vagrants prefer it to starvation. It's very clean.",4
Union Station Adult Center,"https://www.google.com/maps/place/Union+Station+Adult+Center/@34.1386027,-118.14837159999999,14z/data=!4m8!1m2!2m1!1sUnion+Station+Adult+Center!3m4!1s0x80c2c33fa358f7bf:0xf7b750fc3bb856ee!8m2!3d34.1386027!4d-118.14837159999999",3.8,ChdDSUhNMG9nS0VJQ0FnSURlaF9XYTZRRRAB,102088951056385392937,My experience with Union Station. Sam it's okay to starting extent but my housing coordinator for the Union Station from Woodbury and Lincoln at for housing coordinator that quit on me one of them being tell me I had a place to live and just let it go one of them visit me in the hospital but I never heard from again now I have his new person named Kimberly Crawford wow it's going to run out on me again how many time does Union Station going to put me on the back burner and let my section 8 voucher expire I need a new agent some of these people here don't give a s*** about you I tried and tried with these people but none of them don't want to do anyting how old is your local city for the money,5
Union Station Adult Center,"https://www.google.com/maps/place/Union+Station+Adult+Center/@34.1386027,-118.14837159999999,14z/data=!4m8!1m2!2m1!1sUnion+Station+Adult+Center!3m4!1s0x80c2c33fa358f7bf:0xf7b750fc3bb856ee!8m2!3d34.1386027!4d-118.14837159999999",3.8,ChdDSUhNMG9nS0VJQ0FnSURPdTcyRjJBRRAB,103884659570761650611,,3
Union Station Adult Center,"https://www.google.com/maps/place/Union+Station+Adult+Center/@34.1386027,-118.14837159999999,14z/data=!4m8!1m2!2m1!1sUnion+Station+Adult+Center!3m4!1s0x80c2c33fa358f7bf:0xf7b750fc3bb856ee!8m2!3d34.1386027!4d-118.14837159999999",3.8,ChdDSUhNMG9nS0VJQ0FnSUMyLWR6c3lRRRAB,112711160663173279880,Sarah  Teeters cares about nothing......the worst!!!!,1
Union Station Adult Center,"https://www.google.com/maps/place/Union+Station+Adult+Center/@34.1386027,-118.14837159999999,14z/data=!4m8!1m2!2m1!1sUnion+Station+Adult+Center!3m4!1s0x80c2c33fa358f7bf:0xf7b750fc3bb856ee!8m2!3d34.1386027!4d-118.14837159999999",3.8,ChdDSUhNMG9nS0VJQ0FnSUNHOGFtYmtnRRAB,106739966337738647045,My experience has been they Go the extra mileThe worker Elaine has been the best,5
