Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_Type
Food Pantry (Elevate Life Church),https://www.auntbertha.com//elevate-life-church--riverside-ca--food-pantry/6706993935024128?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",,https://elevatechurch.tv/food-distribution,"4017 Trailcreek Road, Riverside, CA 92505","https://www.google.com/maps/?q=4017+Trailcreek+Road,+Riverside,+CA+92505/",[],available,Elevate Life Church provides a community Food Pantry. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,False,https://www.facebook.com/elevatelifechurchriverside/,,"This program covers residents of the following cities: Riverside, CA.",33.899581,-117.491768,92505.0,False,Closed,12:00PM - 2:00PM,Closed,Closed,12:00PM - 2:00PM,Closed,Closed,0,Food
Food Bank (Lake Hills Christian Center),https://www.auntbertha.com//lake-hills-christian-center-%2528lhcc%2529--riverside-ca--food-bank/6684530931007488?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",951-737-6680,https://www.lhccr.com/copy-of-worship-team,"12500 Indiana Avenue, Riverside, CA 92503","https://www.google.com/maps/?q=12500+Indiana+Avenue,+Riverside,+CA+92503/",['Anyone can access these services.'],available,LHCC's Food Bank provides individuals with box of food for pick up. Individuals receive enough food to last almost an entire week.This program provides: - Food to meet nutritional needsParticipants must have a vehicle or cart to put your box and bags in. The Food Bank follows a first come first serve policy so please make sure to drive early.,['English'],Free,True,https://www.facebook.com/aglhcc,,"This program covers residents of the following cities: Riverside, CA.",33.8833116,-117.4961035,92503.0,False,Closed,Closed,Closed,Closed,2:00 PM - 4:00 PM,Closed,Closed,4.9,Food
Blessing Bag of Food (Trinity Lutheran Church),https://www.auntbertha.com//trinity-lutheran-church--riverside-ca--blessing-bag-of-food/5760418057420800?postal=92507,['food pantry'],,"['all ages', 'individuals', 'homeless']",951-682-1350,http://trinityriverside.org/outreach/,"5969 Brockton Avenue, Riverside, CA 92506","https://www.google.com/maps/?q=5969+Brockton+Avenue,+Riverside,+CA+92506/",['This program serves homeless individuals.'],available,Ziploc bags containing food and water are available at the church to be picked up and shared with homeless people in the community.This program provides:- Food bags,['English'],Free,False,https://www.facebook.com/groups/355549243530,,"This program covers residents of the following cities: Riverside, CA.",33.961587,-117.3969952,92506.0,False,12:00PM - 4:00PM,12:00PM - 4:00PM,12:00PM - 4:00PM,12:00PM - 4:00PM,12:00PM - 4:00PM,Closed,Closed,0,Food
Grocery and Clothing Assistance (Arlington Temporary Assistance),https://www.auntbertha.com//arlington-temporary-assistance--riverside-ca--grocery-and-clothing-assistance/5137416858632192?postal=92507,"['food pantry', 'clothing', 'navigating the system']",,"['anyone in need', 'all ages']",951-689-5620,http://www.atariverside.org/,"10459 Arlington Avenue, Riverside, CA 92505","https://www.google.com/maps/?q=10459+Arlington+Avenue,+Riverside,+CA+92505/",['Anyone can access this program.'],available,"Arlington Temporary Assistance provides grocery and clothing assistance for individuals and families living in Riverside, CA.This program provides:- Food to meet nutritional needs- Clothing- Referrals to additional self-sufficiency servicesThese services are provided to members of the community free of charge. Contact the provider to learn more.","['English', 'Spanish']",Free,True,https://www.facebook.com/ArlingtonTemporaryAssistance/,,"This program covers residents of the following cities: Riverside, CA.",33.947038,-117.4824468,92505.0,False,1:00PM - 6:00PM,1:00PM - 4:00PM,1:00PM - 6:00PM,1:00PM - 4:00PM,Closed,Closed,Closed,4.3,"Food, Clothes"
Queen of Angels Food Pantry,https://www.auntbertha.com//queen-of-angels--riverside-ca--food-pantry/5964133168185344?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families', 'limited english']",714-492-9451,https://queenofangelsriverside.com/food-pantry,"4824 Jones Avenue, Riverside, CA 92505","https://www.google.com/maps/?q=4824+Jones+Avenue,+Riverside,+CA+92505/",['Anyone can access this program.'],available,Queen of Angels offers a food pantry that is open to anyone in need. This program supports individuals and families with placing food on the table so they don't go without a meal.This program provides:- Food to meet basic nutritional needs,"['English', 'Spanish']",Free,True,,,"This program covers residents of the following cities: Riverside, CA.",33.9252347,-117.478212,92505.0,False,Closed,Closed,Closed,9:00 AM - 10:00 AM  PST,Closed,Closed,Closed,,
Bright Path Center Emergency Food Assistance Program,https://www.auntbertha.com//bright-path-center--riverside-ca--emergency-food-assistance-program/4510892700336128?postal=92507,"['food pantry', 'meals']",,"['anyone in need', 'all ages', 'unemployed', 'individuals', 'families', 'homeless', 'near homeless', 'low-income']",951-682-0088,https://brightpathcenter.org/emergency-food-service/,"4505 Allstate Drive, Riverside, CA 92501","https://www.google.com/maps/?q=4505+Allstate+Drive,+Riverside,+CA+92501/",['This program serves anyone in need.'],available,Bright Path Center's Emergency Food Assistance Program serves as a beacon of hope for those grappling with the risk of hunger and food insecurity.  This program provides:- Food pantry - Meals Those in need may contact Bright Path Center to schedule an appointment to pick up food. Those who do not have transportation may qualify for delivery service depending on location. Contact the provider for more information.,['English'],Free,False,https://www.facebook.com/brightPathNPO?mibextid=LQQJ4d,,"This program covers residents of the following counties: Riverside County, CA and San Bernardino County, CA.",34.0035875,-117.3754911,92501.0,False,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,Closed,2:00 PM - 5:00 PM  PST,,
Community Settlement Association Food Pantry Program,https://www.auntbertha.com//community-settlement-association-%2528csa%2529--riverside-ca--food-pantry/6466415525756928?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",951-686-6266,https://csariverside.org/food-pantry-program/,"4366 Bermuda Avenue, Riverside, CA 92507","https://www.google.com/maps/?q=4366+Bermuda+Avenue,+Riverside,+CA+92507/",['Anyone can access this program.'],available,"CSA is continuing to provide services to the community through the food pantry program during the COVID-19 crisis. CSA remains committed to the families, seniors and individuals being assisted every week throughout the year and those affected by the COVID-19 situation. This program provides: - Food to meet basic nutritional needsNo pre-registration is required.",['English'],Free,True,https://www.facebook.com/csa1911,,"This program covers residents of the following cities: Riverside, CA.",33.9708788,-117.3625198,92507.0,False,11:00 AM - 12:00 PM  PST,Closed,11:00 AM - 12:00 PM  PST,Closed,Closed,Closed,Closed,,
Bright Path Center Homeless Outreach,https://www.auntbertha.com//bright-path-center--riverside-ca--support-services---homeless-outreach/5432086032154624?postal=92507,"['food pantry', 'help find housing', 'clothing', 'personal hygiene', 'navigating the system']",,"['anyone in need', 'all ages', 'unemployed', 'individuals', 'families', 'homeless', 'near homeless', 'low-income']",951-682-0088,https://brightpathcenter.org/homeless-outreach/,"4505 Allstate Drive, Riverside, CA 92501","https://www.google.com/maps/?q=4505+Allstate+Drive,+Riverside,+CA+92501/",['This program serves anyone in need.'],available,"Bright Path Center provides support services to anyone in need within the Inland Empire who need basic necessities like food, clothing, and housing. This program provides:- Food pantry- Clothing - Personal hygiene items- Referrals- Help find housing",['English'],Free,False,https://www.facebook.com/brightPathNPO?mibextid=LQQJ4d,,"This program covers residents of the following counties: Riverside County, CA and San Bernardino County, CA.",34.0035875,-117.3754911,92501.0,False,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,Closed,2:00 PM - 5:00 PM  PST,,
Riverside Spanish SDA Church Food Pantry,https://www.auntbertha.com//iglesia-adventista-de-riverside--riverside-ca--food-pantry/4607062925508608?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families', 'limited english']",,https://riversidespanishca.adventistchurch.org/,"3625 Ottawa Avenue, Riverside, CA 92507","https://www.google.com/maps/?q=3625+Ottawa+Avenue,+Riverside,+CA+92507/",['Anyone can access this program.'],available,Iglesia Adventista de Riverside offers quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families.This program provides:- Food to meet nutritional needsFood is distributed on the 3rd Friday of each month. Feel free to call for more information.,"['English', 'Spanish']",Free,True,https://www.facebook.com/iglesiaottawa,,"This program covers residents of the following cities: Riverside, CA.",33.9772907,-117.3532468,92507.0,False,Closed,Closed,Closed,Closed,9:00 AM - 11:00 AM  PST,Closed,Closed,,
MT. Rubidoux Free Food Pantry,https://www.auntbertha.com//mt.-rubidoux-seventh-day-adventist-church--riverside-ca--community-food-pantry/4988213742665728?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",800-242-6908,https://www.mtrubidouxsda.org/events/community-food-pantry,"5320 Victoria Avenue, Riverside, CA 92506","https://www.google.com/maps/?q=5320+Victoria+Avenue,+Riverside,+CA+92506/",['Anyone can access these services.'],available,"Mt. Rubidoux Seventh-Day Adventist offers a community food pantry which provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsThe food pantry serves on a first-come, first-served basis.",['English'],Free,False,https://www.facebook.com/mtrubidoux,,"This program covers residents of the following cities: Riverside, CA.",33.9550431,-117.3692677,92506.0,False,Closed,10:00 AM - 12:00 PM,Closed,Closed,Closed,Closed,Closed,,
All Saint's Episcopal Church Food Distribution,https://www.auntbertha.com//all-saints%2527-episcopal-church---riverside--riverside-ca--food-share/5312726231547904?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",951-683-8466,https://www.allsaintsriverside.org/ministries/,"3847 Terracina Drive, Riverside, CA 92506","https://www.google.com/maps/?q=3847+Terracina+Drive,+Riverside,+CA+92506/",['Anyone can access this program.'],available,All Saints' Food Share provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsFood is distributed in the church parking lot on Thursdays at 10am.,['English'],Free,True,https://www.facebook.com/riversideallsaints/,,"This program covers residents of the following cities: Riverside, CA.",33.972863,-117.38446,92506.0,False,Closed,Closed,Closed,10:00 AM - 11:00 AM,Closed,Closed,Closed,,
Starting Over Inc. Food For Life,https://www.auntbertha.com//starting-over%252C-inc.--riverside-ca--food-for-life/6582199732535296?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families', 'limited english']",951-898-0862,https://www.startingoverinc.org/food-for-life,"6355 Riverside Avenue, Riverside, CA 92506","https://www.google.com/maps/?q=6355+Riverside+Avenue,+Riverside,+CA+92506/",['Anyone in need can access this program.'],available,"Food For Life provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families.This program provides:- Food to meet basic nutritional needsFresh groceries are available bimonthly, on every second and fourth Saturday of the month from 8:00 a.m. to 12:00 p.m. Bags are provided.","['English', 'Spanish']",Free,True,https://www.facebook.com/startingoverinc,https://www.twitter.com/@SOI__CA,"This program covers residents of the following cities: Riverside, CA.",33.9520578,-117.3885994,92506.0,False,Closed,Closed,Closed,Closed,Closed,8:00 AM - 12:00 PM  PST,Closed,,
