name,location_link,rating,review_id,author_id,review_text,review_rating
"Renewing Hope Family Counseling Center, Inc.","https://www.google.com/maps/place/Renewing+Hope+Family+Counseling+Center%2C+Inc./@33.994165699999996,-117.3503271,14z/data=!4m8!1m2!2m1!1sRenewing+Hope+Family+Counseling+Center%2C+Inc.!3m4!1s0x80dcafd1164ebf5d:0x7916bddf003d1c2d!8m2!3d33.994165699999996!4d-117.3503271",3.8,ChZDSUhNMG9nS0VJQ0FnSUN2M2JpOGVREAE,111995750686816089893,My therapist was more than amazing because she did pay attention to everything I said and she also gave me advice for my own personal mental health 🙏💕,5
"Renewing Hope Family Counseling Center, Inc.","https://www.google.com/maps/place/Renewing+Hope+Family+Counseling+Center%2C+Inc./@33.994165699999996,-117.3503271,14z/data=!4m8!1m2!2m1!1sRenewing+Hope+Family+Counseling+Center%2C+Inc.!3m4!1s0x80dcafd1164ebf5d:0x7916bddf003d1c2d!8m2!3d33.994165699999996!4d-117.3503271",3.8,ChZDSUhNMG9nS0VJQ0FnSURiaDdxaVRBEAE,117422056126471790591,"This place has been amazing to me. The first therapist I had I liked, but something happened and I was reassigned to a new therapist. My new therapist has been amazing. Sarah S. is always on time and friendly. Always working towards my goals. This place also does telehealth which was very important to me. I don't always have a way to my appointments and to be able to be home and in my own comfortable surroundings is also a major plus.",5
"Renewing Hope Family Counseling Center, Inc.","https://www.google.com/maps/place/Renewing+Hope+Family+Counseling+Center%2C+Inc./@33.994165699999996,-117.3503271,14z/data=!4m8!1m2!2m1!1sRenewing+Hope+Family+Counseling+Center%2C+Inc.!3m4!1s0x80dcafd1164ebf5d:0x7916bddf003d1c2d!8m2!3d33.994165699999996!4d-117.3503271",3.8,ChZDSUhNMG9nS0VJQ0FnSURiaHBLdEtnEAE,112456034504678228649,,5
"Renewing Hope Family Counseling Center, Inc.","https://www.google.com/maps/place/Renewing+Hope+Family+Counseling+Center%2C+Inc./@33.994165699999996,-117.3503271,14z/data=!4m8!1m2!2m1!1sRenewing+Hope+Family+Counseling+Center%2C+Inc.!3m4!1s0x80dcafd1164ebf5d:0x7916bddf003d1c2d!8m2!3d33.994165699999996!4d-117.3503271",3.8,ChdDSUhNMG9nS0VJQ0FnSUNyd1BqWW5RRRAB,109946640125571423069,anthony shields is the sweetest therapist i’ve ever met. idk why people would ever give this place anything less than 5 stars. everyone is so kind and helpful. miss you anthony!!,5
"Renewing Hope Family Counseling Center, Inc.","https://www.google.com/maps/place/Renewing+Hope+Family+Counseling+Center%2C+Inc./@33.994165699999996,-117.3503271,14z/data=!4m8!1m2!2m1!1sRenewing+Hope+Family+Counseling+Center%2C+Inc.!3m4!1s0x80dcafd1164ebf5d:0x7916bddf003d1c2d!8m2!3d33.994165699999996!4d-117.3503271",3.8,ChZDSUhNMG9nS0VJQ0FnSURUOGFDN0ZREAE,105145423601285766963,,3
"Renewing Hope Family Counseling Center, Inc.","https://www.google.com/maps/place/Renewing+Hope+Family+Counseling+Center%2C+Inc./@33.994165699999996,-117.3503271,14z/data=!4m8!1m2!2m1!1sRenewing+Hope+Family+Counseling+Center%2C+Inc.!3m4!1s0x80dcafd1164ebf5d:0x7916bddf003d1c2d!8m2!3d33.994165699999996!4d-117.3503271",3.8,ChdDSUhNMG9nS0VJQ0FnSURUekt6X2t3RRAB,100694441558125098816,,5
"Renewing Hope Family Counseling Center, Inc.","https://www.google.com/maps/place/Renewing+Hope+Family+Counseling+Center%2C+Inc./@33.994165699999996,-117.3503271,14z/data=!4m8!1m2!2m1!1sRenewing+Hope+Family+Counseling+Center%2C+Inc.!3m4!1s0x80dcafd1164ebf5d:0x7916bddf003d1c2d!8m2!3d33.994165699999996!4d-117.3503271",3.8,ChdDSUhNMG9nS0VJQ0FnSURUdU8zb2p3RRAB,102621020671387028389,"This place is an absolute JOKE! I had called for them to send me a link to my email it took them over a week I had to call multiple times and no one ever answers .Finally they send me the link and say call back as soon as I finish to get an appointment schedule .Which I did .for a whole week I called multiple times no one answered I’ve left multiple messages. I called again today 5/21 and the girl says because it took so long for me to call they will not see my  son now!! I told her I’ve been calling and leaving voice messages every day . She says wait a week for someone to call me back with a decision?! What the hell does that even mean a “decision “ so what my sons referral is no longer valid all because these front desk people can’t return a phone call or pick up a phone !! How RIDICULOUS ,highly unprofessional ,this place is a a damn joke.Ill be taking my son else where to get help.",1
"Renewing Hope Family Counseling Center, Inc.","https://www.google.com/maps/place/Renewing+Hope+Family+Counseling+Center%2C+Inc./@33.994165699999996,-117.3503271,14z/data=!4m8!1m2!2m1!1sRenewing+Hope+Family+Counseling+Center%2C+Inc.!3m4!1s0x80dcafd1164ebf5d:0x7916bddf003d1c2d!8m2!3d33.994165699999996!4d-117.3503271",3.8,ChdDSUhNMG9nS0VJQ0FnSUQ5N0lELWd3RRAB,111971583328933270779,"Awesome environment, great people, very nice. Very many options for treatment and resources.",5
"Renewing Hope Family Counseling Center, Inc.","https://www.google.com/maps/place/Renewing+Hope+Family+Counseling+Center%2C+Inc./@33.994165699999996,-117.3503271,14z/data=!4m8!1m2!2m1!1sRenewing+Hope+Family+Counseling+Center%2C+Inc.!3m4!1s0x80dcafd1164ebf5d:0x7916bddf003d1c2d!8m2!3d33.994165699999996!4d-117.3503271",3.8,ChZDSUhNMG9nS0VJQ0FnSUNkbWZqclRBEAE,117968036309928839118,Welcoming office,5
"Renewing Hope Family Counseling Center, Inc.","https://www.google.com/maps/place/Renewing+Hope+Family+Counseling+Center%2C+Inc./@33.994165699999996,-117.3503271,14z/data=!4m8!1m2!2m1!1sRenewing+Hope+Family+Counseling+Center%2C+Inc.!3m4!1s0x80dcafd1164ebf5d:0x7916bddf003d1c2d!8m2!3d33.994165699999996!4d-117.3503271",3.8,ChZDSUhNMG9nS0VJQ0FnSUR0NF9pUFF3EAE,107771284136541886902,Renewing Hope is awful. When you call them they will place you on hold for over 20 minutes. The therapist are incompetent and all they do is repeat what you said to them as if that will help you. They provide nothing to help you cope. Your just lost with no techniques no coping skills and it's a pure waste of time and they seem to be racist all up and through the office. I would never suggest this counseling service PERIOD!!,1
