name,location_link,rating,review_id,author_id,review_text,review_rating
MFI Recovery Center Riverside Outpatient Services and Administrative Offices,"https://www.google.com/maps/place/MFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices/@33.9454846,-117.4311178,14z/data=!4m8!1m2!2m1!1sMFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices!3m4!1s0x80dcb11861899487:0x17f8eea81cf6ca95!8m2!3d33.9454846!4d-117.4311178",4.6,ChZDSUhNMG9nS0VJQ0FnSUQzanJmelFBEAE,108519545406814547691,,5
MFI Recovery Center Riverside Outpatient Services and Administrative Offices,"https://www.google.com/maps/place/MFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices/@33.9454846,-117.4311178,14z/data=!4m8!1m2!2m1!1sMFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices!3m4!1s0x80dcb11861899487:0x17f8eea81cf6ca95!8m2!3d33.9454846!4d-117.4311178",4.6,ChZDSUhNMG9nS0VJQ0FnSURubmRubGZnEAE,101284451269030816739,,5
MFI Recovery Center Riverside Outpatient Services and Administrative Offices,"https://www.google.com/maps/place/MFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices/@33.9454846,-117.4311178,14z/data=!4m8!1m2!2m1!1sMFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices!3m4!1s0x80dcb11861899487:0x17f8eea81cf6ca95!8m2!3d33.9454846!4d-117.4311178",4.6,ChdDSUhNMG9nS0VJQ0FnSUM3cm9feTBnRRAB,114563994095294010273,,5
MFI Recovery Center Riverside Outpatient Services and Administrative Offices,"https://www.google.com/maps/place/MFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices/@33.9454846,-117.4311178,14z/data=!4m8!1m2!2m1!1sMFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices!3m4!1s0x80dcb11861899487:0x17f8eea81cf6ca95!8m2!3d33.9454846!4d-117.4311178",4.6,ChdDSUhNMG9nS0VJQ0FnSURib19HRDZnRRAB,113233768324859400860,MFI has helped me get my life back. So grateful for the genuine love & support that I’ve received from everyone here,5
MFI Recovery Center Riverside Outpatient Services and Administrative Offices,"https://www.google.com/maps/place/MFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices/@33.9454846,-117.4311178,14z/data=!4m8!1m2!2m1!1sMFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices!3m4!1s0x80dcb11861899487:0x17f8eea81cf6ca95!8m2!3d33.9454846!4d-117.4311178",4.6,ChZDSUhNMG9nS0VJQ0FnSURkMnRQZ1N3EAE,103590973392144324492,This is a great facility. There's people that actually care and are there to help you. food is good  and The classes are supportive and full of information to grasp on. Zoey is  the best group facilitator there and she's extremely helpful. I recomend this place to anyone who wants to recover and change their life for the better,5
MFI Recovery Center Riverside Outpatient Services and Administrative Offices,"https://www.google.com/maps/place/MFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices/@33.9454846,-117.4311178,14z/data=!4m8!1m2!2m1!1sMFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices!3m4!1s0x80dcb11861899487:0x17f8eea81cf6ca95!8m2!3d33.9454846!4d-117.4311178",4.6,ChZDSUhNMG9nS0VJQ0FnSUQxazlHSEpnEAE,110511996735737323109,Might as well be the DMV!,2
MFI Recovery Center Riverside Outpatient Services and Administrative Offices,"https://www.google.com/maps/place/MFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices/@33.9454846,-117.4311178,14z/data=!4m8!1m2!2m1!1sMFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices!3m4!1s0x80dcb11861899487:0x17f8eea81cf6ca95!8m2!3d33.9454846!4d-117.4311178",4.6,ChZDSUhNMG9nS0VJQ0FnSUNSbWNPSGNBEAE,118226331116271180036,Dr. Patel is the BEST,5
MFI Recovery Center Riverside Outpatient Services and Administrative Offices,"https://www.google.com/maps/place/MFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices/@33.9454846,-117.4311178,14z/data=!4m8!1m2!2m1!1sMFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices!3m4!1s0x80dcb11861899487:0x17f8eea81cf6ca95!8m2!3d33.9454846!4d-117.4311178",4.6,ChZDSUhNMG9nS0VJQ0FnSUQtcHMtY2FREAE,114268628512855238920,Best place it helped me out a lot and Dr.Patel is the best been seeing him since 2018 and Karen his lovely assistant is such a sweet hard working lady,5
MFI Recovery Center Riverside Outpatient Services and Administrative Offices,"https://www.google.com/maps/place/MFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices/@33.9454846,-117.4311178,14z/data=!4m8!1m2!2m1!1sMFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices!3m4!1s0x80dcb11861899487:0x17f8eea81cf6ca95!8m2!3d33.9454846!4d-117.4311178",4.6,ChZDSUhNMG9nS0VJQ0FnSUR1NWFTNFB3EAE,109320936167065194115,"They are bery unprofessional and apparently being late for staff is completely normal and if you question them about it watch out youll get reprimanded like a child while they take no accountability for the fact that being late is being late. The employee went as far as saying they have 10 mins grace period, mind you tgis group is daycare and if she is late so am I.... I was under the impression 10 mins grace was for clients not employees. And considering a grace period stands for once in a blue moon not every 3 days in a row like i had experienced. clients are expected to be on time and so are employees.was justifying being tardy to group. i felt so personally hurt. And untrusting for my kids being there even if it is only a half hour. If your looking for honest recover withwith reliable professional staff that respect your time and sensitive situation dont put yourself threw dealing with them. They are taking advantage of people who need help gaslighting them to cover up there own mistakes. Do better mfi. Its really sad the levels of incompetence i experienced in the few days i came here. Im my two years of soder time IV never been so frustrated. I will be filing an incident report with my insurance. Go to ivrs inland valley recovery. They run a tight program that sets you up for success outpaint and in patent .and don't ever take less care than you deserve.",1
MFI Recovery Center Riverside Outpatient Services and Administrative Offices,"https://www.google.com/maps/place/MFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices/@33.9454846,-117.4311178,14z/data=!4m8!1m2!2m1!1sMFI+Recovery+Center+Riverside+Outpatient+Services+and+Administrative+Offices!3m4!1s0x80dcb11861899487:0x17f8eea81cf6ca95!8m2!3d33.9454846!4d-117.4311178",4.6,ChdDSUhNMG9nS0VJQ0FnSUN1Z1lYSjVnRRAB,101040347946902280752,This place is amazing. I finished  the whole program. Inand out patient.  It will work if you want it,5
