name,location_link,rating,review_id,author_id,review_text,review_rating
Solid Ground Wellness Treatment - Alcohol & Drug Rehab Riverside CA,"https://www.google.com/maps/place/Solid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA/@33.9490793,-117.3963029,14z/data=!4m8!1m2!2m1!1sSolid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA!3m4!1s0x80dcb1b27d1aaaab:0xf5f9b86cfc7cae88!8m2!3d33.9490793!4d-117.3963029",5.0,ChdDSUhNMG9nS0VJQ0FnSURfMExiaHRRRRAB,112034873950786852338,Awesome place 😃 highly recommend for sure,5
Solid Ground Wellness Treatment - Alcohol & Drug Rehab Riverside CA,"https://www.google.com/maps/place/Solid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA/@33.9490793,-117.3963029,14z/data=!4m8!1m2!2m1!1sSolid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA!3m4!1s0x80dcb1b27d1aaaab:0xf5f9b86cfc7cae88!8m2!3d33.9490793!4d-117.3963029",5.0,ChZDSUhNMG9nS0VJQ0FnSURQN1pYSU1REAE,113543941632755332830,This place has kept me clean and saved my life,5
Solid Ground Wellness Treatment - Alcohol & Drug Rehab Riverside CA,"https://www.google.com/maps/place/Solid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA/@33.9490793,-117.3963029,14z/data=!4m8!1m2!2m1!1sSolid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA!3m4!1s0x80dcb1b27d1aaaab:0xf5f9b86cfc7cae88!8m2!3d33.9490793!4d-117.3963029",5.0,ChdDSUhNMG9nS0VJQ0FnSURuaGNHdnZRRRAB,106177549178630669985,Solid Ground wellness has been a huge factor since I started my recovery journey the leaves they have helped me grow in all areas of my life have been major changes for me. The time the staff puts in is amazing the love they give to all of there clients is a incredible blessing it’s no wonder my counselor at recovery happens got Counselor of the year kaiulani Moose such a blessing for the world of recovery I hope to see more solid ground wellness treatment centers open up across the United States. I can’t express how much this place is a true blessing for the clients it’s a positive happy peaceful environment that they treat all in all I love this place and forever grateful it’s here solid ground wellness treatment true blessing to the world of recovery,5
Solid Ground Wellness Treatment - Alcohol & Drug Rehab Riverside CA,"https://www.google.com/maps/place/Solid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA/@33.9490793,-117.3963029,14z/data=!4m8!1m2!2m1!1sSolid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA!3m4!1s0x80dcb1b27d1aaaab:0xf5f9b86cfc7cae88!8m2!3d33.9490793!4d-117.3963029",5.0,ChdDSUhNMG9nS0VJQ0FnSURubktmSWtBRRAB,108173804190309932242,,5
Solid Ground Wellness Treatment - Alcohol & Drug Rehab Riverside CA,"https://www.google.com/maps/place/Solid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA/@33.9490793,-117.3963029,14z/data=!4m8!1m2!2m1!1sSolid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA!3m4!1s0x80dcb1b27d1aaaab:0xf5f9b86cfc7cae88!8m2!3d33.9490793!4d-117.3963029",5.0,ChdDSUhNMG9nS0VJQ0FnSUNUNlAtN3BnRRAB,107330525642907358175,"Safe, discreet and professional",5
Solid Ground Wellness Treatment - Alcohol & Drug Rehab Riverside CA,"https://www.google.com/maps/place/Solid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA/@33.9490793,-117.3963029,14z/data=!4m8!1m2!2m1!1sSolid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA!3m4!1s0x80dcb1b27d1aaaab:0xf5f9b86cfc7cae88!8m2!3d33.9490793!4d-117.3963029",5.0,ChZDSUhNMG9nS0VJQ0FnSUROLWY2OFNBEAE,114584138446738636252,Very friendly and welcoming 🙏,5
Solid Ground Wellness Treatment - Alcohol & Drug Rehab Riverside CA,"https://www.google.com/maps/place/Solid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA/@33.9490793,-117.3963029,14z/data=!4m8!1m2!2m1!1sSolid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA!3m4!1s0x80dcb1b27d1aaaab:0xf5f9b86cfc7cae88!8m2!3d33.9490793!4d-117.3963029",5.0,ChZDSUhNMG9nS0VJQ0FnSUNocGZXM1pREAE,109019055325809307229,Great place with amazing people kind caring they make it so easy to get the help you need they really care about you you are not a number there but a person who they wanna help love this place thank you all that work there.,5
Solid Ground Wellness Treatment - Alcohol & Drug Rehab Riverside CA,"https://www.google.com/maps/place/Solid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA/@33.9490793,-117.3963029,14z/data=!4m8!1m2!2m1!1sSolid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA!3m4!1s0x80dcb1b27d1aaaab:0xf5f9b86cfc7cae88!8m2!3d33.9490793!4d-117.3963029",5.0,ChZDSUhNMG9nS0VJQ0FnSUNoaXBXSllREAE,102957620096278734806,"Solid Ground made my son and I  Feel welcome. No  Judgment. They knew how to get my son to open up Then change his ways,  If you ever need help I highly recommend Solid ground. Thank you for all your help,Gloria",5
Solid Ground Wellness Treatment - Alcohol & Drug Rehab Riverside CA,"https://www.google.com/maps/place/Solid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA/@33.9490793,-117.3963029,14z/data=!4m8!1m2!2m1!1sSolid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA!3m4!1s0x80dcb1b27d1aaaab:0xf5f9b86cfc7cae88!8m2!3d33.9490793!4d-117.3963029",5.0,ChdDSUhNMG9nS0VJQ0FnSUNPc2NpMDlnRRAB,100904248197243082612,,5
Solid Ground Wellness Treatment - Alcohol & Drug Rehab Riverside CA,"https://www.google.com/maps/place/Solid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA/@33.9490793,-117.3963029,14z/data=!4m8!1m2!2m1!1sSolid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA!3m4!1s0x80dcb1b27d1aaaab:0xf5f9b86cfc7cae88!8m2!3d33.9490793!4d-117.3963029",5.0,ChZDSUhNMG9nS0VJQ0FnSUNxMy1XU1ZBEAE,111034764198497298550,The best with customer care and helped my fiancé in her recovery and made sure she was treated properly and with the up most care😊 Thank you so much for your kindness and faith!,5
Solid Ground Wellness Treatment - Alcohol & Drug Rehab Riverside CA,"https://www.google.com/maps/place/Solid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA/@33.9490793,-117.3963029,14z/data=!4m8!1m2!2m1!1sSolid+Ground+Wellness+Treatment+-+Alcohol+%26+Drug+Rehab+Riverside+CA!3m4!1s0x80dcb1b27d1aaaab:0xf5f9b86cfc7cae88!8m2!3d33.9490793!4d-117.3963029",5.0,ChZDSUhNMG9nS0VJQ0FnSUNxa05idmV3EAE,100005093214729710137,This program made it possibly for me to be with my kids again. I can’t thank them enough especially Lisa Molina. She is such an amazing person who genuinely cares and she gave me an opportunity to fight CPS and win my kids back. Coming to Solid Ground was by far the best decision I have made for my sobriety and my family.,5
