name,location_link,rating,review_id,author_id,review_text,review_rating
Path of Life Ministries Community Shelter,"https://www.google.com/maps/place/Path+of+Life+Ministries+Community+Shelter/@33.987182499999996,-117.3534851,14z/data=!4m8!1m2!2m1!1sPath+of+Life+Ministries+Community+Shelter!3m4!1s0x80dcae1b2e1b68bf:0x1556ba56d0df3ee0!8m2!3d33.987182499999996!4d-117.3534851",3.7,ChZDSUhNMG9nS0VJQ0FnSUN2LTdMdFZBEAE,107435056104916115700,They don’t care enough to answer the phone or call you back! That says a lot!,1
Path of Life Ministries Community Shelter,"https://www.google.com/maps/place/Path+of+Life+Ministries+Community+Shelter/@33.987182499999996,-117.3534851,14z/data=!4m8!1m2!2m1!1sPath+of+Life+Ministries+Community+Shelter!3m4!1s0x80dcae1b2e1b68bf:0x1556ba56d0df3ee0!8m2!3d33.987182499999996!4d-117.3534851",3.7,ChZDSUhNMG9nS0VJQ0FnSUNQaW9hdklREAE,105243613047353047076,"A sincere, self sacrificing, loving, caring, and professional staff.",5
Path of Life Ministries Community Shelter,"https://www.google.com/maps/place/Path+of+Life+Ministries+Community+Shelter/@33.987182499999996,-117.3534851,14z/data=!4m8!1m2!2m1!1sPath+of+Life+Ministries+Community+Shelter!3m4!1s0x80dcae1b2e1b68bf:0x1556ba56d0df3ee0!8m2!3d33.987182499999996!4d-117.3534851",3.7,ChZDSUhNMG9nS0VJQ0FnSUNId3BYM0VREAE,101833336911509914491,,5
Path of Life Ministries Community Shelter,"https://www.google.com/maps/place/Path+of+Life+Ministries+Community+Shelter/@33.987182499999996,-117.3534851,14z/data=!4m8!1m2!2m1!1sPath+of+Life+Ministries+Community+Shelter!3m4!1s0x80dcae1b2e1b68bf:0x1556ba56d0df3ee0!8m2!3d33.987182499999996!4d-117.3534851",3.7,ChZDSUhNMG9nS0VJQ0FnSURyNE43VkhREAE,116823784963197024724,Even though I got band it helped ne out,5
Path of Life Ministries Community Shelter,"https://www.google.com/maps/place/Path+of+Life+Ministries+Community+Shelter/@33.987182499999996,-117.3534851,14z/data=!4m8!1m2!2m1!1sPath+of+Life+Ministries+Community+Shelter!3m4!1s0x80dcae1b2e1b68bf:0x1556ba56d0df3ee0!8m2!3d33.987182499999996!4d-117.3534851",3.7,ChdDSUhNMG9nS0VJQ0FnSURMOExEaGpnRRAB,117798442242180145774,,5
Path of Life Ministries Community Shelter,"https://www.google.com/maps/place/Path+of+Life+Ministries+Community+Shelter/@33.987182499999996,-117.3534851,14z/data=!4m8!1m2!2m1!1sPath+of+Life+Ministries+Community+Shelter!3m4!1s0x80dcae1b2e1b68bf:0x1556ba56d0df3ee0!8m2!3d33.987182499999996!4d-117.3534851",3.7,ChZDSUhNMG9nS0VJQ0FnSUNMdGNTbllBEAE,115483225228716547661,They said I need a referral to get in & get a bed.,1
Path of Life Ministries Community Shelter,"https://www.google.com/maps/place/Path+of+Life+Ministries+Community+Shelter/@33.987182499999996,-117.3534851,14z/data=!4m8!1m2!2m1!1sPath+of+Life+Ministries+Community+Shelter!3m4!1s0x80dcae1b2e1b68bf:0x1556ba56d0df3ee0!8m2!3d33.987182499999996!4d-117.3534851",3.7,ChdDSUhNMG9nS0VJQ0FnSUM5aE83bGpBRRAB,105985627906426128612,,1
Path of Life Ministries Community Shelter,"https://www.google.com/maps/place/Path+of+Life+Ministries+Community+Shelter/@33.987182499999996,-117.3534851,14z/data=!4m8!1m2!2m1!1sPath+of+Life+Ministries+Community+Shelter!3m4!1s0x80dcae1b2e1b68bf:0x1556ba56d0df3ee0!8m2!3d33.987182499999996!4d-117.3534851",3.7,ChdDSUhNMG9nS0VJQ0FnSUROeHR5a2tRRRAB,109760472241782677437,"I stayed there for 100 days. Took advantage of the time there finished school and got a job. I was given no assistance with housing. My property was stolen for me made a report there was nothing done about. People using drugs on the property, fighting, etc. It was like a mini skid row.",1
Path of Life Ministries Community Shelter,"https://www.google.com/maps/place/Path+of+Life+Ministries+Community+Shelter/@33.987182499999996,-117.3534851,14z/data=!4m8!1m2!2m1!1sPath+of+Life+Ministries+Community+Shelter!3m4!1s0x80dcae1b2e1b68bf:0x1556ba56d0df3ee0!8m2!3d33.987182499999996!4d-117.3534851",3.7,ChdDSUhNMG9nS0VJQ0FnSUROc29QaTl3RRAB,109805182746756421111,I have never know about these kind of places. Before if it wasn't for the kind  support from the Path of Life social workers. Who have made it easier for people like me to find help when out on the streets. To find that they're are others who work everyday to find solutions. In everyday situation with the friendly hospitality that they have done. With all who have found the kind conversation that the misfortunate have come to have. Thank you again for all you have done for us.,5
Path of Life Ministries Community Shelter,"https://www.google.com/maps/place/Path+of+Life+Ministries+Community+Shelter/@33.987182499999996,-117.3534851,14z/data=!4m8!1m2!2m1!1sPath+of+Life+Ministries+Community+Shelter!3m4!1s0x80dcae1b2e1b68bf:0x1556ba56d0df3ee0!8m2!3d33.987182499999996!4d-117.3534851",3.7,ChdDSUhNMG9nS0VJQ0FnSURBNEtyTDF3RRAB,108697535270701261154,"Located on devil's boulevard.
Path. Of. lies",5
