Subject,Relationship,Object
Food Pantry (Elevate Life Church),main_services_are,['food pantry']
Food Pantry (Elevate Life Church),website_is,https://elevatechurch.tv/food-distribution
Food Pantry (Elevate Life Church),is_located_at,"4017 Trailcreek Road, Riverside, CA 92505"
Food Pantry (Elevate Life Church),url_is_located_at,"https://www.google.com/maps/?q=4017+Trailcreek+Road,+Riverside,+CA+92505/"
Food Pantry (Elevate Life Church),has_an_availability_status_of,available
Food Pantry (Elevate Life Church),description_is,Elevate Life Church provides a community Food Pantry. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs
Food Pantry (Elevate Life Church),speaks,['English']
Food Pantry (Elevate Life Church),costs,Free
Food Pantry (Elevate Life Church),has_Google_Reviews,False
Food Pantry (Elevate Life Church),covers,"This program covers residents of the following cities: Riverside, CA."
Food Pantry (Elevate Life Church),zipcode_is,92505.0
Food Pantry (Elevate Life Church),24hours_status_is,False
Food Pantry (Elevate Life Church),has_a_Google_Rating_of,0
Food Pantry (Elevate Life Church),offers,Food
Food Pantry (Elevate Life Church),serves,"['anyone in need', 'all ages', 'individuals', 'families'], []"
Food Pantry (Elevate Life Church),socials_are,https://www.facebook.com/elevatelifechurchriverside/
Food Pantry (Elevate Life Church),coordinates_are,"33.899581, -117.491768"
Food Pantry (Elevate Life Church),is_open_from,"Closed, 12:00PM - 2:00PM, Closed, Closed, 12:00PM - 2:00PM, Closed, Closed"
Food Bank (Lake Hills Christian Center),main_services_are,['food pantry']
Food Bank (Lake Hills Christian Center),phone_number_is,951-737-6680
Food Bank (Lake Hills Christian Center),website_is,https://www.lhccr.com/copy-of-worship-team
Food Bank (Lake Hills Christian Center),is_located_at,"12500 Indiana Avenue, Riverside, CA 92503"
Food Bank (Lake Hills Christian Center),url_is_located_at,"https://www.google.com/maps/?q=12500+Indiana+Avenue,+Riverside,+CA+92503/"
Food Bank (Lake Hills Christian Center),has_an_availability_status_of,available
Food Bank (Lake Hills Christian Center),description_is,LHCC's Food Bank provides individuals with box of food for pick up. Individuals receive enough food to last almost an entire week.This program provides: - Food to meet nutritional needsParticipants must have a vehicle or cart to put your box and bags in. The Food Bank follows a first come first serve policy so please make sure to drive early.
Food Bank (Lake Hills Christian Center),speaks,['English']
Food Bank (Lake Hills Christian Center),costs,Free
Food Bank (Lake Hills Christian Center),has_Google_Reviews,True
Food Bank (Lake Hills Christian Center),covers,"This program covers residents of the following cities: Riverside, CA."
Food Bank (Lake Hills Christian Center),zipcode_is,92503.0
Food Bank (Lake Hills Christian Center),24hours_status_is,False
Food Bank (Lake Hills Christian Center),has_a_Google_Rating_of,4.9
Food Bank (Lake Hills Christian Center),offers,Food
