Subject,Relationship,Object
National Perinatal Hotline (PPD MOMS),main_services_are,"['mental health care', 'help hotlines']"
National Perinatal Hotline (PPD MOMS),phone_number_is,833-852-6262
National Perinatal Hotline (PPD MOMS),has_an_availability_status_of,available
National Perinatal Hotline (PPD MOMS),description_is,This program provides a crisis postpartum depression hotline for mothers feeling stressed and burdened after pregnancy or loss of a child. Operated by peer volunteers.Services:- Postpartum support line
National Perinatal Hotline (PPD MOMS),speaks,['English']
National Perinatal Hotline (PPD MOMS),costs,Free
National Perinatal Hotline (PPD MOMS),has_Google_Reviews,False
National Perinatal Hotline (PPD MOMS),covers,This program covers residents of the following states: CA.
National Perinatal Hotline (PPD MOMS),24hours_status_is,False
National Perinatal Hotline (PPD MOMS),has_a_Google_Rating_of,0
National Perinatal Hotline (PPD MOMS),offers,Hotline
National Perinatal Hotline (PPD MOMS),serves,"['adults', 'young adults', 'teens', 'female', 'mothers', 'in crisis', 'depression', 'all mental health'], ['No eligibility requirements.', 'No documents required.']"
National Perinatal Hotline (PPD MOMS),is_open_from,"8:00AM - 5:00PM, 8:00AM - 5:00PM, 8:00AM - 5:00PM, 8:00AM - 5:00PM, 8:00AM - 5:00PM, Closed, Closed"
Online Support Group (Mommies Enduring Neonatal Death),main_services_are,"['bereavement', 'peer support', 'support groups', 'virtual support']"
Online Support Group (Mommies Enduring Neonatal Death),website_is,https://www.mend.org/nationwide-online-support-group
Online Support Group (Mommies Enduring Neonatal Death),has_an_availability_status_of,available
Online Support Group (Mommies Enduring Neonatal Death),description_is,"The M.E.N.D. Online Nationwide Support Group serves families who do not live near a physical chapter or for those who want to connect between in-person groups. Online groups provide a place for families to connect, share their unique story of loss, and learn to live life without your precious baby.Services provide include:- Online support groupThe online group meets from the comfort of your home through the online platform ZOOM.com on the third Thursday of each month. The facilitator will share login information prior to that month's meeting. If you're joining us for the first time in the online group, please complete a quick questionnaire so we can get to know you."
Online Support Group (Mommies Enduring Neonatal Death),speaks,['English']
Online Support Group (Mommies Enduring Neonatal Death),costs,Free
Online Support Group (Mommies Enduring Neonatal Death),has_Google_Reviews,False
Online Support Group (Mommies Enduring Neonatal Death),covers,This program covers residents of All US states and territories.
Online Support Group (Mommies Enduring Neonatal Death),24hours_status_is,False
Online Support Group (Mommies Enduring Neonatal Death),has_a_Google_Rating_of,0
Online Support Group (Mommies Enduring Neonatal Death),offers,Online Support Group
Online Support Group (Mommies Enduring Neonatal Death),serves,"['adults 18+', 'grieving', 'individuals', 'caregivers', 'fathers', 'mothers', 'parents'], []"
Online Support Group (Mommies Enduring Neonatal Death),socials_are,https://www.facebook.com/MENDInfantLoss/
Online Support Group (Mommies Enduring Neonatal Death),is_open_from,"Closed, Closed, Closed, 10:00PM - 12:00PM, Closed, Closed, Closed"
Online Support Groups (Pregnancy After Loss Support),main_services_are,"['bereavement', 'peer support', 'support groups', 'virtual support']"
Online Support Groups (Pregnancy After Loss Support),website_is,https://pregnancyafterlosssupport.org/get-support/pals-private-groups/
Online Support Groups (Pregnancy After Loss Support),has_an_availability_status_of,available
Online Support Groups (Pregnancy After Loss Support),description_is,"Pregnancy After Loss Support moderates online support groups on Facebook. These groups encourage peer-to-peer support during the all stages of pregnancy after loss, including trying to conceive, pregnancy, and parenting after loss.This program provides:- Online peer support groupsGroups include:- Pregnancy after loss support group- Trying to conceive after loss support group- Parenting after loss support group- Pregnancy after loss support group for dads- Pregnancy after first trimester loss- Pregnancy after second trimester loss- Pregnancy after third trimester loss- Pregnancy after infant and child death- Pregnancy after TFMR support group- Pregnancy after loss with no living children- Pregnancy after loss of a multiple- Pregnancy after loss family support group - grandparents, parents, and friends- Pregnancy after infertility and loss- New bereaved PALS understands that there are also unique situations that could use extra support, so there are also groups for specific situations, including trimester of loss, no living children, termination for medical reasons, and infertility. PALS also moderate a group for dads and one for grandparents, family, and friends.The Facebook online support groups are closed groups. This means that only people who are members in the groups can see what post or comment. People on the friend’s list may be able to see that they have joined the groups, though, either through the profile or through group recommendations from Facebook. Unfortunately, PALS has no control over those settings.To join a group, visit the Facebook page and select Groups, then select the group they would like to join."
Online Support Groups (Pregnancy After Loss Support),speaks,['English']
Online Support Groups (Pregnancy After Loss Support),costs,Free
Online Support Groups (Pregnancy After Loss Support),has_Google_Reviews,False
Online Support Groups (Pregnancy After Loss Support),covers,This program covers residents of All US states and territories.
Online Support Groups (Pregnancy After Loss Support),24hours_status_is,True
Online Support Groups (Pregnancy After Loss Support),has_a_Google_Rating_of,0
Online Support Groups (Pregnancy After Loss Support),offers,Online Support Group
Online Support Groups (Pregnancy After Loss Support),serves,"['adults', 'young adults', 'teens', 'seniors', 'grieving', 'female', 'pregnant', 'fathers', 'mothers', 'parents'], ['This program serves parents in all stages of pregnancy after loss.']"
Online Support Groups (Pregnancy After Loss Support),socials_are,https://www.facebook.com/pregnancyafterlosssupport/
Support Groups (Return to Zero: HOPE),main_services_are,"['bereavement', 'peer support', 'virtual support']"
Support Groups (Return to Zero: HOPE),website_is,https://rtzhope.org/register
Support Groups (Return to Zero: HOPE),has_an_availability_status_of,available
Support Groups (Return to Zero: HOPE),description_is,"RTZ HOPE provides compassionate and holistic support for people who have experienced unimaginable loss during their journey to parenthood.This program provides:- Online peer support communityJoin the online community of bereaved parents, visit the website to go to the Facebook page.No one will be turned away for lack of funds. Contact [email protected] to discuss funding options. Check website for details on time."
Support Groups (Return to Zero: HOPE),speaks,['English']
Support Groups (Return to Zero: HOPE),costs,Reduced Cost
Support Groups (Return to Zero: HOPE),has_Google_Reviews,False
Support Groups (Return to Zero: HOPE),covers,This program covers residents of All US states and territories.
Support Groups (Return to Zero: HOPE),24hours_status_is,False
Support Groups (Return to Zero: HOPE),has_a_Google_Rating_of,0
Support Groups (Return to Zero: HOPE),offers,Online Support Group
Support Groups (Return to Zero: HOPE),serves,"['adults', 'young adults', 'teens', 'seniors', 'grieving', 'pregnant', 'families', 'with children', 'parents'], []"
Support Groups (Return to Zero: HOPE),socials_are,"https://www.facebook.com/rtzhope/, https://www.twitter.com/@RTZHope"
Support Groups (Return to Zero: HOPE),is_open_from,We are unsure when they are open
Therapy Services (Dr. Bergin Family Counseling Services),main_services_are,"['counseling', 'specialized therapy', 'group therapy', 'individual counseling']"
Therapy Services (Dr. Bergin Family Counseling Services),phone_number_is,951-684-6684
Therapy Services (Dr. Bergin Family Counseling Services),website_is,https://drbergin.net/therapy-services/
Therapy Services (Dr. Bergin Family Counseling Services),is_located_at,"6800 Indiana Avenue #150, Riverside, CA 92504"
Therapy Services (Dr. Bergin Family Counseling Services),url_is_located_at,"https://www.google.com/maps/?q=6800+Indiana+Avenue,+Riverside,+CA+92504/"
Therapy Services (Dr. Bergin Family Counseling Services),has_an_availability_status_of,available
Therapy Services (Dr. Bergin Family Counseling Services),description_is,"Therapy Services help people learn how to deal more effectively with situations in their lives such as depression, addiction and substance abuse, stress, problems with self- esteem, grief, issues related to mental and emotional health, and relational problems.Therapy services offered:- Therapy for Adults- Therapy for Children- Therapy for Couples- Therapy for Families- Equine Assist Therapy- Animal Assist Therapy- Sand Tray Therapy- Play Therapy- Trauma / Attachment (EMDR)Experienced associates who work under supervision that are able to see clients on a cash paying bases for $50 a session."
Therapy Services (Dr. Bergin Family Counseling Services),speaks,['English']
Therapy Services (Dr. Bergin Family Counseling Services),costs,Reduced Cost
Therapy Services (Dr. Bergin Family Counseling Services),has_Google_Reviews,False
Therapy Services (Dr. Bergin Family Counseling Services),covers,"This program covers residents of the following counties: Riverside County, CA."
Therapy Services (Dr. Bergin Family Counseling Services),zipcode_is,92504.0
Therapy Services (Dr. Bergin Family Counseling Services),24hours_status_is,False
Therapy Services (Dr. Bergin Family Counseling Services),has_a_Google_Rating_of,0
Therapy Services (Dr. Bergin Family Counseling Services),offers,Therapy
Therapy Services (Dr. Bergin Family Counseling Services),serves,"['all ages', 'individuals', 'families', 'all mental health'], []"
Therapy Services (Dr. Bergin Family Counseling Services),coordinates_are,"33.9428054, -117.3915285"
Therapy Services (Dr. Bergin Family Counseling Services),is_open_from,"11:00AM - 8:00PM, 11:00AM - 8:00PM, 11:00AM - 8:00PM, 11:00AM - 8:00PM, 11:00AM - 8:00PM, Closed, Closed"
Family Support Services (California MENTOR - Riverside Intensive Outpatient Mental Health),main_services_are,"['mental health care', 'navigating the system']"
