Subject,Relationship,Object
Disaster Relief And Recovery (American Red Cross Southern California Region),main_services_are,"['disaster response', 'emergency food', 'temporary shelter', 'psychiatric emergency services', 'help find housing', 'medical care', 'mental health care', 'financial assistance', 'disaster preparedness & response']"
Disaster Relief And Recovery (American Red Cross Southern California Region),other_services_are,"['psychiatric emergency services', 'mental health care']"
Disaster Relief And Recovery (American Red Cross Southern California Region),phone_number_is,888-831-0031
Disaster Relief And Recovery (American Red Cross Southern California Region),website_is,https://www.redcross.org/local/california/southern-california.html
Disaster Relief And Recovery (American Red Cross Southern California Region),is_located_at,"6235 South Riverside Avenue, Colton, CA 92507"
Disaster Relief And Recovery (American Red Cross Southern California Region),url_is_located_at,"https://www.google.com/maps/?q=6235+South+Riverside+Avenue,+Colton,+CA+92507/"
Disaster Relief And Recovery (American Red Cross Southern California Region),has_an_availability_status_of,available
Disaster Relief And Recovery (American Red Cross Southern California Region),description_is,"The American Red Cross Disaster Relief and Recovery program provides emergency aid, advice, and assistance to help those recovering from a disaster.This program provides:- Temporary shelter/housing - Mental Health Assistance- Financial Assistance- Health Services- Disaster-related assistance"
Disaster Relief And Recovery (American Red Cross Southern California Region),speaks,"['English', 'Spanish']"
Disaster Relief And Recovery (American Red Cross Southern California Region),costs,Free
Disaster Relief And Recovery (American Red Cross Southern California Region),has_Google_Reviews,False
Disaster Relief And Recovery (American Red Cross Southern California Region),covers,"This program covers residents of the following counties: Imperial County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and San Diego County, CA."
Disaster Relief And Recovery (American Red Cross Southern California Region),zipcode_is,92507.0
Disaster Relief And Recovery (American Red Cross Southern California Region),24hours_status_is,False
Disaster Relief And Recovery (American Red Cross Southern California Region),Monday's_time_open,11:00AM - 8:00PM
Disaster Relief And Recovery (American Red Cross Southern California Region),Tuesday's_time_open,11:00AM - 8:00PM
Disaster Relief And Recovery (American Red Cross Southern California Region),Wednesday's_time_open,11:00AM - 8:00PM
Disaster Relief And Recovery (American Red Cross Southern California Region),Thursday's_time_open,11:00AM - 8:00PM
Disaster Relief And Recovery (American Red Cross Southern California Region),Friday's_time_open,11:00AM - 8:00PM
Disaster Relief And Recovery (American Red Cross Southern California Region),Saturday's_time_open,Closed
Disaster Relief And Recovery (American Red Cross Southern California Region),Sunday's_time_open,Closed
Disaster Relief And Recovery (American Red Cross Southern California Region),has_a_Google_Rating_of,0
Disaster Relief And Recovery (American Red Cross Southern California Region),offers,Shelter
Disaster Relief And Recovery (American Red Cross Southern California Region),serves,"['all ages', 'limited english', 'domestic violence survivors', 'natural disaster survivors', 'in crisis'], []"
Disaster Relief And Recovery (American Red Cross Southern California Region),socials_are,"https://www.facebook.com/redcross, https://www.twitter.com/@redcross"
Disaster Relief And Recovery (American Red Cross Southern California Region),coordinates_are,"34.0209513, -117.3635299"
Cooling Center (Ysmael Villegas Community Center),main_services_are,['weather relief']
Cooling Center (Ysmael Villegas Community Center),phone_number_is,951-351-6142
Cooling Center (Ysmael Villegas Community Center),website_is,https://www.riversideca.gov/park_rec/facilities-parks/indoor-facilities/community-centers
Cooling Center (Ysmael Villegas Community Center),is_located_at,"3091 Esperanza Street, Riverside, CA 92504"
Cooling Center (Ysmael Villegas Community Center),url_is_located_at,"https://www.google.com/maps/?q=3091+Esperanza+Street,+Riverside,+CA+92504/"
Cooling Center (Ysmael Villegas Community Center),has_an_availability_status_of,available
Cooling Center (Ysmael Villegas Community Center),description_is,The Ysmael Villegas Community Center helps residents cope safely with extreme weather conditions when the heat index is predicted to be dangerously high.This program provides:– Drop-in for temporary relief from the heatHours of operations are subject to change. Please call the Cooling Center for more information.
Cooling Center (Ysmael Villegas Community Center),speaks,['English']
Cooling Center (Ysmael Villegas Community Center),costs,Free
Cooling Center (Ysmael Villegas Community Center),has_Google_Reviews,False
Cooling Center (Ysmael Villegas Community Center),covers,"This program covers residents of the following counties: Riverside County, CA."
Cooling Center (Ysmael Villegas Community Center),zipcode_is,92504.0
Cooling Center (Ysmael Villegas Community Center),24hours_status_is,False
Cooling Center (Ysmael Villegas Community Center),Monday's_time_open,2:00PM - 8:00PM
Cooling Center (Ysmael Villegas Community Center),Tuesday's_time_open,2:00PM - 8:00PM
Cooling Center (Ysmael Villegas Community Center),Wednesday's_time_open,2:00PM - 8:00PM
Cooling Center (Ysmael Villegas Community Center),Thursday's_time_open,2:00PM - 8:00PM
Cooling Center (Ysmael Villegas Community Center),Friday's_time_open,2:00PM - 8:00PM
Cooling Center (Ysmael Villegas Community Center),Saturday's_time_open,Closed
Cooling Center (Ysmael Villegas Community Center),Sunday's_time_open,Closed
Cooling Center (Ysmael Villegas Community Center),has_a_Google_Rating_of,0
Cooling Center (Ysmael Villegas Community Center),offers,Shelter
Cooling Center (Ysmael Villegas Community Center),serves,"['anyone in need', 'all ages'], ['Anyone can access this program.']"
Cooling Center (Ysmael Villegas Community Center),socials_are,https://www.facebook.com/CityofRiverside.ParksandRecreation/
Cooling Center (Ysmael Villegas Community Center),coordinates_are,"33.9342857, -117.3973585"
Emergency Shelters (Family Promise of Riverside),main_services_are,['temporary shelter']
Emergency Shelters (Family Promise of Riverside),other_services_are,"['meals', 'help find housing', 'personal hygiene', 'case management', 'help find work']"
Emergency Shelters (Family Promise of Riverside),phone_number_is,951-266-9158
Emergency Shelters (Family Promise of Riverside),website_is,https://www.fpriverside.org/emergency-shelter
Emergency Shelters (Family Promise of Riverside),is_located_at,"7177 Potomac Street, Riverside, CA 92504"
Emergency Shelters (Family Promise of Riverside),url_is_located_at,"https://www.google.com/maps/?q=7177+Potomac+Street,+Riverside,+CA+92504/"
Emergency Shelters (Family Promise of Riverside),has_an_availability_status_of,available
Emergency Shelters (Family Promise of Riverside),description_is,Family Promise of Riverside Emergency Shelters program and warm hospitality is the foundation of the Family Promise model.This program provides:- Temporary shelterServices provided in the shelter's can include:- Case management- Food- Showers- Help find housing- Help find workShelter address' rotate. Please call for more details about current shelters.
Emergency Shelters (Family Promise of Riverside),speaks,['English']
Emergency Shelters (Family Promise of Riverside),costs,Free
Emergency Shelters (Family Promise of Riverside),has_Google_Reviews,False
Emergency Shelters (Family Promise of Riverside),covers,"This program covers residents of the following cities: Riverside, CA."
Emergency Shelters (Family Promise of Riverside),zipcode_is,92504.0
Emergency Shelters (Family Promise of Riverside),24hours_status_is,False
Emergency Shelters (Family Promise of Riverside),Monday's_time_open,12:00PM - 8:00PM
Emergency Shelters (Family Promise of Riverside),Tuesday's_time_open,12:00PM - 8:00PM
Emergency Shelters (Family Promise of Riverside),Wednesday's_time_open,12:00PM - 8:00PM
Emergency Shelters (Family Promise of Riverside),Thursday's_time_open,12:00PM - 8:00PM
Emergency Shelters (Family Promise of Riverside),Friday's_time_open,12:00PM - 8:00PM
Emergency Shelters (Family Promise of Riverside),Saturday's_time_open,12:00PM - 8:00PM
Emergency Shelters (Family Promise of Riverside),Sunday's_time_open,12:00PM - 8:00PM
Emergency Shelters (Family Promise of Riverside),has_a_Google_Rating_of,0
Emergency Shelters (Family Promise of Riverside),offers,Shelter
Emergency Shelters (Family Promise of Riverside),serves,"['all ages', 'families', 'with children', 'homeless'], ['Must care for children under the age of 18.']"
