LA County,Riverside,Irvine,Philadelphia
90001,92501,92602,19102
90002,92503,92603,19103
90003,92504,92604,19104
90004,92505,92606,19105
90005,92506,92612,19106
90006,92507,92614,19107
90007,92508,92617,19109
90008,92509,92618,19110
90010,92518,92620,19111
90011,,,19112
90012,,,19113
90013,,,19114
90014,,,19115
90015,,,19116
90016,,,19118
90017,,,19119
90018,,,19120
90019,,,19121
90020,,,19122
90021,,,19123
90022,,,19124
90023,,,19125
90024,,,19126
90025,,,19127
90026,,,19128
90027,,,19129
90028,,,19130
90029,,,19131
90031,,,19132
90032,,,19133
90033,,,19134
90034,,,19135
90035,,,19136
90036,,,19137
90037,,,19138
90038,,,19139
90039,,,19140
90040,,,19141
90041,,,19142
90042,,,19143
90043,,,19144
90044,,,19145
90045,,,19146
90046,,,19147
90047,,,19148
90048,,,19149
90049,,,19150
90056,,,19151
90057,,,19152
90058,,,19153
90059,,,19154
90061,,,
90062,,,
90063,,,
90064,,,
90065,,,
90066,,,
90067,,,
90068,,,
90069,,,
90071,,,
90077,,,
90079,,,
90094,,,
90134,,,
90201,,,
90210,,,
90211,,,
90212,,,
90220,,,
90221,,,
90222,,,
90230,,,
90232,,,
90240,,,
90241,,,
90242,,,
90245,,,
90247,,,
90248,,,
90249,,,
90250,,,
90254,,,
90255,,,
90260,,,
90262,,,
90265,,,
90266,,,
90270,,,
90272,,,
90274,,,
90275,,,
90277,,,
90278,,,
90280,,,
90290,,,
90291,,,
90292,,,
90293,,,
90301,,,
90302,,,
90303,,,
90304,,,
90305,,,
90401,,,
90402,,,
90403,,,
90404,,,
90405,,,
90501,,,
90502,,,
90503,,,
90504,,,
90505,,,
90506,,,
90601,,,
90602,,,
90603,,,
90604,,,
90605,,,
90606,,,
90623,,,
90630,,,
90631,,,
90638,,,
90640,,,
90650,,,
90660,,,
90670,,,
90701,,,
90703,,,
90706,,,
90710,,,
90712,,,
90713,,,
90715,,,
90716,,,
90717,,,
90723,,,
90731,,,
90732,,,
90744,,,
90745,,,
90746,,,
90755,,,
90802,,,
90803,,,
90804,,,
90805,,,
90806,,,
90807,,,
90808,,,
90810,,,
90813,,,
90814,,,
90815,,,
90822,,,
90831,,,
90833,,,
91001,,,
91006,,,
91007,,,
91008,,,
91010,,,
91011,,,
91016,,,
91020,,,
91024,,,
91030,,,
91040,,,
91042,,,
91101,,,
91103,,,
91104,,,
91105,,,
91106,,,
91107,,,
91108,,,
91201,,,
91202,,,
91203,,,
91204,,,
91205,,,
91206,,,
91207,,,
91208,,,
91210,,,
91214,,,
91301,,,
91302,,,
91303,,,
91304,,,
91306,,,
91307,,,
91311,,,
91316,,,
91321,,,
91324,,,
91325,,,
91326,,,
91331,,,
91335,,,
91340,,,
91342,,,
91343,,,
91344,,,
91345,,,
91350,,,
91351,,,
91352,,,
91354,,,
91355,,,
91356,,,
91361,,,
91362,,,
91364,,,
91367,,,
91381,,,
91383,,,
91384,,,
91387,,,
91390,,,
91401,,,
91402,,,
91403,,,
91405,,,
91406,,,
91411,,,
91423,,,
91436,,,
91501,,,
91502,,,
91504,,,
91505,,,
91506,,,
91601,,,
91602,,,
91604,,,
91605,,,
91606,,,
91607,,,
91608,,,
91702,,,
91706,,,
91711,,,
91722,,,
91723,,,
91724,,,
91731,,,
91732,,,
91733,,,
91740,,,
91741,,,
91744,,,
91745,,,
91746,,,
91748,,,
91750,,,
91754,,,
91755,,,
91765,,,
91766,,,
91767,,,
91768,,,
91770,,,
91773,,,
91775,,,
91776,,,
91780,,,
91789,,,
91790,,,
91791,,,
91792,,,
91801,,,
91803,,,
93243,,,
93510,,,
93532,,,
93534,,,
93535,,,
93536,,,
93543,,,
93544,,,
93550,,,
93551,,,
93552,,,
93553,,,
93560,,,
93563,,,
93591,,,
