Subject,Relationship,Object
Drop In Center (Prevention Point Philadelphia),main_services_are,"['weather relief', 'meals', 'addiction & recovery', 'medical care', 'navigating the system', 'case management', 'one-on-one support', 'advocacy & legal aid']"
Drop In Center (Prevention Point Philadelphia),phone_number_is,215-634-5272
Drop In Center (Prevention Point Philadelphia),is_located_at,"2915 Kensington Avenue, Philadelphia, PA 19134"
Drop In Center (Prevention Point Philadelphia),url_is_located_at,"https://www.google.com/maps/?q=2915+Kensington+Avenue,+Philadelphia,+PA+19134/"
Drop In Center (Prevention Point Philadelphia),has_an_availability_status_of,available
Drop In Center (Prevention Point Philadelphia),description_is,"The Drop In Center strives to be free of judgment, allowing people of all backgrounds to come in and relax. The Drop In Center is in many ways the gateway through which participants are connected to the many services provided by PPP. This program provides:- Case management- HIV/HCV testing and counseling- Mail services- Legal clinic- Medical services- CRAFT (links participants to addiction treatment)- Specialized surveys - MealsThe Drop In Center is open five days a week and provides daily respite for clients from outside weather."
Drop In Center (Prevention Point Philadelphia),speaks,"['English', 'Spanish']"
Drop In Center (Prevention Point Philadelphia),costs,Free
Drop In Center (Prevention Point Philadelphia),has_Google_Reviews,TRUE
Drop In Center (Prevention Point Philadelphia),covers,"This program covers residents of the following counties: Philadelphia County, PA."
Drop In Center (Prevention Point Philadelphia),zipcode_is,19134
Drop In Center (Prevention Point Philadelphia),24hours_status_is,FALSE
Drop In Center (Prevention Point Philadelphia),serves,"['adults 18+', 'individuals', 'families'], ['This program serves residents in Philadelphia county, PA.']"
Drop In Center (Prevention Point Philadelphia),socials_are,"https://www.facebook.com/preventionpointphiladelphia, https://www.twitter.com/@preventionpp"
Drop In Center (Prevention Point Philadelphia),coordinates_are,"39.9927854, -75.1196455"
Drop In Center (Prevention Point Philadelphia),is_open_from,"8:00AM - 5:00PM, 5:00AM - 2:00PM, 5:00AM - 2:00PM, 5:00AM - 2:00PM, 5:00AM - 2:00PM, Closed, Closed"
Overnight Services (Horizon House),main_services_are,['temporary shelter']
Overnight Services (Horizon House),other_services_are,"['meals', 'personal hygiene', 'mental health evaluation', 'one-on-one support']"
Overnight Services (Horizon House),phone_number_is,215-386-3838
Overnight Services (Horizon House),website_is,https://www.hhinc.org/homeless-services-overview/emergency-housing/
Overnight Services (Horizon House),is_located_at,"5901 Market Street, Philadelphia, PA 19136"
Overnight Services (Horizon House),url_is_located_at,"https://www.google.com/maps/?q=5901+Market+Street,+Philadelphia,+PA+19136/"
Overnight Services (Horizon House),has_an_availability_status_of,available
Overnight Services (Horizon House),description_is,"The Horizon House Navigation Center in West Philadelphia offers a variety of support services to homeless adults all year round. Here, people have a safe haven to meet their basic needs. The center is open 7 p.m. to 6 a.m. and is available on a drop-in basis.  Services include:- Temporary shelter- Food- Shower- Clean clothing- Laundry facilities- Medical and psychiatric assessments- Case managementExtended daytime hours are available two days/week for medical and psychiatric assessments and referral services. Case management services are offered to link individuals with appropriate housing, benefits, medical care and treatment services.For more information, please call at 215-386-3838, ext. 12603"
Overnight Services (Horizon House),speaks,['English']
Overnight Services (Horizon House),costs,Reduced Cost
Overnight Services (Horizon House),has_Google_Reviews,TRUE
Overnight Services (Horizon House),covers,"This program covers residents of the following counties: Philadelphia County, PA."
Overnight Services (Horizon House),zipcode_is,19136
Overnight Services (Horizon House),24hours_status_is,TRUE
Overnight Services (Horizon House),serves,"['adults 18+', 'homeless'], ['This program serves homeless individuals.']"
Overnight Services (Horizon House),socials_are,https://www.facebook.com/horizonhouseinc/?fref=ts
Overnight Services (Horizon House),coordinates_are,"39.962058, -75.2391324"
Cooling Centers (Office of Emergency Management),main_services_are,['weather relief']
Cooling Centers (Office of Emergency Management),phone_number_is,215-232-1984
Cooling Centers (Office of Emergency Management),website_is,https://www.phila.gov/services/mental-physical-health/environmental-health-hazards/extreme-weather/cooling-centers/
Cooling Centers (Office of Emergency Management),has_an_availability_status_of,available
Cooling Centers (Office of Emergency Management),description_is,"In the event of extreme heat and humidity, the City of Philadelphia opens cooling centers, which are air-conditioned spaces available for public use.This program provides:- Relief from extreme weatherVisit the website to find a cooling center located near you."
Cooling Centers (Office of Emergency Management),speaks,['English']
Cooling Centers (Office of Emergency Management),costs,Free
Cooling Centers (Office of Emergency Management),has_Google_Reviews,TRUE
Cooling Centers (Office of Emergency Management),covers,"This program covers residents of the following cities: Philadelphia, PA."
Cooling Centers (Office of Emergency Management),24hours_status_is,FALSE
Cooling Centers (Office of Emergency Management),serves,"['anyone in need', 'all ages', 'individuals', 'families', 'homeless'], ['Anyone can access this program.']"
Cooling Centers (Office of Emergency Management),socials_are,"https://www.facebook.com/cityofphiladelphia, https://www.twitter.com/@PhiladelphiaGov"
Cooling Centers (Office of Emergency Management),is_open_from,"8:00AM - 5:00PM, 8:00AM - 5:00PM, 8:00AM - 5:00PM, 8:00AM - 5:00PM, 8:00AM - 5:00PM, Closed, Closed"
Emergency Safe Havens (Women Against Abuse),main_services_are,"['temporary shelter', 'safe housing', 'short-term housing']"
Emergency Safe Havens (Women Against Abuse),other_services_are,"['immediate safety', 'meals', 'group therapy', 'individual counseling', 'after school care', 'childcare', 'navigating the system', 'one-on-one support', 'more education', 'interview training', 'resume development']"
Emergency Safe Havens (Women Against Abuse),phone_number_is,866-723-3014
Emergency Safe Havens (Women Against Abuse),website_is,https://www.womenagainstabuse.org/services/safe-havens
Emergency Safe Havens (Women Against Abuse),is_located_at,"100 South Broad Street, Suite 1341, Philadelphia, PA 19102"
Emergency Safe Havens (Women Against Abuse),has_an_availability_status_of,available
