Subject,Relationship,Object
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),main_services_are,"['residential treatment', 'medical care', 'skilled nursing', 'physical therapy', 'occupational therapy', 'speech therapy', 'specialized therapy']"
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),phone_number_is,215-951-8500
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),website_is,https://willow-terrace.com/index.php?option=com_content&view=article&layout=gk_steakhouse:one-page-wide&id=134&Itemid=1105
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),is_located_at,"1 Penn Boulevard, Philadelphia, PA 19144"
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),url_is_located_at,"https://www.google.com/maps/?q=1+Penn+Boulevard,+Philadelphia,+PA+19144/"
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),has_an_availability_status_of,available
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),description_is,"Willow Terrace Nursing Short Term Rehabilitation provides quality care in a comforting environment to those recovering from surgery, injury or serious illness. Their services accelerate healing, restore functioning, and improve the patient’s quality of life to the fullest extent possible.This program provides:- Cardiac rehabilitation - Discharge planning- IV therapy- Orthopedic rehabilitation- Physical therapy- Speech therapy- Occupational therapy- Post-surgical therapy- Respiratory therapy- Transitional care- Wound careWillow Terrace Nursing And Rehabilitation Center accepts Medicare and Public Aid."
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),speaks,['English']
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),costs,Reduced Cost
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),has_Google_Reviews,TRUE
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),covers,"This program covers residents of the following counties: Philadelphia County, PA."
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),zipcode_is,19144
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),24hours_status_is,FALSE
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),serves,"['seniors', 'physical disability', 'limited mobility', 'on-treatment', 'post-treatment', 'chronic illness', 'benefit recipients'], ['Must have Medicare or Public Aid.']"
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),socials_are,https://www.facebook.com/WillowTerrace
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),coordinates_are,"40.0396539, -75.1599192"
Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center),is_open_from,"8:00AM - 5:00PM, 8:00AM - 5:00PM, 8:00AM - 5:00PM, 8:00AM - 5:00PM, 8:00AM - 5:00PM, Closed, Closed"
Recovery Services (Rogers Behavioral Health),main_services_are,"['addiction & recovery', 'outpatient treatment', 'residential treatment', 'substance abuse counseling', 'specialized therapy', 'mental health care', 'mental health evaluation', 'support groups']"
Recovery Services (Rogers Behavioral Health),phone_number_is,800-767-4411
Recovery Services (Rogers Behavioral Health),website_is,https://rogersbh.org/what-expect/getting-started
Recovery Services (Rogers Behavioral Health),is_located_at,"1 Winding Drive, Philadelphia, PA 19131"
Recovery Services (Rogers Behavioral Health),url_is_located_at,"https://www.google.com/maps/?q=1+Winding+Drive,+Philadelphia,+PA+19131/"
