Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Food Distribution,https://www.auntbertha.com//north10%252C-philadelphia--philadelphia-pa--food-distribution/5743477776973824?postal=19131,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",267-908-9000,https://north10phl.org/health-wellness/,"3890 North 10th Street, Philadelphia, PA 19140","https://www.google.com/maps/?q=3890+North+10th+Street,+Philadelphia,+PA+19140/",['Anyone can access this program.'],available,"North10, Philadelphia's Community Market provides a food pantry consisting of quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet nutritional needsPlease call before visiting since registration may be required at times.","['English', 'Spanish']",Free,True,https://www.facebook.com/lenfest.ctr/,,"This program covers residents of the following cities: Philadelphia, PA.",40.0116671,-75.1444282,19140.0,False,Closed,10:00 AM - 2:00 PM  EST,Closed,10:00 AM - 2:00 PM  EST,Closed,Closed,Closed
Food Pantry,https://www.auntbertha.com//st.-barbara%2527s-roman-catholic-church--philadelphia-pa--food-pantry/4851628329664512?postal=19131,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",215-473-1044,https://stbarbphila.org/events/food-pantry-ph,"5359 Lebanon Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=5359+Lebanon+Avenue,+Philadelphia,+PA+19131/",['Anyone can access this program.'],available,The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,True,https://www.facebook.com/profile.php?id=100083359778002,https://www.twitter.com/@SaintBarbPhilly,"This program covers residents of the following counties: Philadelphia County, PA.",39.9878915,-75.2314511,19131.0,False,Closed,Closed,12:00 PM - 2:00 PM  EST,Closed,Closed,Closed,Closed
Resource Fair,https://www.auntbertha.com//the-simple-way--philadelphia-pa--resource-fair/5846171090944000?postal=19131,"['food pantry', 'clothing', 'navigating the system']",,"['anyone in need', 'all ages', 'individuals', 'families', 'limited english']",215-423-3598,https://thesimpleway.org/what-we-do/,"3234 Potter Street, Philadelphia, PA 19134","https://www.google.com/maps/?q=3234+Potter+Street,+Philadelphia,+PA+19134/",['Anyone can access this program.'],available,"On the third Wednesday of every month from 10 am to 12 pm, we host a resource fair in partnership with Esperanza Health Center. Located at 3222 H Street, the resource fair offers food, clothing, and other resources. Appointments are not necessary. 

In addition, we have a community refrigerator outside located around the corner from 3234 Potter Street on Westmoreland with fresh food available. 

Individuals who are interested in receiving updates on our events can text “FOOD” to 866-551-1675 for updates and the latest information about events, timing, and changes, or follow us on Facebook, Instagram, or Twitter.","['English', 'Spanish']",Free,True,https://www.facebook.com/theSimpleWay/,https://www.twitter.com/@theSimpleWay,"This program covers residents of the following counties: Philadelphia County, PA.",39.9978678,-75.11218960000001,19134.0,False,12:30 PM - 2:30 PM  EST,12:30 PM - 2:30 PM  EST,Closed,Closed,9:30 AM - 11:30 AM  EST,Closed,Closed
Food Pantry,https://www.auntbertha.com//the-salvation-army-west-philadelphia-corps-community-center--philadelphia-pa--food-pantry/5687414567993344?postal=19131,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families', 'homeless', 'near homeless', 'low-income']",215-825-4601,https://easternusa.salvationarmy.org/eastern-pennsylvania/greater-philadelphia/alleviate-hunger/,"5501 Market Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=5501+Market+Street,+Philadelphia,+PA+19139/",['Anyone can access this program.'],available,"The Salvation Army West Philadelphia Corps Community Center Food Pantry provides groceries and food for families and individuals in need.This program provides:- Food to meet basic nutritional needsFood is free, but some locations require appointments. Others are on a walk-in first come first served basis. Call your local Salvation Army office or the 2-1-1 help line to determine which food pantry serves your area.",['English'],Free,True,https://www.facebook.com/SalArmyPhilly,https://www.twitter.com/@SalArmyPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9610016,-75.2312927,19139.0,False,9:00 AM - 2:00 PM  EST,9:00 AM - 2:00 PM  EST,9:00 AM - 2:00 PM  EST,9:00 AM - 2:00 PM  EST,9:00 AM - 2:00 PM  EST,Closed,Closed
Farm to Families,https://www.auntbertha.com//st.-christopher%2527s-foundation-for-children--philadelphia-pa--farm-to-families/5397808157032448?postal=19131,['food pantry'],['nutrition education'],"['anyone in need', 'all ages', 'individuals', 'families', 'benefit recipients', 'low-income']",484-734-0189,https://scfchildren.org/farm-to-families-initiative/,"4865 Market Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=4865+Market+Street,+Philadelphia,+PA+19139/",['Must be eligible for SNAP benefits.'],available,"Each week, Farm to Families supplies North Philadelphia families with boxes of wholesome fresh produce or fruit at a reduced cost. Boxes are packed with delicious seasonal fruits and vegetables, often valued at double the price. Additional fresh items including local eggs, meat, and seafood are also offered at affordable prices.This program provides:- Food to meet basic nutritional needsFarm to Families also provides food and nutrition education, including food budgeting and shopping tips, basic food preparation and cooking skills, and demonstrations and taste tests, aligned with the weekly boxes.Orders are taken one week in advance. SNAP benefits are all accepted for payment. Farm to Families is open to all with no income restrictions.",['English'],Reduced Cost,True,https://www.facebook.com/FarmtoFamilies/,https://www.twitter.com/@FarmtoFamilies,"This program covers residents of the following cities: Philadelphia, PA.",39.9595901,-75.2175494,19139.0,False,Closed,Closed,Closed,11:00 AM - 3:00 PM  EST,Closed,Closed,Closed
Food Pantry,https://www.auntbertha.com//upper-room-missionary-baptist-church--philadelphia-pa--food-pantry/5789625901776896?postal=19131,['food pantry'],,"['anyone in need', 'all ages']",267-593-4989,https://urmbc.org/,"7236 Ogontz Avenue, Philadelphia, PA 19138","https://www.google.com/maps/?q=7236+Ogontz+Avenue,+Philadelphia,+PA+19138/",['This program serves anyone in need.'],available,Upper Room Missionary Baptist Church offers quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,True,https://www.facebook.com/Upper-Room-Missionary-Baptist-Church-2195510364097911/,,"This program covers residents of the following cities: Philadelphia, PA.",40.064768,-75.1550397,19138.0,False,10:00 AM - 12:00 PM  EST,9:00 AM - 11:00 AM  EST,8:30 AM - 10:00 AM  EST,10:00 AM - 12:00 PM  EST,9:00 AM - 11:00 AM  EST,Closed,Closed
Food Pantry,https://www.auntbertha.com//st.-luke%2527s-episcopal-church-germantown--philadelphia-pa--food-pantry/5946530422849536?postal=19131,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",,https://www.stlukesgermantown.com/about-3,"5421 Germantown Avenue, Philadelphia, PA 19144","https://www.google.com/maps/?q=5421+Germantown+Avenue,+Philadelphia,+PA+19144/",['Anyone can access this program.'],temporarily closed,St. Barnabas Pantry provides bags of food to individuals and families in St. Luke's community who are in need.Services provided:- Take-away food bags,['English'],Free,True,https://www.facebook.com/St-Lukes-Church-Germantown-111657445537323/,,"This program covers residents of the following cities: Philadelphia, PA.",40.0337844,-75.1709773,19144.0,False,,,,,,,
Whole Foods Distribution,https://www.auntbertha.com//st.-peter%2527s-evangelical-lutheran-church--philadelphia-pa--whole-foods-distribution/4649723083096064?postal=19131,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",,http://www.stpeterswol.org/community/whole-foods-ministry/,"2167 74th Avenue, Philadelphia, PA 19138","https://www.google.com/maps/?q=2167+74th+Avenue,+Philadelphia,+PA+19138/",['Anyone can access this program.'],available,"St. Peter's offers a twice monthly fresh food distribution to anyone who is in need in the community. Services provided:- Fresh food to meet basic nutritional needs The only information required is a name, number of people in the household, and a phone number.",['English'],Free,True,https://www.facebook.com/StPeterswol/,,"This program covers residents of the following counties: Philadelphia County, PA.",40.0676098,-75.1539533,19138.0,False,Closed,Closed,10:30 AM - 12:00 PM  EST,Closed,Closed,Closed,Closed
Food Bank,https://www.auntbertha.com//eastwick-united-methodist-church--philadelphia-pa--food-bank/5883670159425536?postal=19131,['food pantry'],['clothing'],"['anyone in need', 'all ages']",215-365-6352,http://eastwickumc.org/ministries/,"8325 Lindbergh Boulevard, Philadelphia, PA 19153","https://www.google.com/maps/?q=8325+Lindbergh+Boulevard,+Philadelphia,+PA+19153/",['Anyone can access this program.'],available,Our food bank is a three-day per week ministry serving Southwest Philadelphia and some parts of Delaware County with food and clothing distribution. It has an added component of Bible Study for those who wish to participate and serves as an evangelistic outreach witness for the church.Services provided:- Food to meet basic nutritional needs- Clothing distribution,['English'],Free,True,,,"This program covers residents of the following cities: Philadelphia, PA.",39.8981827,-75.2524857,19153.0,False,10:00 AM - 1:00 PM  EST,10:00 AM - 1:00 PM  EST,10:00 AM - 1:00 PM  EST,Closed,Closed,Closed,Closed
Food Distribution,https://www.auntbertha.com//circle-of-hope--philadelphia-pa--food-distribution/6326304658030592?postal=19131,['food pantry'],,"['anyone in need', 'all ages']",856-320-8230,https://www.circleofhope.church/,"29 West Tulpehocken Street, Philadelphia, PA 19144","https://www.google.com/maps/?q=29+West+Tulpehocken+Street,+Philadelphia,+PA+19144/",['Those program serves those in Philadelphia and South Jersey.'],full,"Circle of Hope offers food distribution through mutual aid, based on what is currently available.This program provides: - Food distributionPlease note that while those in need can generally call to be added to the waitlist, the list is past capacity and Circle of Hope is not currently accepting new requests for food.",['English'],Free,True,https://www.facebook.com/CircleofHopePhillyRegion/,https://www.twitter.com/@CircleofHopeNet,"This program covers residents of the following counties: Camden County, NJ and Philadelphia County, PA.",40.0415456,-75.181191,19144.0,False,,,,,,,
