Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Drop In Center (Prevention Point Philadelphia),https://www.auntbertha.com//prevention-point-philadelphia-%2528ppp%2529--philadelphia-pa--drop-in-center/5089660355477504?postal=19131,"['weather relief', 'meals', 'addiction & recovery', 'medical care', 'navigating the system', 'case management', 'one-on-one support', 'advocacy & legal aid']",,"['adults 18+', 'individuals', 'families']",215-634-5272,,"2915 Kensington Avenue, Philadelphia, PA 19134","https://www.google.com/maps/?q=2915+Kensington+Avenue,+Philadelphia,+PA+19134/","['This program serves residents in Philadelphia county, PA.']",available,"The Drop In Center strives to be free of judgment, allowing people of all backgrounds to come in and relax. The Drop In Center is in many ways the gateway through which participants are connected to the many services provided by PPP. This program provides:- Case management- HIV/HCV testing and counseling- Mail services- Legal clinic- Medical services- CRAFT (links participants to addiction treatment)- Specialized surveys - MealsThe Drop In Center is open five days a week and provides daily respite for clients from outside weather.","['English', 'Spanish']",Free,TRUE,https://www.facebook.com/preventionpointphiladelphia,https://www.twitter.com/@preventionpp,"This program covers residents of the following counties: Philadelphia County, PA.",39.9927854,-75.1196455,19134,FALSE,8:00AM - 5:00PM ,5:00AM - 2:00PM  ,5:00AM - 2:00PM  ,5:00AM - 2:00PM  ,5:00AM - 2:00PM  ,Closed,Closed,4.3/5,Shelter
Overnight Services (Horizon House),https://www.auntbertha.com//horizon-house--philadelphia-pa--overnight-services/6301124945248256?postal=19131,['temporary shelter'],"['meals', 'personal hygiene', 'mental health evaluation', 'one-on-one support']","['adults 18+', 'homeless']",215-386-3838,https://www.hhinc.org/homeless-services-overview/emergency-housing/,"5901 Market Street, Philadelphia, PA 19136","https://www.google.com/maps/?q=5901+Market+Street,+Philadelphia,+PA+19136/",['This program serves homeless individuals.'],available,"The Horizon House Navigation Center in West Philadelphia offers a variety of support services to homeless adults all year round. Here, people have a safe haven to meet their basic needs. The center is open 7 p.m. to 6 a.m. and is available on a drop-in basis.  Services include:- Temporary shelter- Food- Shower- Clean clothing- Laundry facilities- Medical and psychiatric assessments- Case managementExtended daytime hours are available two days/week for medical and psychiatric assessments and referral services. Case management services are offered to link individuals with appropriate housing, benefits, medical care and treatment services.For more information, please call at 215-386-3838, ext. 12603",['English'],Reduced Cost,TRUE,https://www.facebook.com/horizonhouseinc/?fref=ts,,"This program covers residents of the following counties: Philadelphia County, PA.",39.962058,-75.2391324,19136,TRUE,,,,,,,,0/5,Shelter
Cooling Centers (Office of Emergency Management),https://www.auntbertha.com//city-of-philadelphia---office-of-emergency-management-%2528oem%2529--philadelphia-pa--cooling-centers/4804499150602240?postal=19131,['weather relief'],,"['anyone in need', 'all ages', 'individuals', 'families', 'homeless']",215-232-1984,https://www.phila.gov/services/mental-physical-health/environmental-health-hazards/extreme-weather/cooling-centers/,,,['Anyone can access this program.'],available,"In the event of extreme heat and humidity, the City of Philadelphia opens cooling centers, which are air-conditioned spaces available for public use.This program provides:- Relief from extreme weatherVisit the website to find a cooling center located near you.",['English'],Free,TRUE,https://www.facebook.com/cityofphiladelphia,https://www.twitter.com/@PhiladelphiaGov,"This program covers residents of the following cities: Philadelphia, PA.",,,,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0/5,Shelter
Emergency Safe Havens (Women Against Abuse),https://www.auntbertha.com//women-against-abuse--philadelphia-pa--emergency-safe-havens/5652293370249216?postal=19131,"['temporary shelter', 'safe housing', 'short-term housing']","['immediate safety', 'meals', 'group therapy', 'individual counseling', 'after school care', 'childcare', 'navigating the system', 'one-on-one support', 'more education', 'interview training', 'resume development']","['all ages', 'female', 'lgbtqia+', 'male', 'transgender or non-binary', 'abuse or neglect survivors', 'domestic violence survivors', 'emergency']",866-723-3014,https://www.womenagainstabuse.org/services/safe-havens,"100 South Broad Street, Suite 1341, Philadelphia, PA 19102",,['For women experiencing domestic violence in the Philadelphia area.'],available,"Women Against Abuse’s two 24-hour emergency safe havens provide free services to survivors of all gender identities and their children who are victims of domestic violence. This program provides:- Up to 90 days of shelter- Case management- Individual & group counseling- Three meals a day- Children's health assessments- Emergency relocation funds (as available)- Adult education & job readiness referrals- After school & summer school programs- On-site child careIf you need emergency housing because of a domestic violence situation, please call the toll-free 24-hour Philadelphia Domestic Violence Hotline (866-723-3014).",['English'],Free,TRUE,https://www.facebook.com/womenagainstabuse,https://www.twitter.com/@WomenAgnstAbuse,"This program covers residents of the following counties: Philadelphia County, PA.",,,19102,TRUE,,,,,,,,4.0/5,Shelter
Crisis Care Services (Covenant House),https://www.auntbertha.com//covenant-house--philadelphia-pa--crisis-care-services/5925873791401984?postal=19131,['temporary shelter'],"['temporary shelter', 'meals', 'clothing', 'home goods', 'medical care', 'personal hygiene', 'physical safety', 'advocacy & legal aid']","['teens', 'foster youth', 'homeless']",800-388-3888,https://www.covenanthouse.org/childrens-charity/continuum-of-care/crisis-care,"31 East Armat Street, Philadelphia, PA 19144","https://www.google.com/maps/?q=31+East+Armat+Street,+Philadelphia,+PA+19144/",['This program serves teens experiencing homelessness.'],available,"Covenant House's Crisis Care Services are short-term programs where a homeless child's most pressing, urgent needs are met immediately. There is no requirement that a young person be referred through an official channel – they can come anytime, day or night.

This program provides:

- Shelter
- Hot meal
- Emergency medical care
- Showers

This program also provides:

- Mental health care
- Legal assistance 

During the intake process, kids share their stories with trained staff so their immediate needs can be identified and then a plan is created for the best way to support them.",['English'],Free,TRUE,https://www.facebook.com/CovenantHouse,https://www.twitter.com/@CovenantHouse,"This program covers residents of the following cities: Anchorage, AK, Anaheim, CA, Hayward, CA, Los Angeles, CA, Oakland, CA, Santa Clara, CA, Washington, DC, Fort Lauderdale, FL, Orlando, FL, Atlanta, GA, Chicago, IL, New Orleans, LA, Detroit, MI, Grand Rapids, MI, Saint Louis, MO, Asbury Park, NJ, Atlantic City, NJ, Elizabeth, NJ, Jersey City, NJ, Montclair, NJ, Newark, NJ, New York, NY, Philadelphia, PA, York, PA and Houston, TX.",40.0356379,-75.1733708,19144,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,5.0/5,Shelter
Emergency Shelter (HELP USA Pennsylvania),https://www.auntbertha.com//help-usa-pennsylvania--philadelphia-pa--emergency-shelter/5398794886447104?postal=19131,"['temporary shelter', 'skilled nursing', 'prevent & treat', 'navigating the system', 'help find work']",,"['all ages', 'individuals', 'families', 'homeless', 'near homeless', 'low-income', 'abuse or neglect survivors', 'domestic violence survivors']",215-473-6454,https://www.helpusa.org/,"4910 Wyalusing Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=4910+Wyalusing+Avenue,+Philadelphia,+PA+19131/",['For individuals facing homelessness in the Philadelphia area.'],available,"HELP USA is there for those who find themselves suddenly homeless, and they provide them with safe, temporary shelter and the support they need to get back on their feet. They believe in a different kind of homeless shelter – one that is respectful, supportive, and treats each resident as a unique individual.This program provides:- Temporary shelter- Day care and afterschool care- Physical and mental healthcare- Navigating the system- Help find work",['English'],Free,TRUE,https://www.facebook.com/helpusa,https://www.twitter.com/@HelpUSA,"This program covers residents of the following counties: Bucks County, PA, Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",39.9699305,-75.2192177,19131,FALSE,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,Closed,Closed,0/5,Shelter
Emergency Shelter (Families Forward),https://www.auntbertha.com//families-forward--philadelphia-pa--emergency-shelter/6206753615380480?postal=19131,['temporary shelter'],"['meals', 'daily life skills', 'parenting education', 'financial education', 'navigating the system', 'skills & training', 'computer class']","['all ages', 'individuals', 'families', 'homeless']",215-240-4800,https://familiesforwardphilly.org/programs/emergency-shelter/,"111 North 49th Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=111+North+49th+Street,+Philadelphia,+PA+19139/",['All families must be referred to us through the City of Philadelphias Office of Supportive Housing central intake.'],available,"Families Forward Philadelphia offers an emergency family shelter, for families in need, that has 65 individual rooms. While obtaining housing is their top priority, they also encourage saving money – working with families to dedicate funds to rent, furnishings and day-to-day living expenses once they leave the shelter.This program provides:- A warm, safe environment- Nutritious meals- Case managementAdditionally throughout the day, workshops are available to prepare families for independent living, including parenting classes, life skills development, computer classes, money management classes, and much more.",['English'],Free,TRUE,https://www.facebook.com/FFPhiladelphia/,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9617037,-75.2184789,19139,TRUE,,,,,,,,4.7/5,Shelter
Comprehensive Shelters (Salvation Army Eastern Pennsylvania & Delaware),https://www.auntbertha.com//salvation-army-eastern-pennsylvania-%2526-delaware--philadelphia-pa--comprehensive-shelters/5929367212130304?postal=19131,['temporary shelter'],"['meals', 'community support services', 'spiritual support']","['all ages', 'children', 'individuals', 'families', 'single parent', 'homeless', 'parents']",215-474-1010,https://easternusa.salvationarmy.org/eastern-pennsylvania/provide-housing/,"5501 Market Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=5501+Market+Street,+Philadelphia,+PA+19139/",['This program serves homeless individuals and families.'],available,"Salvation Army shelters welcome all homeless who come to their door. Comprehensive services are available to single-parent families, single women, single men, married couples, children awaiting placement in a foster home, and dual-parent families.This program provides:- Temporary shelter These shelters offer spiritual and physical care, food, and shelter to people in need. They attend the total needs of the individual and are meant to be a kind resting place to help these individuals get back on their feet.",['English'],Free,TRUE,,,"This program covers residents of the following counties: Kent County, DE, New Castle County, DE, Berks County, PA, Chester County, PA, Lebanon County, PA, Luzerne County, PA, Monroe County, PA, Montgomery County, PA and Philadelphia County, PA.",39.9610016,-75.2312927,19139,FALSE,9:00AM - 4:00PM  ,9:00AM - 4:00PM  ,9:00AM - 4:00PM  ,9:00AM - 4:00PM  ,9:00AM - 4:00PM  ,9:00AM - 4:00PM  ,9:00AM - 4:00PM  ,0/5,Shelter
Kailo Haven (Resources for Human Development - Pennsylvania),https://www.auntbertha.com//resources-for-human-development-%2528rhd%2529---pennsylvania--philadelphia-pa--kailo-haven/5552002522939392?postal=19131,"['temporary shelter', 'short-term housing']","['meals', 'personal hygiene', 'navigating the system', 'one-on-one support', '12-step']","['adults 18+', 'homeless', 'all mental health', 'substance dependency', 'dual diagnosis']",215-225-8645,https://www.rhd.org/program/kailo-haven/,"2107 West Tioga Street, Philadelphia, PA 19140","https://www.google.com/maps/?q=2107+West+Tioga+Street,+Philadelphia,+PA+19140/",['This program serves homeless people.'],available,"Resources for Human Development's Kailo Haven is a safe haven homeless shelter for individuals experiencing chronic homelessness and identified as suffering from some form of co-occuring disorders, including mental health and addiction challenges.This program provides:- Safe environment to live and sleep- Meals and snacks- Bathroom and laundry facilities- 12-step recovering meetings- Emotional Management Courses- Individualized meetings and support to obtain financial and medical benefits- Referral ServicesPlease call The Homeless Outreach Hotline at 215-225-8645.",['English'],Free,TRUE,https://www.facebook.com/kailohaven/,,"This program covers residents of the following cities: Philadelphia, PA.",40.007932,-75.1637777,19140,FALSE,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,Closed,Closed,4.1/5,Shelter
"Station House Intake Center Services (SELF, Inc.)",https://www.auntbertha.com//self%252C-inc.--philadelphia-pa--station-house-intake-center-services/6354456388829184?postal=19131,['temporary shelter'],['case management'],"['adults 18+', 'male', 'homeless']",215-225-9230,https://www.selfincorp.org/station-house,"2601 North Broad Street, Philadelphia, PA 19132","https://www.google.com/maps/?q=2601+North+Broad+Street,+Philadelphia,+PA+19132/",['We serve single men experiencing homelessness.'],available,"Centralized Homeless Intake Services includes an assessment of eligibility and service needs of persons and families presenting for placement into emergency housing. If eligible, persons and families are placed in appropriate emergency housing, boarding homes, or other alternative housing. Services include:- Temporary shelter- Ongoing case management services- Assistance with obtaining transitional and/or permanent housing- Supportive housing for special populations- An optional savings program which allows households to save a part of their income for future housing expensesMental health assessments and referrals to drug/alcohol treatment, health services, children and youth services, legal services and veteran’s services, etc., are provided as needed to clients of the program.- Connecting Services to other community resources- ScreeningIf you are currently experiencing homelessness, please call us during business hours. You must go through central intake for an initial assessment of your housing needs before placement into the homeless housing system.",['English'],Free,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9923482,-75.1544469,19132,FALSE,Closed,Closed,Closed,Closed,Closed,5:00PM - 11:00PM  ,5:00PM - 11:00PM  ,0/5,Shelter
