Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Despensa Food Program,https://www.auntbertha.com//puentes-de-salud--philadelphia-pa--despensa-food-program/4879528792031232?postal=19109,"['food delivery', 'food pantry']",,"['all ages', 'individuals', 'families']",215-454-8000,https://www.puentesdesalud.org/services/wellness-education/,"1700 South Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=1700+South+Street,+Philadelphia,+PA+19146/",['Must meet eligibility guidlines and screen positive for food insecurity.'],available,"The Despensa Food Program deliver foods boxes to Spanish speaking immigrant families in need on a weekly or biweekly basis, prioritizing nutritionally balanced and culturally appropriate options. Only serves zip codes 19142, 19143, 19145, 19146, 19147, 19148, and 19082. 

This program provides:

- Mobile food pantry","['English', 'Spanish']",Free,TRUE,https://www.facebook.com/PuentesDeSalud/,https://www.twitter.com/@PuentesDeSalud,"This program covers residents of the following counties: Philadelphia County, PA.",39.944116,-75.1710457,19146.0,FALSE,12:30 PM - 7:30 PM,Closed,12:30 - 7:30 PM,10:30 AM - 3:00 PM,Closed,Closed,Closed
Food Cabinet,https://www.auntbertha.com//lutheran-church-of-the-holy-communion--philadelphia-pa--food-cabinet/5451132347088896?postal=19109,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",215-567-3668,https://www.lc-hc.org/calendar,"2110 Chestnut Street, Philadelphia, PA 19103","https://www.google.com/maps/?q=2110+Chestnut+Street,+Philadelphia,+PA+19103/",['Anyone can access this program.'],available,The Food Cabinet provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet nutritional needsThis program is offered on the second Wednesday of the month.,['English'],Free,TRUE,https://www.facebook.com/LCHCintheCity/,https://www.twitter.com/@LCHCintheCity,"This program covers residents of the following cities: Philadelphia, PA.",39.952106,-75.1760158,19103.0,FALSE,Closed,Closed,8:00 AM - 10:00 AM  PST,Closed,Closed,Closed,Closed
Second Helping Emergency Food Cupboard,https://www.auntbertha.com//bebashi--philadelphia-pa--second-helping-emergency-food-cupboard/4785885511417856?postal=19109,"['emergency food', 'food pantry']",,"['all ages', 'individuals', 'families', 'low-income']",215-769-3561,https://www.bebashi.org/hunger-relief/,"1235 Spring Garden Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=1235+Spring+Garden+Street,+Philadelphia,+PA+19123/","['HIV positive consumers need to bring their Ryan White Services Eligibility Card when visiting the food cupboard.', 'No referral is needed.', 'This program helps people with income at or below 150% of federal poverty guidelines.']",available,"Bebashi’s Second Helping Emergency Food Pantry aims to ensure that those who are struggling with food insecurity don’t go hungry. Service provided:- Boxed and canned food - Fresh meats, fruits and vegetables- Nutrition workshops and easy-to-prepare recipesVisitors can come to the pantry once a month.Information required to register: - Name - Last four digits of social security number- Zipcode- Monthly income- The number of people in the homeBring a pen to sign the intake form and something to hold items as you shop.If you are not a client of Bebashi you will need a referral letter from a social worker.",['English'],Free,TRUE,https://www.facebook.com/bebashi,https://www.twitter.com/@bebashi,"This program covers residents of the following cities: Philadelphia, PA.",39.9621806,-75.1586321,19123.0,FALSE,8:00 AM - 1:00 PM  PST,8:00 AM - 1:00 PM  PST,8:00 AM - 1:00 PM  PST,8:00 AM - 1:00 PM  PST,8:00 AM - 1:00 PM  PST,Closed,Closed
Food Distribution,https://www.auntbertha.com//mighty-writers--philadelphia-pa--food-distribution/5579956938342400?postal=19109,"['food pantry', 'diapers & formula', 'books', 'personal care items']",,"['anyone in need', 'all ages', 'families']",267-239-0899,https://mightywriters.org/food-distribution/,"1025 South 9th Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=1025+South+9th+Street,+Philadelphia,+PA+19147/",['Anyone can access this program.'],available,"Mighty Writers' response to the coronavirus, Mighty Writers will bolster and expand the recently launched food-literacy distribution. Each meal box will come with writing worksheets for kids in both English and Spanish. In addition, novels and children's books will be distributed weekly.This program provides:- Food to meet nutritional needs- Books",['English'],Free,TRUE,https://www.facebook.com/MightyWriters/,https://www.twitter.com/@MightyWriters,"This program covers residents of the following cities: Atlantic City, NJ, Camden, NJ, Philadelphia, PA and Toughkenamon, PA.",39.9368864,-75.1581449,19147.0,FALSE,Closed,8:30 AM - 10:00 AM  PST,8:30 AM - 10:00 AM  PST,8:30 AM - 10:00 AM  PST,8:30 AM - 10:00 AM  PST,Closed,Closed
Food Cupboard,https://www.auntbertha.com//st.-peter%2527s-church--philadelphia-pa--food-cupboard/4674818478964736?postal=19109,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",215-925-5968,https://www.stpetersphila.org/social-justice/food-cupboard/,"313 Pine Street, Philadelphia, PA 19106","https://www.google.com/maps/?q=313+Pine+Street,+Philadelphia,+PA+19106/",['Anyone can access this program.'],available,The Food Cupboard provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,TRUE,https://www.facebook.com/stpetersphila,,"This program covers residents of the following cities: Philadelphia, PA.",39.9435671,-75.1477202,19106.0,FALSE,Closed,Closed,Closed,Closed,Closed,4:45 AM - 7:00 AM  PST,Closed
Breaking Bread on Broad,https://www.auntbertha.com//congregation-rodeph-shalo--philadelphia-pa--breaking-bread-on-broad/5098800476192768?postal=19109,"['food pantry', 'diapers & formula', 'personal care items']",,"['anyone in need', 'all ages', 'female', 'mothers']",215-627-6747,https://rodephshalom.org/breakingbreadonbroad/,"615 North Broad Street, Philadelphia, PA 19123","https://www.google.com/maps/place/615+N+Broad+St,+Philadelphia,+PA+19123/",[],available,"Congregation Rodeph Shalo offers food, diapers, and feminine hygiene supplies to up to 170 families in need each Wednesday morning outside.This program provides:- Food- Diapers- Feminie supplies",['English'],Free,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",,,,FALSE,Closed,Closed,9:00 AM - 11:00 AM,Closed,Closed,Closed,Closed
Community Fridges,https://www.auntbertha.com//south-philadelphia-community-fridge--philadelphia-pa--community-fridges/6420814929199104?postal=19109,"['emergency food', 'food pantry', 'meals']",,"['anyone in need', 'all ages', 'undocumented']",,https://southphillyfridge.com/about,"1149 South 9th Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=1149+South+9th+Street,+Philadelphia,+PA+19147/",['Anyone can access this program.'],available,"South Philadelphia Community Fridge is a volunteer-based organization dedicated to giving all Philadelphians access to fresh and healthy food, combatting food insecurity and inequality in our city through mutual aid. 6 community fridge and pantry locations are stocked with produce, pantry staples, and prepared foods. This program provides: - Food including produce, pantry staples and prepared foods. Please visit the website for the most up to date list of locations. Note some locations are pantries only and do not have refrigerated items. Pantry and fridge stock may vary.",['English'],Free,TRUE,https://www.facebook.com/southphlcommunityfridge,https://www.twitter.com/https://twitter.com/SouthPHLFridge,"This program covers residents of the following cities: Philadelphia, PA.",39.9349391,-75.15856250000000,19147.0,TRUE,,,,,,,
Temple Corps Community Center Food Pantry,https://www.auntbertha.com//the-salvation-army---greater-philadelphia--philadelphia-pa--temple-corps-community-center-food-pantry/5664666958430208?postal=19109,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",215-787-2962,https://easternusa.salvationarmy.org/eastern-pennsylvania/philadelphia-temple/alleviate-hunger/,"1340 Brown Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=1340+Brown+Street,+Philadelphia,+PA+19123/",[],available,Salvation Army Corps Community Center has a food pantry on-site to help meet emergency needs. The food pantry provides quality food items to households experiencing food insecurity. Typical items in pantries include canned goods and other non-perishable items.This program provides:- Food to meet basic nutritional needs,['English'],Free,TRUE,https://www.facebook.com/SalvationArmyPhiladelphia,https://www.twitter.com/https://twitter.com/SalArmyPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9677192,-75.159372,19123.0,FALSE,5:00 AM - 1:00 PM  PST,5:00 AM - 1:00 PM  PST,5:00 AM - 1:00 PM  PST,5:00 AM - 1:00 PM  PST,Closed,Closed,Closed
Food Pantries,https://www.auntbertha.com//salvation-army-eastern-pennsylvania-%2526-delaware--philadelphia-pa--food-pantries/6322661409292288?postal=19109,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",215-787-2962,https://easternusa.salvationarmy.org/eastern-pennsylvania/alleviate-hunger/,"1340 Brown Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=1340+Brown+Street,+Philadelphia,+PA+19123/",['Anyone can access this program.'],available,"Salvation Army Eastern Pennsylvania & Delaware provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsFood is always free, but some locations require appointments while others operate on a walk-in, first come first served basis. Call your local Salvation Army office to determine which days their food pantries serve your area.",['English'],Free,TRUE,https://www.facebook.com/SalvationArmyUSA,https://www.twitter.com/@SalvationArmyUS,"This program covers residents of the following cities: Bethlehem, PA, Boyertown, PA, Carlisle, PA, Chester, PA, Coatesville, PA, Darby, PA, East Stroudsburg, PA, Lebanon, PA, Philadelphia, PA, Pottsville, PA, Sunbury, PA and Allentown, PA.",39.9677192,-75.15937200000000,19123.0,FALSE,5:00 AM - 1:00 PM  PST,5:00 AM - 1:00 PM  PST,5:00 AM - 1:00 PM  PST,5:00 AM - 1:00 PM  PST,5:00 AM - 1:00 PM  PST,Closed,Closed
Food Cupboard,https://www.auntbertha.com//the-church-of-the-redeemer-baptist--philadelphia-pa--food-cupboard/6476535566696448?postal=19109,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",215-465-1230,https://cotrb.org/outreach-ministries/#FOOD,"1440 South 24th Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=1440+South+24th+Street,+Philadelphia,+PA+19146/",['Anyone can access this program.'],available,The purpose of the ministry is to respond to the need of the community by providing food and other assistance for those who are less fortunate than others.This program provides:- Food to meet basic nutritional needs,['English'],Free,TRUE,,,"This program covers residents of the following cities: Philadelphia, PA.",39.9340607,-75.1845913,19146.0,FALSE,Closed,Closed,Closed,Closed,Closed,4:30 AM - 6:30 AM  PST,Closed
