Subject,Relationship,Object
Food Distribution,main_services_are,['food pantry']
Food Distribution,phone_number_is,267-908-9000
Food Distribution,website_is,https://north10phl.org/health-wellness/
Food Distribution,is_located_at,"3890 North 10th Street, Philadelphia, PA 19140"
Food Distribution,url_is_located_at,"https://www.google.com/maps/?q=3890+North+10th+Street,+Philadelphia,+PA+19140/"
Food Distribution,has_an_availability_status_of,available
Food Distribution,description_is,"North10, Philadelphia's Community Market provides a food pantry consisting of quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet nutritional needsPlease call before visiting since registration may be required at times."
Food Distribution,speaks,"['English', 'Spanish']"
Food Distribution,costs,Free
Food Distribution,has_Google_Reviews,True
Food Distribution,covers,"This program covers residents of the following cities: Philadelphia, PA."
Food Distribution,zipcode_is,19140.0
Food Distribution,24hours_status_is,False
Food Distribution,serves,"['anyone in need', 'all ages', 'individuals', 'families'], ['Anyone can access this program.']"
Food Distribution,socials_are,https://www.facebook.com/lenfest.ctr/
Food Distribution,coordinates_are,"40.0116671, -75.1444282"
Food Distribution,is_open_from,"Closed, 10:00 AM - 2:00 PM  EST, Closed, 10:00 AM - 2:00 PM  EST, Closed, Closed, Closed"
Food Pantry,main_services_are,['food pantry']
Food Pantry,phone_number_is,215-473-1044
Food Pantry,website_is,https://stbarbphila.org/events/food-pantry-ph
Food Pantry,is_located_at,"5359 Lebanon Avenue, Philadelphia, PA 19131"
Food Pantry,url_is_located_at,"https://www.google.com/maps/?q=5359+Lebanon+Avenue,+Philadelphia,+PA+19131/"
Food Pantry,has_an_availability_status_of,available
Food Pantry,description_is,The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs
Food Pantry,speaks,['English']
Food Pantry,costs,Free
Food Pantry,has_Google_Reviews,True
Food Pantry,covers,"This program covers residents of the following counties: Philadelphia County, PA."
Food Pantry,zipcode_is,19131.0
Food Pantry,24hours_status_is,False
Food Pantry,serves,"['anyone in need', 'all ages', 'individuals', 'families'], ['Anyone can access this program.']"
Food Pantry,socials_are,"https://www.facebook.com/profile.php?id=100083359778002, https://www.twitter.com/@SaintBarbPhilly"
Food Pantry,coordinates_are,"39.9878915, -75.2314511"
Food Pantry,is_open_from,"Closed, Closed, 12:00 PM - 2:00 PM  EST, Closed, Closed, Closed, Closed"
Resource Fair,main_services_are,"['food pantry', 'clothing', 'navigating the system']"
Resource Fair,phone_number_is,215-423-3598
Resource Fair,website_is,https://thesimpleway.org/what-we-do/
Resource Fair,is_located_at,"3234 Potter Street, Philadelphia, PA 19134"
Resource Fair,url_is_located_at,"https://www.google.com/maps/?q=3234+Potter+Street,+Philadelphia,+PA+19134/"
Resource Fair,has_an_availability_status_of,available
Resource Fair,description_is,"On the third Wednesday of every month from 10 am to 12 pm, we host a resource fair in partnership with Esperanza Health Center. Located at 3222 H Street, the resource fair offers food, clothing, and other resources. Appointments are not necessary. 

In addition, we have a community refrigerator outside located around the corner from 3234 Potter Street on Westmoreland with fresh food available. 

Individuals who are interested in receiving updates on our events can text “FOOD” to 866-551-1675 for updates and the latest information about events, timing, and changes, or follow us on Facebook, Instagram, or Twitter."
Resource Fair,speaks,"['English', 'Spanish']"
Resource Fair,costs,Free
Resource Fair,has_Google_Reviews,True
Resource Fair,covers,"This program covers residents of the following counties: Philadelphia County, PA."
Resource Fair,zipcode_is,19134.0
Resource Fair,24hours_status_is,False
Resource Fair,serves,"['anyone in need', 'all ages', 'individuals', 'families', 'limited english'], ['Anyone can access this program.']"
Resource Fair,socials_are,"https://www.facebook.com/theSimpleWay/, https://www.twitter.com/@theSimpleWay"
Resource Fair,coordinates_are,"39.9978678, -75.11218960000001"
Resource Fair,is_open_from,"12:30 PM - 2:30 PM  EST, 12:30 PM - 2:30 PM  EST, Closed, Closed, 9:30 AM - 11:30 AM  EST, Closed, Closed"
Food Pantry,main_services_are,['food pantry']
Food Pantry,phone_number_is,215-825-4601
Food Pantry,website_is,https://easternusa.salvationarmy.org/eastern-pennsylvania/greater-philadelphia/alleviate-hunger/
Food Pantry,is_located_at,"5501 Market Street, Philadelphia, PA 19139"
Food Pantry,url_is_located_at,"https://www.google.com/maps/?q=5501+Market+Street,+Philadelphia,+PA+19139/"
Food Pantry,has_an_availability_status_of,available
Food Pantry,description_is,"The Salvation Army West Philadelphia Corps Community Center Food Pantry provides groceries and food for families and individuals in need.This program provides:- Food to meet basic nutritional needsFood is free, but some locations require appointments. Others are on a walk-in first come first served basis. Call your local Salvation Army office or the 2-1-1 help line to determine which food pantry serves your area."
Food Pantry,speaks,['English']
Food Pantry,costs,Free
Food Pantry,has_Google_Reviews,True
Food Pantry,covers,"This program covers residents of the following cities: Philadelphia, PA."
Food Pantry,zipcode_is,19139.0
Food Pantry,24hours_status_is,False
Food Pantry,serves,"['anyone in need', 'all ages', 'individuals', 'families', 'homeless', 'near homeless', 'low-income'], ['Anyone can access this program.']"
Food Pantry,socials_are,"https://www.facebook.com/SalArmyPhilly, https://www.twitter.com/@SalArmyPhilly"
Food Pantry,coordinates_are,"39.9610016, -75.2312927"
Food Pantry,is_open_from,"9:00 AM - 2:00 PM  EST, 9:00 AM - 2:00 PM  EST, 9:00 AM - 2:00 PM  EST, 9:00 AM - 2:00 PM  EST, 9:00 AM - 2:00 PM  EST, Closed, Closed"
Farm to Families,main_services_are,['food pantry']
Farm to Families,other_services_are,['nutrition education']
Farm to Families,phone_number_is,484-734-0189
Farm to Families,website_is,https://scfchildren.org/farm-to-families-initiative/
Farm to Families,is_located_at,"4865 Market Street, Philadelphia, PA 19139"
Farm to Families,url_is_located_at,"https://www.google.com/maps/?q=4865+Market+Street,+Philadelphia,+PA+19139/"
Farm to Families,has_an_availability_status_of,available
