name,location_link,rating,review_id,author_id,review_text,review_rating
Magnolia Community Health Center,"https://www.google.com/maps/place/Magnolia+Community+Health+Center/@33.9213433,-117.4441299,14z/data=!4m8!1m2!2m1!1sMagnolia+Community+Health+Center!3m4!1s0x80dcb0cf6323e87f:0xb22703fef2d0dcaa!8m2!3d33.9213433!4d-117.4441299",3.4,ChZDSUhNMG9nS0VJQ0FnSURjcVBiM0R3EAE,112192783699429617576,,3
Magnolia Community Health Center,"https://www.google.com/maps/place/Magnolia+Community+Health+Center/@33.9213433,-117.4441299,14z/data=!4m8!1m2!2m1!1sMagnolia+Community+Health+Center!3m4!1s0x80dcb0cf6323e87f:0xb22703fef2d0dcaa!8m2!3d33.9213433!4d-117.4441299",3.4,ChdDSUhNMG9nS0VJQ0FnSUNfN0tYdXVnRRAB,113048977282976711482,"I take my son to the Magnolia clinic for his medical and dental, and I am very pleased with the doctor, the dentists, and the staff. My wait time is no longer I need than 7 minutes, and my son's health and dental issues are taken care of without any issues.",5
Magnolia Community Health Center,"https://www.google.com/maps/place/Magnolia+Community+Health+Center/@33.9213433,-117.4441299,14z/data=!4m8!1m2!2m1!1sMagnolia+Community+Health+Center!3m4!1s0x80dcb0cf6323e87f:0xb22703fef2d0dcaa!8m2!3d33.9213433!4d-117.4441299",3.4,ChZDSUhNMG9nS0VJQ0FnSUR2b3R2bUNBEAE,109781201451074132790,Very good costumer service,5
Magnolia Community Health Center,"https://www.google.com/maps/place/Magnolia+Community+Health+Center/@33.9213433,-117.4441299,14z/data=!4m8!1m2!2m1!1sMagnolia+Community+Health+Center!3m4!1s0x80dcb0cf6323e87f:0xb22703fef2d0dcaa!8m2!3d33.9213433!4d-117.4441299",3.4,ChZDSUhNMG9nS0VJQ0FnSUR2d3RxQmRBEAE,114059882394268260455,My son had his 2nd dental appointment with his pediatric dentist Dr. Pereirra. She is amazing and her staff are great as well. Very happy with the services here.,5
Magnolia Community Health Center,"https://www.google.com/maps/place/Magnolia+Community+Health+Center/@33.9213433,-117.4441299,14z/data=!4m8!1m2!2m1!1sMagnolia+Community+Health+Center!3m4!1s0x80dcb0cf6323e87f:0xb22703fef2d0dcaa!8m2!3d33.9213433!4d-117.4441299",3.4,ChZDSUhNMG9nS0VJQ0FnSUNQdFB6b0tnEAE,106927590367723558857,"Necesitaba medicamento urgente y no quisieron atenderme para recetarme, decían que tenía que hacer una cita que demoraba varios días uno necesita la medicina y no lo atienden. No deberían tener licencia para ejercer su profesión si dejan a uno morir.
Se supone que los médicos están para salvar vidas no para dejar a las personas esperando a que ellos quieran atender.",1
Magnolia Community Health Center,"https://www.google.com/maps/place/Magnolia+Community+Health+Center/@33.9213433,-117.4441299,14z/data=!4m8!1m2!2m1!1sMagnolia+Community+Health+Center!3m4!1s0x80dcb0cf6323e87f:0xb22703fef2d0dcaa!8m2!3d33.9213433!4d-117.4441299",3.4,ChZDSUhNMG9nS0VJQ0FnSURYMTU2V1RBEAE,107392155512153934837,Very condescending providers who don’t clearly listen to their patients. Don’t bother advocating for yourself they don’t like that.,1
Magnolia Community Health Center,"https://www.google.com/maps/place/Magnolia+Community+Health+Center/@33.9213433,-117.4441299,14z/data=!4m8!1m2!2m1!1sMagnolia+Community+Health+Center!3m4!1s0x80dcb0cf6323e87f:0xb22703fef2d0dcaa!8m2!3d33.9213433!4d-117.4441299",3.4,ChZDSUhNMG9nS0VJQ0FnSUNYc2VIUldnEAE,112599618479568304985,Joseph Bermudez is amazing! Literally changed my life.,5
Magnolia Community Health Center,"https://www.google.com/maps/place/Magnolia+Community+Health+Center/@33.9213433,-117.4441299,14z/data=!4m8!1m2!2m1!1sMagnolia+Community+Health+Center!3m4!1s0x80dcb0cf6323e87f:0xb22703fef2d0dcaa!8m2!3d33.9213433!4d-117.4441299",3.4,ChZDSUhNMG9nS0VJQ0FnSURud0txamRnEAE,104741826378897551283,"My children have been going to this clinic for years and the service has gone downhill and lately has been terrible. It takes forever to get an appointment and to add to the frustration, half the time they call me to cancel the apt and I have to reschedule for weeks/months later. This last time was the worst. I had an appointment for my daughter set up, they called me the morning of the appointment 15 minutes before the appointment to tell me that I need to reschedule. So I did reschedule for a month later. Then they called me again to tell me that I could bring my daughter in. So I brought her in and she was assessed by Dr. Roya Amjadi, This doctor was the rudest doctor that I have ever met in my life. I had to take my daughter and walk out on the appointment before it was over. I will never be going back to this clinic again and have asked to have my children transferred to another clinic.",1
Magnolia Community Health Center,"https://www.google.com/maps/place/Magnolia+Community+Health+Center/@33.9213433,-117.4441299,14z/data=!4m8!1m2!2m1!1sMagnolia+Community+Health+Center!3m4!1s0x80dcb0cf6323e87f:0xb22703fef2d0dcaa!8m2!3d33.9213433!4d-117.4441299",3.4,ChdDSUhNMG9nS0VJQ0FnSUNuNGRfRXdBRRAB,114014442744585564531,"I bring someone to this location last week on a Tuesday or Wednesday for an ear drum infection and the pharmacy has been calling, faxing and having me call this location to have the doctor do a prescription correction. Each day that they called, someone at the front desk says “it’ll be submitted by the end of the day.” So many days come and go. They asked for the number to make a complaint and the lady gave her some bs number. It doesn’t matter how big or small the visit is, no person should ever have to keep calling days after days to get something they need corrected. Very unprofessional to the highest degree. I don’t recommend this location to anyone.",1
Magnolia Community Health Center,"https://www.google.com/maps/place/Magnolia+Community+Health+Center/@33.9213433,-117.4441299,14z/data=!4m8!1m2!2m1!1sMagnolia+Community+Health+Center!3m4!1s0x80dcb0cf6323e87f:0xb22703fef2d0dcaa!8m2!3d33.9213433!4d-117.4441299",3.4,ChZDSUhNMG9nS0VJQ0FnSURIMDdHUkNBEAE,112373337023546437994,Me encanta esta clínica son  muy amables las trabajadoras ❤️❤️,5
