Subject,Relationship,Object
National Maternal Mental Health Hotline,main_services_are,"['mental health care', 'help hotlines']"
National Maternal Mental Health Hotline,phone_number_is,833-852-6262
National Maternal Mental Health Hotline,has_an_availability_status_of,available
National Maternal Mental Health Hotline,description_is,This program provides a crisis postpartum depression hotline for mothers feeling stressed and burdened after pregnancy or loss of a child. Operated by peer volunteers.Services:- Postpartum support line
National Maternal Mental Health Hotline,speaks,['English']
National Maternal Mental Health Hotline,costs,Free
National Maternal Mental Health Hotline,has_Google_Reviews,True
National Maternal Mental Health Hotline,covers,This program covers residents of the following states: CA.
National Maternal Mental Health Hotline,24hours_status_is,False
National Maternal Mental Health Hotline,serves,"['adults', 'young adults', 'teens', 'female', 'mothers', 'in crisis', 'depression', 'all mental health'], ['No eligibility requirements.', 'No documents required.']"
National Maternal Mental Health Hotline,is_open_from,"5:00 AM - 2:00 PM  PST, 5:00 AM - 2:00 PM  PST, 5:00 AM - 2:00 PM  PST, 5:00 AM - 2:00 PM  PST, 5:00 AM - 2:00 PM  PST, Closed, Closed"
MEND Online Support Group,main_services_are,"['bereavement', 'peer support', 'support groups', 'virtual support']"
MEND Online Support Group,website_is,https://www.mend.org/nationwide-online-support-group
MEND Online Support Group,has_an_availability_status_of,available
MEND Online Support Group,description_is,"The M.E.N.D. Online Nationwide Support Group serves families who do not live near a physical chapter or for those who want to connect between in-person groups. Online groups provide a place for families to connect, share their unique story of loss, and learn to live life without your precious baby.Services provide include:- Online support groupThe online group meets from the comfort of your home through the online platform ZOOM.com on the third Thursday of each month. The facilitator will share login information prior to that month's meeting. If you're joining us for the first time in the online group, please complete a quick questionnaire so we can get to know you."
MEND Online Support Group,speaks,['English']
MEND Online Support Group,costs,Free
MEND Online Support Group,has_Google_Reviews,True
MEND Online Support Group,covers,This program covers residents of All US states and territories.
MEND Online Support Group,24hours_status_is,False
MEND Online Support Group,serves,"['adults 18+', 'grieving', 'individuals', 'caregivers', 'fathers', 'mothers', 'parents'], []"
MEND Online Support Group,socials_are,https://www.facebook.com/MENDInfantLoss/
MEND Online Support Group,is_open_from,"Closed, Closed, Closed, 7:00 PM - 9:00 PM  PST, Closed, Closed, Closed"
Pregnancy After Loss Support Online Support Groups,main_services_are,"['bereavement', 'peer support', 'support groups', 'virtual support']"
Pregnancy After Loss Support Online Support Groups,website_is,https://pregnancyafterlosssupport.org/get-support/pals-private-groups/
Pregnancy After Loss Support Online Support Groups,has_an_availability_status_of,available
Pregnancy After Loss Support Online Support Groups,description_is,"Pregnancy After Loss Support moderates online support groups on Facebook. These groups encourage peer-to-peer support during the all stages of pregnancy after loss, including trying to conceive, pregnancy, and parenting after loss.This program provides:- Online peer support groupsGroups include:- Pregnancy after loss support group- Trying to conceive after loss support group- Parenting after loss support group- Pregnancy after loss support group for dads- Pregnancy after first trimester loss- Pregnancy after second trimester loss- Pregnancy after third trimester loss- Pregnancy after infant and child death- Pregnancy after TFMR support group- Pregnancy after loss with no living children- Pregnancy after loss of a multiple- Pregnancy after loss family support group - grandparents, parents, and friends- Pregnancy after infertility and loss- New bereaved PALS understands that there are also unique situations that could use extra support, so there are also groups for specific situations, including trimester of loss, no living children, termination for medical reasons, and infertility. PALS also moderate a group for dads and one for grandparents, family, and friends.The Facebook online support groups are closed groups. This means that only people who are members in the groups can see what post or comment. People on the friend’s list may be able to see that they have joined the groups, though, either through the profile or through group recommendations from Facebook. Unfortunately, PALS has no control over those settings.To join a group, visit the Facebook page and select Groups, then select the group they would like to join."
Pregnancy After Loss Support Online Support Groups,speaks,['English']
Pregnancy After Loss Support Online Support Groups,costs,Free
Pregnancy After Loss Support Online Support Groups,has_Google_Reviews,True
Pregnancy After Loss Support Online Support Groups,covers,This program covers residents of All US states and territories.
Pregnancy After Loss Support Online Support Groups,24hours_status_is,True
Pregnancy After Loss Support Online Support Groups,serves,"['adults', 'young adults', 'teens', 'seniors', 'grieving', 'female', 'pregnant', 'fathers', 'mothers', 'parents'], ['This program serves parents in all stages of pregnancy after loss.']"
