Subject,Relationship,Object
(For Disasters) Disaster Relief And Recovery,main_services_are,"['disaster response', 'emergency food', 'temporary shelter', 'psychiatric emergency services', 'help find housing', 'medical care', 'mental health care', 'financial assistance', 'disaster preparedness & response']"
(For Disasters) Disaster Relief And Recovery,other_services_are,"['psychiatric emergency services', 'mental health care']"
(For Disasters) Disaster Relief And Recovery,phone_number_is,888-831-0031
(For Disasters) Disaster Relief And Recovery,website_is,https://www.redcross.org/local/california/southern-california.html
(For Disasters) Disaster Relief And Recovery,is_located_at,"6235 South Riverside Avenue, Colton, CA 92507"
(For Disasters) Disaster Relief And Recovery,url_is_located_at,"https://www.google.com/maps/?q=6235+South+Riverside+Avenue,+Colton,+CA+92507/"
(For Disasters) Disaster Relief And Recovery,has_an_availability_status_of,available
(For Disasters) Disaster Relief And Recovery,description_is,"The American Red Cross Disaster Relief and Recovery program provides emergency aid, advice, and assistance to help those recovering from a disaster.This program provides:- Temporary shelter/housing - Mental Health Assistance- Financial Assistance- Health Services- Disaster-related assistance"
(For Disasters) Disaster Relief And Recovery,speaks,"['English', 'Spanish']"
(For Disasters) Disaster Relief And Recovery,costs,Free
(For Disasters) Disaster Relief And Recovery,has_Google_Reviews,True
(For Disasters) Disaster Relief And Recovery,covers,"This program covers residents of the following counties: Imperial County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and San Diego County, CA."
(For Disasters) Disaster Relief And Recovery,zipcode_is,92507.0
(For Disasters) Disaster Relief And Recovery,24hours_status_is,False
(For Disasters) Disaster Relief And Recovery,serves,"['all ages', 'limited english', 'domestic violence survivors', 'natural disaster survivors', 'in crisis'], []"
(For Disasters) Disaster Relief And Recovery,socials_are,"https://www.facebook.com/redcross, https://www.twitter.com/@redcross"
(For Disasters) Disaster Relief And Recovery,coordinates_are,"34.0209513, -117.3635299"
(For Disasters) Disaster Relief And Recovery,is_open_from,"8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, Closed, Closed"
